model,repair_axis,endpoint,metric,target_repair_fraction,fixed_tau_saturating_absolute_error,nearest_q10_absolute_error,log_linear_absolute_error,raw_linear_absolute_error
Qwen/Qwen2.5-7B-Instruct,ANS,ANS,bits_per_byte,0.2,0.10127574801136452,0.14618986195089767,0.03414380076400059,0.01387872143145108
Qwen/Qwen2.5-7B-Instruct,ANS,ANS,mean_per_item_nll,0.2,0.4387437449573546,0.6333193164857023,0.14791674520729714,0.060124978937420526
Qwen/Qwen2.5-7B-Instruct,ANS,Clean,bits_per_byte,0.2,0.01716200947285662,0.0023141218724866963,0.015332225395333632,0.01569400198710702
Qwen/Qwen2.5-7B-Instruct,ANS,Clean,mean_per_item_nll,0.2,0.03230524822457337,0.004116807227448671,0.02863766079619179,0.029337819638247442
Qwen/Qwen2.5-7B-Instruct,ANS,EVD,bits_per_byte,0.2,0.003144533769566804,0.017729518428947433,0.0056513496842616195,0.00617429389136559
Qwen/Qwen2.5-7B-Instruct,ANS,EVD,mean_per_item_nll,0.2,0.005989549104012948,0.03264115377655674,0.01063555074165956,0.011624348098334902
Qwen/Qwen2.5-7B-Instruct,ANS,FMT,bits_per_byte,0.2,0.0054742890622974105,0.010883153431687331,0.043913920208494384,0.04283410816754363
Qwen/Qwen2.5-7B-Instruct,ANS,FMT,mean_per_item_nll,0.2,0.00913024326483769,0.016880357974228266,0.06610864766760738,0.06462826229964236
Qwen/Qwen2.5-7B-Instruct,ANS,PARA,bits_per_byte,0.2,0.021598712373123385,0.0017284705524782673,0.012690677460287514,0.013046248220410783
Qwen/Qwen2.5-7B-Instruct,ANS,PARA,mean_per_item_nll,0.2,0.041080234037617736,0.00492859024025627,0.02529926258261117,0.02598903549643783
Qwen/Qwen2.5-7B-Instruct,EVD,ANS,bits_per_byte,0.2,0.01608384145247377,0.040076168181550575,0.010692001276244478,0.014005667455177062
Qwen/Qwen2.5-7B-Instruct,EVD,ANS,mean_per_item_nll,0.2,0.06967793347097029,0.17361676864179953,0.04631956586982655,0.06067493067760177
Qwen/Qwen2.5-7B-Instruct,EVD,Clean,bits_per_byte,0.2,0.00826981751253042,0.03182901605828792,0.01346245671696944,0.01499021877176654
Qwen/Qwen2.5-7B-Instruct,EVD,Clean,mean_per_item_nll,0.2,0.015218414085836685,0.05892175776290509,0.025392921964662474,0.02829343490390812
Qwen/Qwen2.5-7B-Instruct,EVD,EVD,bits_per_byte,0.2,0.008419862635001163,0.03366957712512186,0.018843482702676884,0.020890853926015307
Qwen/Qwen2.5-7B-Instruct,EVD,EVD,mean_per_item_nll,0.2,0.015498081806601505,0.06207538559596193,0.034697186060625995,0.03850390371450674
Qwen/Qwen2.5-7B-Instruct,EVD,FMT,bits_per_byte,0.2,0.0023215484733875025,0.013949114069385149,0.0058166720337846645,0.0068344959876133204
Qwen/Qwen2.5-7B-Instruct,EVD,FMT,mean_per_item_nll,0.2,0.003956655157614453,0.02098117583722159,0.010711435286440363,0.012203465458277885
Qwen/Qwen2.5-7B-Instruct,EVD,PARA,bits_per_byte,0.2,0.0025694643288085572,0.021230968392039307,0.019831420848985815,0.02115536311604771
Qwen/Qwen2.5-7B-Instruct,EVD,PARA,mean_per_item_nll,0.2,0.0039047336672783928,0.03890604533065556,0.035324325448949256,0.037697782943593605
Qwen/Qwen2.5-7B-Instruct,FMT,ANS,bits_per_byte,0.2,0.02851999493836177,0.0026595910203894846,0.025057948487373527,0.026407199327158515
Qwen/Qwen2.5-7B-Instruct,FMT,ANS,mean_per_item_nll,0.2,0.12355346300693304,0.011521800107659796,0.10855528965399541,0.1144004735006523
Qwen/Qwen2.5-7B-Instruct,FMT,Clean,bits_per_byte,0.2,0.03249332402107363,0.011314851103449097,0.06992300661175932,0.07575663013047795
Qwen/Qwen2.5-7B-Instruct,FMT,Clean,mean_per_item_nll,0.2,0.059255011625236165,0.02087114548329616,0.128796042024645,0.13966070751309
