stage,domain,model,arm,seed,group,metric,value,checkpoint_sha256,source
volume3968,Math,Qwen/Qwen3-0.6B,clean,71,Clean,gen,0.482,6624b3f0436bf1df009d9d914255ee90c5e0eb891fa306ad8f13982cb5929042,/mnt/hdfs/xwqu/five_component_multimodel_volume_validation_v1/batch01_qwen06_mistral_n3968/results/node1/volume-mm-v1-qwen3-06b-n3968-clean-s71/CALIBRATION_RESULT_BUNDLE.json
volume3968,Math,Qwen/Qwen3-0.6B,clean,71,Clean,nll,3.7753399577639626,6624b3f0436bf1df009d9d914255ee90c5e0eb891fa306ad8f13982cb5929042,/mnt/hdfs/xwqu/five_component_multimodel_volume_validation_v1/batch01_qwen06_mistral_n3968/results/node1/volume-mm-v1-qwen3-06b-n3968-clean-s71/CALIBRATION_RESULT_BUNDLE.json
volume3968,Math,Qwen/Qwen3-0.6B,clean,71,Clean,bpb,2.063451699308025,6624b3f0436bf1df009d9d914255ee90c5e0eb891fa306ad8f13982cb5929042,/mnt/hdfs/xwqu/five_component_multimodel_volume_validation_v1/batch01_qwen06_mistral_n3968/results/node1/volume-mm-v1-qwen3-06b-n3968-clean-s71/CALIBRATION_RESULT_BUNDLE.json
volume3968,Math,Qwen/Qwen3-0.6B,clean,71,FMT,gen,0.017,6624b3f0436bf1df009d9d914255ee90c5e0eb891fa306ad8f13982cb5929042,/mnt/hdfs/xwqu/five_component_multimodel_volume_validation_v1/batch01_qwen06_mistral_n3968/results/node1/volume-mm-v1-qwen3-06b-n3968-clean-s71/CALIBRATION_RESULT_BUNDLE.json
volume3968,Math,Qwen/Qwen3-0.6B,clean,71,FMT,nll,1.517459334639975,6624b3f0436bf1df009d9d914255ee90c5e0eb891fa306ad8f13982cb5929042,/mnt/hdfs/xwqu/five_component_multimodel_volume_validation_v1/batch01_qwen06_mistral_n3968/results/node1/volume-mm-v1-qwen3-06b-n3968-clean-s71/CALIBRATION_RESULT_BUNDLE.json
volume3968,Math,Qwen/Qwen3-0.6B,clean,71,FMT,bpb,0.884411254359842,6624b3f0436bf1df009d9d914255ee90c5e0eb891fa306ad8f13982cb5929042,/mnt/hdfs/xwqu/five_component_multimodel_volume_validation_v1/batch01_qwen06_mistral_n3968/results/node1/volume-mm-v1-qwen3-06b-n3968-clean-s71/CALIBRATION_RESULT_BUNDLE.json
volume3968,Math,Qwen/Qwen3-0.6B,clean,71,ANS,gen,0.2088,6624b3f0436bf1df009d9d914255ee90c5e0eb891fa306ad8f13982cb5929042,/mnt/hdfs/xwqu/five_component_multimodel_volume_validation_v1/batch01_qwen06_mistral_n3968/results/node1/volume-mm-v1-qwen3-06b-n3968-clean-s71/CALIBRATION_RESULT_BUNDLE.json
volume3968,Math,Qwen/Qwen3-0.6B,clean,71,ANS,nll,5.435338088281333,6624b3f0436bf1df009d9d914255ee90c5e0eb891fa306ad8f13982cb5929042,/mnt/hdfs/xwqu/five_component_multimodel_volume_validation_v1/batch01_qwen06_mistral_n3968/results/node1/volume-mm-v1-qwen3-06b-n3968-clean-s71/CALIBRATION_RESULT_BUNDLE.json
volume3968,Math,Qwen/Qwen3-0.6B,clean,71,ANS,bpb,1.2546456488829405,6624b3f0436bf1df009d9d914255ee90c5e0eb891fa306ad8f13982cb5929042,/mnt/hdfs/xwqu/five_component_multimodel_volume_validation_v1/batch01_qwen06_mistral_n3968/results/node1/volume-mm-v1-qwen3-06b-n3968-clean-s71/CALIBRATION_RESULT_BUNDLE.json
volume3968,Math,Qwen/Qwen3-0.6B,clean,71,EVD,gen,0.3856,6624b3f0436bf1df009d9d914255ee90c5e0eb891fa306ad8f13982cb5929042,/mnt/hdfs/xwqu/five_component_multimodel_volume_validation_v1/batch01_qwen06_mistral_n3968/results/node1/volume-mm-v1-qwen3-06b-n3968-clean-s71/CALIBRATION_RESULT_BUNDLE.json
volume3968,Math,Qwen/Qwen3-0.6B,clean,71,EVD,nll,3.769138516486578,6624b3f0436bf1df009d9d914255ee90c5e0eb891fa306ad8f13982cb5929042,/mnt/hdfs/xwqu/five_component_multimodel_volume_validation_v1/batch01_qwen06_mistral_n3968/results/node1/volume-mm-v1-qwen3-06b-n3968-clean-s71/CALIBRATION_RESULT_BUNDLE.json
