model,cell,delta_abs_no_cot,delta_abs_no_cot_n,gold_drop_no_cot,gold_drop_no_cot_n,margin_v_no_cot,margin_v_no_cot_n,delta_abs_with_cot,delta_abs_with_cot_n,gold_drop_with_cot,gold_drop_with_cot_n,margin_v_with_cot,margin_v_with_cot_n
Qwen3-1.7B-Base,K-P,0.4453,50,0.3568,50,,0,0.4717,50,0.2936,50,,0
Qwen3-1.7B-Base,K-B,0.5391,50,0.0611,50,,0,0.5608,50,0.1009,50,,0
Qwen3-1.7B-Base,K-D,0.4012,50,0.2246,50,0.5026,44,0.5516,50,0.3082,50,-0.557,44
Qwen3-1.7B-Base,R-P,0.3612,50,-0.2323,50,,0,0.4944,50,-0.4409,50,,0
Qwen3-1.7B-Base,R-B,0.3465,50,-0.2439,50,,0,0.3539,50,-0.2333,50,,0
Qwen3-1.7B-Base,R-D,0.4323,50,-0.3031,50,0.5435,34,0.4894,50,-0.417,50,0.8236,34
Qwen3-1.7B-Base,C-P,0.8821,50,0.6253,50,,0,0.6222,50,0.5648,50,,0
Qwen3-1.7B-Base,C-B,0.6883,50,0.4915,50,,0,0.5187,50,0.3145,50,,0
Qwen3-1.7B-Base,C-D,3.407,50,-1.8102,50,-3.1661,48,3.0175,50,-2.4791,50,-3.5229,48
Qwen3-4B-Base,K-P,0.5231,50,0.0272,50,,0,0.7481,50,-0.6303,50,,0
Qwen3-4B-Base,K-B,0.6927,50,0.1273,50,,0,0.4937,50,-0.1361,50,,0
Qwen3-4B-Base,K-D,0.8563,50,0.2458,50,0.5648,44,0.796,50,-0.6064,50,-0.0838,44
Qwen3-4B-Base,R-P,0.4578,50,-0.2711,50,,0,0.4308,50,-0.2974,50,,0
Qwen3-4B-Base,R-B,0.3976,50,-0.3381,50,,0,0.4541,50,-0.3637,50,,0
Qwen3-4B-Base,R-D,0.3443,50,-0.0385,50,0.5569,34,0.4265,50,-0.3017,50,0.5479,34
Qwen3-4B-Base,C-P,0.7731,50,0.4806,50,,0,0.4819,50,-0.0286,50,,0
Qwen3-4B-Base,C-B,0.6314,50,-0.271,50,,0,0.4938,50,-0.0098,50,,0
Qwen3-4B-Base,C-D,2.6876,50,-2.1256,50,-2.6683,48,3.0103,50,-2.5677,50,-2.8426,48
Qwen3-8B-Base,K-P,0.7091,50,-0.2036,50,,0,0.7309,50,0.0467,50,,0
Qwen3-8B-Base,K-B,0.5857,50,0.2638,50,,0,0.4839,50,0.0643,50,,0
Qwen3-8B-Base,K-D,0.7292,50,-0.5213,50,0.5295,44,0.7684,50,-0.1637,50,0.5496,44
Qwen3-8B-Base,R-P,0.6691,50,0.1626,50,,0,0.8359,50,0.6363,50,,0
Qwen3-8B-Base,R-B,0.6341,50,-0.455,50,,0,0.3753,50,-0.1764,50,,0
Qwen3-8B-Base,R-D,0.6069,50,-0.5987,50,0.8189,34,0.4244,50,-0.2531,50,0.637,34
Qwen3-8B-Base,C-P,0.6964,50,0.1084,50,,0,0.791,50,0.5264,50,,0
Qwen3-8B-Base,C-B,0.851,50,-0.5626,50,,0,0.7669,50,-0.4045,50,,0
Qwen3-8B-Base,C-D,2.7278,50,-2.6682,50,-2.6639,48,2.1294,50,-1.7237,50,-2.3641,48
Qwen3-8B,K-P,1.0716,50,-0.3572,50,,0,0.9822,50,0.1952,50,,0
Qwen3-8B,K-B,0.829,50,-0.0813,50,,0,0.6405,50,0.188,50,,0
Qwen3-8B,K-D,1.6932,50,-1.164,50,2.9418,44,1.3142,50,0.1633,50,2.5875,44
Qwen3-8B,R-P,1.545,50,-1.1158,50,,0,1.7179,50,-0.3053,50,,0
Qwen3-8B,R-B,0.9825,50,-0.4162,50,,0,1.0343,50,-0.4864,50,,0
Qwen3-8B,R-D,1.0063,50,0.0436,50,2.0195,34,1.501,50,1.1754,50,1.8487,34
Qwen3-8B,C-P,1.133,50,-0.2026,50,,0,0.8977,50,-0.138,50,,0
Qwen3-8B,C-B,1.4061,50,0.4729,50,,0,1.264,50,0.2677,50,,0
Qwen3-8B,C-D,9.5645,50,-9.3097,50,-11.6039,48,9.6429,50,-9.1611,50,-12.0998,48
