layer,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,n_samples_mean,n_samples_std,auroc_mean,auroc_std,confusion_matrix,n_seeds
0,1.0,0.0,1.0,0.0,14.0,0.0,1.0,0.0,"[[7, 0], [0, 7]]",5
1,1.0,0.0,1.0,0.0,14.0,0.0,1.0,0.0,"[[7, 0], [0, 7]]",5
2,1.0,0.0,1.0,0.0,14.0,0.0,1.0,0.0,"[[7, 0], [0, 7]]",5
3,1.0,0.0,1.0,0.0,14.0,0.0,1.0,0.0,"[[7, 0], [0, 7]]",5
4,1.0,0.0,1.0,0.0,14.0,0.0,1.0,0.0,"[[7, 0], [0, 7]]",5
5,0.9285714285714286,0.0,0.9282051282051282,0.0,14.0,0.0,0.9795918367346939,1.1102230246251565e-16,"[[7, 0], [1, 6]]",5
6,0.35714285714285715,0.0,0.2631578947368421,0.0,14.0,0.0,0.6326530612244898,0.0,"[[0, 7], [2, 5]]",5
7,0.42857142857142855,0.0,0.3,0.0,14.0,0.0,0.5714285714285714,0.0,"[[0, 7], [1, 6]]",5
8,0.5,0.0,0.3333333333333333,0.0,14.0,0.0,0.8571428571428571,0.0,"[[0, 7], [0, 7]]",5
9,0.5,0.0,0.3333333333333333,0.0,14.0,0.0,0.020408163265306128,0.0,"[[0, 7], [0, 7]]",5
10,0.5,0.0,0.3333333333333333,0.0,14.0,0.0,1.0,0.0,"[[0, 7], [0, 7]]",5
11,1.0,0.0,1.0,0.0,14.0,0.0,1.0,0.0,"[[7, 0], [0, 7]]",5
12,1.0,0.0,1.0,0.0,14.0,0.0,1.0,0.0,"[[7, 0], [0, 7]]",5
13,1.0,0.0,1.0,0.0,14.0,0.0,1.0,0.0,"[[7, 0], [0, 7]]",5
14,1.0,0.0,1.0,0.0,14.0,0.0,1.0,0.0,"[[7, 0], [0, 7]]",5
15,1.0,0.0,1.0,0.0,14.0,0.0,1.0,0.0,"[[7, 0], [0, 7]]",5
16,1.0,0.0,1.0,0.0,14.0,0.0,1.0,0.0,"[[7, 0], [0, 7]]",5
17,1.0,0.0,1.0,0.0,14.0,0.0,1.0,0.0,"[[7, 0], [0, 7]]",5
18,1.0,0.0,1.0,0.0,14.0,0.0,1.0,0.0,"[[7, 0], [0, 7]]",5
19,1.0,0.0,1.0,0.0,14.0,0.0,1.0,0.0,"[[7, 0], [0, 7]]",5
20,0.8571428571428571,0.0,0.8541666666666667,0.0,14.0,0.0,1.0,0.0,"[[5, 2], [0, 7]]",5
21,1.0,0.0,1.0,0.0,14.0,0.0,1.0,0.0,"[[7, 0], [0, 7]]",5
22,1.0,0.0,1.0,0.0,14.0,0.0,1.0,0.0,"[[7, 0], [0, 7]]",5
23,1.0,0.0,1.0,0.0,14.0,0.0,1.0,0.0,"[[7, 0], [0, 7]]",5
24,1.0,0.0,1.0,0.0,14.0,0.0,1.0,0.0,"[[7, 0], [0, 7]]",5
25,1.0,0.0,1.0,0.0,14.0,0.0,1.0,0.0,"[[7, 0], [0, 7]]",5
26,1.0,0.0,1.0,0.0,14.0,0.0,1.0,0.0,"[[7, 0], [0, 7]]",5
27,1.0,0.0,1.0,0.0,14.0,0.0,1.0,0.0,"[[7, 0], [0, 7]]",5
28,1.0,0.0,1.0,0.0,14.0,0.0,1.0,0.0,"[[7, 0], [0, 7]]",5
29,1.0,0.0,1.0,0.0,14.0,0.0,1.0,0.0,"[[7, 0], [0, 7]]",5
30,1.0,0.0,1.0,0.0,14.0,0.0,1.0,0.0,"[[7, 0], [0, 7]]",5
31,0.9285714285714286,0.0,0.9282051282051282,0.0,14.0,0.0,1.0,0.0,"[[6, 1], [0, 7]]",5
32,0.8571428571428571,0.0,0.8541666666666667,0.0,14.0,0.0,1.0,0.0,"[[5, 2], [0, 7]]",5
33,0.8571428571428571,0.0,0.8541666666666667,0.0,14.0,0.0,1.0,0.0,"[[5, 2], [0, 7]]",5
34,0.6428571428571429,0.0,0.5906432748538011,0.0,14.0,0.0,1.0,0.0,"[[2, 5], [0, 7]]",5
35,0.5714285714285714,0.0,0.475,0.0,14.0,0.0,1.0,0.0,"[[1, 6], [0, 7]]",5
