layer,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,n_samples_mean,n_samples_std,auroc_mean,auroc_std,confusion_matrix,n_seeds
0,0.9285714285714286,0.0,0.9282051282051282,0.0,14.0,0.0,0.9166666666666666,0.0,"[[7, 1], [0, 6]]",5
1,0.9285714285714286,0.0,0.9282051282051282,0.0,14.0,0.0,0.9166666666666666,0.0,"[[7, 1], [0, 6]]",5
2,0.9285714285714286,0.0,0.9282051282051282,0.0,14.0,0.0,0.8958333333333334,0.0,"[[7, 1], [0, 6]]",5
3,0.9285714285714286,0.0,0.9282051282051282,0.0,14.0,0.0,0.9166666666666666,0.0,"[[7, 1], [0, 6]]",5
4,0.9285714285714286,0.0,0.9282051282051282,0.0,14.0,0.0,0.9791666666666666,0.0,"[[7, 1], [0, 6]]",5
5,0.9285714285714286,0.0,0.9282051282051282,0.0,14.0,0.0,1.0,0.0,"[[7, 1], [0, 6]]",5
6,0.9285714285714286,0.0,0.9282051282051282,0.0,14.0,0.0,0.9166666666666666,0.0,"[[7, 1], [0, 6]]",5
7,0.9285714285714286,0.0,0.9282051282051282,0.0,14.0,0.0,0.9166666666666666,0.0,"[[7, 1], [0, 6]]",5
8,0.9285714285714286,0.0,0.9282051282051282,0.0,14.0,0.0,0.875,0.0,"[[7, 1], [0, 6]]",5
9,0.9285714285714286,0.0,0.9282051282051282,0.0,14.0,0.0,0.9166666666666666,0.0,"[[7, 1], [0, 6]]",5
10,0.9285714285714286,0.0,0.9282051282051282,0.0,14.0,0.0,0.8958333333333334,0.0,"[[7, 1], [0, 6]]",5
11,0.9285714285714286,0.0,0.9282051282051282,0.0,14.0,0.0,0.8958333333333334,0.0,"[[7, 1], [0, 6]]",5
12,0.9285714285714286,0.0,0.9282051282051282,0.0,14.0,0.0,1.0,0.0,"[[7, 1], [0, 6]]",5
13,0.9285714285714286,0.0,0.9282051282051282,0.0,14.0,0.0,0.9791666666666666,0.0,"[[7, 1], [0, 6]]",5
14,0.9285714285714286,0.0,0.9282051282051282,0.0,14.0,0.0,0.8958333333333334,0.0,"[[7, 1], [0, 6]]",5
15,0.9285714285714286,0.0,0.9282051282051282,0.0,14.0,0.0,0.9166666666666666,0.0,"[[7, 1], [0, 6]]",5
16,0.9285714285714286,0.0,0.9282051282051282,0.0,14.0,0.0,0.9791666666666666,0.0,"[[7, 1], [0, 6]]",5
17,0.9285714285714286,0.0,0.9282051282051282,0.0,14.0,0.0,0.8958333333333334,0.0,"[[7, 1], [0, 6]]",5
18,0.9285714285714286,0.0,0.9282051282051282,0.0,14.0,0.0,0.9166666666666666,0.0,"[[7, 1], [0, 6]]",5
19,0.9285714285714286,0.0,0.9282051282051282,0.0,14.0,0.0,0.9791666666666666,0.0,"[[7, 1], [0, 6]]",5
20,0.9285714285714286,0.0,0.9282051282051282,0.0,14.0,0.0,0.9583333333333334,0.0,"[[7, 1], [0, 6]]",5
21,0.9285714285714286,0.0,0.9282051282051282,0.0,14.0,0.0,0.9166666666666666,0.0,"[[7, 1], [0, 6]]",5
22,0.9285714285714286,0.0,0.9282051282051282,0.0,14.0,0.0,0.9583333333333334,0.0,"[[7, 1], [0, 6]]",5
23,0.9285714285714286,0.0,0.9282051282051282,0.0,14.0,0.0,0.9375,0.0,"[[7, 1], [0, 6]]",5
24,0.9285714285714286,0.0,0.9282051282051282,0.0,14.0,0.0,0.9375,0.0,"[[7, 1], [0, 6]]",5
25,0.9285714285714286,0.0,0.9282051282051282,0.0,14.0,0.0,0.9166666666666666,0.0,"[[7, 1], [0, 6]]",5
26,0.9285714285714286,0.0,0.9282051282051282,0.0,14.0,0.0,0.9166666666666666,0.0,"[[7, 1], [0, 6]]",5
27,0.9285714285714286,0.0,0.9282051282051282,0.0,14.0,0.0,0.9166666666666666,0.0,"[[7, 1], [0, 6]]",5
28,0.9285714285714286,0.0,0.9282051282051282,0.0,14.0,0.0,0.8958333333333334,0.0,"[[7, 1], [0, 6]]",5
29,0.9285714285714286,0.0,0.9282051282051282,0.0,14.0,0.0,0.9166666666666666,0.0,"[[7, 1], [0, 6]]",5
30,0.9285714285714286,0.0,0.9282051282051282,0.0,14.0,0.0,0.9166666666666666,0.0,"[[7, 1], [0, 6]]",5
31,0.9285714285714286,0.0,0.9282051282051282,0.0,14.0,0.0,0.9375,0.0,"[[7, 1], [0, 6]]",5
32,0.9285714285714286,0.0,0.9282051282051282,0.0,14.0,0.0,0.9375,0.0,"[[7, 1], [0, 6]]",5
33,0.9285714285714286,0.0,0.9282051282051282,0.0,14.0,0.0,0.9375,0.0,"[[7, 1], [0, 6]]",5
34,0.9285714285714286,0.0,0.9282051282051282,0.0,14.0,0.0,0.9583333333333334,0.0,"[[7, 1], [0, 6]]",5
35,0.9285714285714286,0.0,0.9282051282051282,0.0,14.0,0.0,1.0,0.0,"[[7, 1], [0, 6]]",5
