layer,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,n_samples_mean,n_samples_std,auroc_mean,auroc_std,confusion_matrix,n_seeds
0,1.0,0.0,1.0,0.0,16.0,0.0,1.0,0.0,"[[8, 0], [0, 8]]",5
1,1.0,0.0,1.0,0.0,16.0,0.0,1.0,0.0,"[[8, 0], [0, 8]]",5
2,1.0,0.0,1.0,0.0,16.0,0.0,1.0,0.0,"[[8, 0], [0, 8]]",5
3,1.0,0.0,1.0,0.0,16.0,0.0,1.0,0.0,"[[8, 0], [0, 8]]",5
4,1.0,0.0,1.0,0.0,16.0,0.0,1.0,0.0,"[[8, 0], [0, 8]]",5
5,1.0,0.0,1.0,0.0,16.0,0.0,1.0,0.0,"[[8, 0], [0, 8]]",5
6,1.0,0.0,1.0,0.0,16.0,0.0,1.0,0.0,"[[8, 0], [0, 8]]",5
7,1.0,0.0,1.0,0.0,16.0,0.0,1.0,0.0,"[[8, 0], [0, 8]]",5
8,1.0,0.0,1.0,0.0,16.0,0.0,1.0,0.0,"[[8, 0], [0, 8]]",5
9,1.0,0.0,1.0,0.0,16.0,0.0,1.0,0.0,"[[8, 0], [0, 8]]",5
10,1.0,0.0,1.0,0.0,16.0,0.0,1.0,0.0,"[[8, 0], [0, 8]]",5
11,1.0,0.0,1.0,0.0,16.0,0.0,1.0,0.0,"[[8, 0], [0, 8]]",5
12,1.0,0.0,1.0,0.0,16.0,0.0,1.0,0.0,"[[8, 0], [0, 8]]",5
13,0.9375,0.0,0.9372549019607843,0.0,16.0,0.0,1.0,0.0,"[[8, 0], [1, 7]]",5
14,1.0,0.0,1.0,0.0,16.0,0.0,1.0,0.0,"[[8, 0], [0, 8]]",5
15,0.9375,0.0,0.9372549019607843,0.0,16.0,0.0,1.0,0.0,"[[8, 0], [1, 7]]",5
16,1.0,0.0,1.0,0.0,16.0,0.0,1.0,0.0,"[[8, 0], [0, 8]]",5
17,1.0,0.0,1.0,0.0,16.0,0.0,1.0,0.0,"[[8, 0], [0, 8]]",5
18,1.0,0.0,1.0,0.0,16.0,0.0,1.0,0.0,"[[8, 0], [0, 8]]",5
19,1.0,0.0,1.0,0.0,16.0,0.0,1.0,0.0,"[[8, 0], [0, 8]]",5
20,1.0,0.0,1.0,0.0,16.0,0.0,1.0,0.0,"[[8, 0], [0, 8]]",5
21,1.0,0.0,1.0,0.0,16.0,0.0,1.0,0.0,"[[8, 0], [0, 8]]",5
22,0.9375,0.0,0.9372549019607843,0.0,16.0,0.0,1.0,0.0,"[[8, 0], [1, 7]]",5
23,1.0,0.0,1.0,0.0,16.0,0.0,1.0,0.0,"[[8, 0], [0, 8]]",5
24,1.0,0.0,1.0,0.0,16.0,0.0,1.0,0.0,"[[8, 0], [0, 8]]",5
25,1.0,0.0,1.0,0.0,16.0,0.0,1.0,0.0,"[[8, 0], [0, 8]]",5
26,0.9375,0.0,0.9372549019607843,0.0,16.0,0.0,1.0,0.0,"[[8, 0], [1, 7]]",5
27,1.0,0.0,1.0,0.0,16.0,0.0,1.0,0.0,"[[8, 0], [0, 8]]",5
28,1.0,0.0,1.0,0.0,16.0,0.0,1.0,0.0,"[[8, 0], [0, 8]]",5
29,1.0,0.0,1.0,0.0,16.0,0.0,1.0,0.0,"[[8, 0], [0, 8]]",5
30,1.0,0.0,1.0,0.0,16.0,0.0,1.0,0.0,"[[8, 0], [0, 8]]",5
31,1.0,0.0,1.0,0.0,16.0,0.0,1.0,0.0,"[[8, 0], [0, 8]]",5
32,1.0,0.0,1.0,0.0,16.0,0.0,1.0,0.0,"[[8, 0], [0, 8]]",5
33,1.0,0.0,1.0,0.0,16.0,0.0,1.0,0.0,"[[8, 0], [0, 8]]",5
34,1.0,0.0,1.0,0.0,16.0,0.0,1.0,0.0,"[[8, 0], [0, 8]]",5
35,1.0,0.0,1.0,0.0,16.0,0.0,1.0,0.0,"[[8, 0], [0, 8]]",5
