layer,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,n_samples_mean,n_samples_std,auroc_mean,auroc_std,confusion_matrix,n_seeds
0,0.84375,0.0,0.8423645320197044,0.0,32.0,0.0,0.8671875,0.0,"[[15, 1], [4, 12]]",5
1,0.78125,0.0,0.7702564102564102,0.0,32.0,0.0,1.0,0.0,"[[9, 7], [0, 16]]",5
2,0.5,0.0,0.3333333333333333,0.0,32.0,0.0,1.0,0.0,"[[0, 16], [0, 16]]",5
3,0.71875,0.0,0.694591728525981,0.0,32.0,0.0,1.0,0.0,"[[7, 9], [0, 16]]",5
4,0.46875,0.0,0.3191489361702128,0.0,32.0,0.0,0.88671875,0.0,"[[0, 16], [1, 15]]",5
5,0.5,0.0,0.3333333333333333,0.0,32.0,0.0,0.9609375,0.0,"[[0, 16], [0, 16]]",5
6,0.65625,0.0,0.6101882613510521,0.0,32.0,0.0,1.0,0.0,"[[5, 11], [0, 16]]",5
7,1.0,0.0,1.0,0.0,32.0,0.0,1.0,0.0,"[[16, 0], [0, 16]]",5
8,1.0,0.0,1.0,0.0,32.0,0.0,1.0,0.0,"[[16, 0], [0, 16]]",5
9,1.0,0.0,1.0,0.0,32.0,0.0,1.0,0.0,"[[16, 0], [0, 16]]",5
10,0.71875,0.0,0.694591728525981,0.0,32.0,0.0,1.0,0.0,"[[7, 9], [0, 16]]",5
11,0.46875,0.0,0.3191489361702128,0.0,32.0,0.0,0.4609375,0.0,"[[0, 16], [1, 15]]",5
12,0.5,0.0,0.3333333333333333,0.0,32.0,0.0,0.92578125,0.0,"[[0, 16], [0, 16]]",5
13,0.5,0.0,0.3333333333333333,0.0,32.0,0.0,0.8125,0.0,"[[0, 16], [0, 16]]",5
14,0.4375,0.0,0.30434782608695654,0.0,32.0,0.0,0.3359375,0.0,"[[0, 16], [2, 14]]",5
15,0.40625,0.0,0.28888888888888886,0.0,32.0,0.0,0.5,0.0,"[[0, 16], [3, 13]]",5
16,0.5,0.0,0.3333333333333333,0.0,32.0,0.0,0.48046875,0.0,"[[0, 16], [0, 16]]",5
17,0.5,0.0,0.3333333333333333,0.0,32.0,0.0,0.29296875,0.0,"[[0, 16], [0, 16]]",5
18,0.5,0.0,0.3333333333333333,0.0,32.0,0.0,0.390625,0.0,"[[0, 16], [0, 16]]",5
19,0.5,0.0,0.3333333333333333,0.0,32.0,0.0,0.74609375,0.0,"[[0, 16], [0, 16]]",5
20,0.5,0.0,0.3333333333333333,0.0,32.0,0.0,0.40625,0.0,"[[0, 16], [0, 16]]",5
21,0.5,0.0,0.3333333333333333,0.0,32.0,0.0,0.5625,0.0,"[[0, 16], [0, 16]]",5
22,0.5,0.0,0.3333333333333333,0.0,32.0,0.0,0.53515625,0.0,"[[0, 16], [0, 16]]",5
23,0.5,0.0,0.3333333333333333,0.0,32.0,0.0,0.39453125,0.0,"[[0, 16], [0, 16]]",5
24,0.5,0.0,0.3333333333333333,0.0,32.0,0.0,0.34375,0.0,"[[0, 16], [0, 16]]",5
25,0.4375,0.0,0.30434782608695654,0.0,32.0,0.0,0.28515625,0.0,"[[0, 16], [2, 14]]",5
26,0.375,0.0,0.2727272727272727,0.0,32.0,0.0,0.125,0.0,"[[0, 16], [4, 12]]",5
27,0.375,0.0,0.2727272727272727,0.0,32.0,0.0,0.1328125,0.0,"[[0, 16], [4, 12]]",5
28,0.34375,0.0,0.2558139534883721,0.0,32.0,0.0,0.20703125,0.0,"[[0, 16], [5, 11]]",5
29,0.28125,0.0,0.21951219512195125,2.7755575615628914e-17,32.0,0.0,0.2421875,0.0,"[[0, 16], [7, 9]]",5
30,0.3125,0.0,0.23809523809523808,0.0,32.0,0.0,0.265625,0.0,"[[0, 16], [6, 10]]",5
31,0.25,0.0,0.2,0.0,32.0,0.0,0.26953125,0.0,"[[0, 16], [8, 8]]",5
32,0.34375,0.0,0.2558139534883721,0.0,32.0,0.0,0.3203125,0.0,"[[0, 16], [5, 11]]",5
33,0.34375,0.0,0.2558139534883721,0.0,32.0,0.0,0.32421875,0.0,"[[0, 16], [5, 11]]",5
34,0.3125,0.0,0.23809523809523808,0.0,32.0,0.0,0.25390625,0.0,"[[0, 16], [6, 10]]",5
35,0.40625,0.0,0.28888888888888886,0.0,32.0,0.0,0.66015625,0.0,"[[0, 16], [3, 13]]",5
