layer,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,n_samples_mean,n_samples_std,auroc_mean,auroc_std,confusion_matrix,n_seeds
0,1.0,0.0,1.0,0.0,8.0,0.0,1.0,0.0,"[[4, 0], [0, 4]]",5
1,1.0,0.0,1.0,0.0,8.0,0.0,1.0,0.0,"[[4, 0], [0, 4]]",5
2,1.0,0.0,1.0,0.0,8.0,0.0,1.0,0.0,"[[4, 0], [0, 4]]",5
3,0.875,0.0,0.8730158730158731,1.1102230246251565e-16,8.0,0.0,0.8125,0.0,"[[3, 1], [0, 4]]",5
4,1.0,0.0,1.0,0.0,8.0,0.0,1.0,0.0,"[[4, 0], [0, 4]]",5
5,1.0,0.0,1.0,0.0,8.0,0.0,1.0,0.0,"[[4, 0], [0, 4]]",5
6,1.0,0.0,1.0,0.0,8.0,0.0,1.0,0.0,"[[4, 0], [0, 4]]",5
7,1.0,0.0,1.0,0.0,8.0,0.0,1.0,0.0,"[[4, 0], [0, 4]]",5
8,1.0,0.0,1.0,0.0,8.0,0.0,1.0,0.0,"[[4, 0], [0, 4]]",5
9,1.0,0.0,1.0,0.0,8.0,0.0,1.0,0.0,"[[4, 0], [0, 4]]",5
10,1.0,0.0,1.0,0.0,8.0,0.0,1.0,0.0,"[[4, 0], [0, 4]]",5
11,1.0,0.0,1.0,0.0,8.0,0.0,1.0,0.0,"[[4, 0], [0, 4]]",5
12,0.875,0.0,0.8730158730158731,1.1102230246251565e-16,8.0,0.0,1.0,0.0,"[[3, 1], [0, 4]]",5
13,1.0,0.0,1.0,0.0,8.0,0.0,1.0,0.0,"[[4, 0], [0, 4]]",5
14,1.0,0.0,1.0,0.0,8.0,0.0,1.0,0.0,"[[4, 0], [0, 4]]",5
15,1.0,0.0,1.0,0.0,8.0,0.0,1.0,0.0,"[[4, 0], [0, 4]]",5
16,1.0,0.0,1.0,0.0,8.0,0.0,1.0,0.0,"[[4, 0], [0, 4]]",5
17,0.875,0.0,0.8730158730158731,1.1102230246251565e-16,8.0,0.0,1.0,0.0,"[[3, 1], [0, 4]]",5
18,1.0,0.0,1.0,0.0,8.0,0.0,1.0,0.0,"[[4, 0], [0, 4]]",5
19,0.875,0.0,0.8730158730158731,1.1102230246251565e-16,8.0,0.0,1.0,0.0,"[[3, 1], [0, 4]]",5
20,1.0,0.0,1.0,0.0,8.0,0.0,1.0,0.0,"[[4, 0], [0, 4]]",5
21,1.0,0.0,1.0,0.0,8.0,0.0,1.0,0.0,"[[4, 0], [0, 4]]",5
22,1.0,0.0,1.0,0.0,8.0,0.0,1.0,0.0,"[[4, 0], [0, 4]]",5
23,1.0,0.0,1.0,0.0,8.0,0.0,1.0,0.0,"[[4, 0], [0, 4]]",5
24,1.0,0.0,1.0,0.0,8.0,0.0,1.0,0.0,"[[4, 0], [0, 4]]",5
25,1.0,0.0,1.0,0.0,8.0,0.0,1.0,0.0,"[[4, 0], [0, 4]]",5
26,1.0,0.0,1.0,0.0,8.0,0.0,1.0,0.0,"[[4, 0], [0, 4]]",5
27,1.0,0.0,1.0,0.0,8.0,0.0,1.0,0.0,"[[4, 0], [0, 4]]",5
28,1.0,0.0,1.0,0.0,8.0,0.0,1.0,0.0,"[[4, 0], [0, 4]]",5
29,1.0,0.0,1.0,0.0,8.0,0.0,1.0,0.0,"[[4, 0], [0, 4]]",5
30,1.0,0.0,1.0,0.0,8.0,0.0,1.0,0.0,"[[4, 0], [0, 4]]",5
31,1.0,0.0,1.0,0.0,8.0,0.0,1.0,0.0,"[[4, 0], [0, 4]]",5
32,1.0,0.0,1.0,0.0,8.0,0.0,1.0,0.0,"[[4, 0], [0, 4]]",5
33,1.0,0.0,1.0,0.0,8.0,0.0,1.0,0.0,"[[4, 0], [0, 4]]",5
34,1.0,0.0,1.0,0.0,8.0,0.0,1.0,0.0,"[[4, 0], [0, 4]]",5
35,1.0,0.0,1.0,0.0,8.0,0.0,1.0,0.0,"[[4, 0], [0, 4]]",5
