layer,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,n_samples_mean,n_samples_std,auroc_mean,auroc_std,confusion_matrix,n_seeds
0,0.7857142857142857,0.0,0.7754010695187166,0.0,14.0,0.0,0.7346938775510204,0.0,"[[4, 3], [0, 7]]",5
1,1.0,0.0,1.0,0.0,14.0,0.0,1.0,0.0,"[[7, 0], [0, 7]]",5
2,1.0,0.0,1.0,0.0,14.0,0.0,1.0,0.0,"[[7, 0], [0, 7]]",5
3,0.7857142857142857,0.0,0.7754010695187166,0.0,14.0,0.0,0.8163265306122449,0.0,"[[4, 3], [0, 7]]",5
4,0.7142857142857143,0.0,0.7142857142857143,0.0,14.0,0.0,0.8979591836734693,0.0,"[[5, 2], [2, 5]]",5
5,0.2857142857142857,0.0,0.2857142857142857,0.0,14.0,0.0,0.18367346938775514,0.0,"[[2, 5], [5, 2]]",5
6,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,"[[0, 7], [7, 0]]",5
7,0.21428571428571427,0.0,0.17647058823529413,0.0,14.0,0.0,0.30612244897959184,0.0,"[[3, 4], [7, 0]]",5
8,0.9285714285714286,0.0,0.9282051282051282,0.0,14.0,0.0,1.0,0.0,"[[7, 0], [1, 6]]",5
9,0.5,0.0,0.3333333333333333,0.0,14.0,0.0,0.40816326530612246,0.0,"[[7, 0], [7, 0]]",5
10,0.5,0.0,0.3333333333333333,0.0,14.0,0.0,1.0,0.0,"[[7, 0], [7, 0]]",5
11,1.0,0.0,1.0,0.0,14.0,0.0,1.0,0.0,"[[7, 0], [0, 7]]",5
12,1.0,0.0,1.0,0.0,14.0,0.0,1.0,0.0,"[[7, 0], [0, 7]]",5
13,1.0,0.0,1.0,0.0,14.0,0.0,1.0,0.0,"[[7, 0], [0, 7]]",5
14,1.0,0.0,1.0,0.0,14.0,0.0,1.0,0.0,"[[7, 0], [0, 7]]",5
15,1.0,0.0,1.0,0.0,14.0,0.0,1.0,0.0,"[[7, 0], [0, 7]]",5
16,1.0,0.0,1.0,0.0,14.0,0.0,1.0,0.0,"[[7, 0], [0, 7]]",5
17,1.0,0.0,1.0,0.0,14.0,0.0,1.0,0.0,"[[7, 0], [0, 7]]",5
18,0.9285714285714286,0.0,0.9282051282051282,0.0,14.0,0.0,1.0,0.0,"[[7, 0], [1, 6]]",5
19,0.9285714285714286,0.0,0.9282051282051282,0.0,14.0,0.0,1.0,0.0,"[[7, 0], [1, 6]]",5
20,0.8571428571428571,0.0,0.8541666666666667,0.0,14.0,0.0,1.0,0.0,"[[7, 0], [2, 5]]",5
21,1.0,0.0,1.0,0.0,14.0,0.0,1.0,0.0,"[[7, 0], [0, 7]]",5
22,1.0,0.0,1.0,0.0,14.0,0.0,1.0,0.0,"[[7, 0], [0, 7]]",5
23,1.0,0.0,1.0,0.0,14.0,0.0,1.0,0.0,"[[7, 0], [0, 7]]",5
24,1.0,0.0,1.0,0.0,14.0,0.0,1.0,0.0,"[[7, 0], [0, 7]]",5
25,1.0,0.0,1.0,0.0,14.0,0.0,1.0,0.0,"[[7, 0], [0, 7]]",5
26,1.0,0.0,1.0,0.0,14.0,0.0,1.0,0.0,"[[7, 0], [0, 7]]",5
27,1.0,0.0,1.0,0.0,14.0,0.0,1.0,0.0,"[[7, 0], [0, 7]]",5
28,1.0,0.0,1.0,0.0,14.0,0.0,1.0,0.0,"[[7, 0], [0, 7]]",5
29,1.0,0.0,1.0,0.0,14.0,0.0,1.0,0.0,"[[7, 0], [0, 7]]",5
30,1.0,0.0,1.0,0.0,14.0,0.0,1.0,0.0,"[[7, 0], [0, 7]]",5
31,1.0,0.0,1.0,0.0,14.0,0.0,1.0,0.0,"[[7, 0], [0, 7]]",5
32,1.0,0.0,1.0,0.0,14.0,0.0,1.0,0.0,"[[7, 0], [0, 7]]",5
33,0.9285714285714286,0.0,0.9282051282051282,0.0,14.0,0.0,1.0,0.0,"[[6, 1], [0, 7]]",5
34,0.6428571428571429,0.0,0.5906432748538011,0.0,14.0,0.0,0.7959183673469388,0.0,"[[2, 5], [0, 7]]",5
35,0.7857142857142857,0.0,0.7754010695187166,0.0,14.0,0.0,0.7755102040816326,0.0,"[[4, 3], [0, 7]]",5
