layer,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,n_samples_mean,n_samples_std,auroc_mean,auroc_std,confusion_matrix,n_seeds
0,0.8148148148148147,1.1102230246251565e-16,0.7692307692307692,0.0,54.0,0.0,0.9154334038054968,0.0,"[[34, 9], [1, 10]]",5
1,0.8518518518518519,0.0,0.8071428571428572,0.0,54.0,0.0,0.9640591966173362,0.0,"[[36, 7], [1, 10]]",5
2,0.8703703703703705,1.1102230246251565e-16,0.8271604938271604,0.0,54.0,0.0,0.9767441860465116,0.0,"[[37, 6], [1, 10]]",5
3,0.8703703703703705,1.1102230246251565e-16,0.8271604938271604,0.0,54.0,0.0,0.9534883720930234,0.0,"[[37, 6], [1, 10]]",5
4,0.888888888888889,1.1102230246251565e-16,0.8480300187617262,1.1102230246251565e-16,54.0,0.0,0.9344608879492601,1.1102230246251565e-16,"[[38, 5], [1, 10]]",5
5,0.8518518518518519,0.0,0.8071428571428572,0.0,54.0,0.0,0.9069767441860466,0.0,"[[36, 7], [1, 10]]",5
6,0.8518518518518519,0.0,0.7973733583489682,0.0,54.0,0.0,0.8625792811839323,0.0,"[[37, 6], [2, 9]]",5
7,0.8518518518518519,0.0,0.7973733583489682,0.0,54.0,0.0,0.864693446088795,0.0,"[[37, 6], [2, 9]]",5
8,0.8703703703703705,1.1102230246251565e-16,0.8271604938271604,0.0,54.0,0.0,0.9302325581395348,0.0,"[[37, 6], [1, 10]]",5
9,0.8333333333333334,0.0,0.7657831325301205,0.0,54.0,0.0,0.9302325581395348,0.0,"[[37, 6], [3, 8]]",5
10,0.8333333333333334,0.0,0.7657831325301205,0.0,54.0,0.0,0.9217758985200846,0.0,"[[37, 6], [3, 8]]",5
11,0.8518518518518519,0.0,0.7857142857142857,0.0,54.0,0.0,0.8858350951374205,1.1102230246251565e-16,"[[38, 5], [3, 8]]",5
12,0.8518518518518519,0.0,0.7857142857142857,0.0,54.0,0.0,0.879492600422833,0.0,"[[38, 5], [3, 8]]",5
13,0.8703703703703705,1.1102230246251565e-16,0.8178313253012048,0.0,54.0,0.0,0.9048625792811841,1.1102230246251565e-16,"[[38, 5], [2, 9]]",5
14,0.888888888888889,1.1102230246251565e-16,0.8392857142857142,1.1102230246251565e-16,54.0,0.0,0.9175475687103594,0.0,"[[39, 4], [2, 9]]",5
15,0.8703703703703705,1.1102230246251565e-16,0.8066496163682864,0.0,54.0,0.0,0.9006342494714588,0.0,"[[39, 4], [3, 8]]",5
16,0.888888888888889,1.1102230246251565e-16,0.8392857142857142,1.1102230246251565e-16,54.0,0.0,0.9069767441860466,1.1102230246251565e-16,"[[39, 4], [2, 9]]",5
17,0.888888888888889,1.1102230246251565e-16,0.8392857142857142,1.1102230246251565e-16,54.0,0.0,0.9217758985200846,0.0,"[[39, 4], [2, 9]]",5
18,0.9074074074074074,0.0,0.8698795180722891,0.0,54.0,0.0,0.9281183932346723,0.0,"[[39, 4], [1, 10]]",5
19,0.9074074074074074,0.0,0.8698795180722891,0.0,54.0,0.0,0.9323467230443974,1.1102230246251565e-16,"[[39, 4], [1, 10]]",5
20,0.8703703703703705,1.1102230246251565e-16,0.8178313253012048,0.0,54.0,0.0,0.923890063424947,1.1102230246251565e-16,"[[38, 5], [2, 9]]",5
21,0.888888888888889,1.1102230246251565e-16,0.8392857142857142,1.1102230246251565e-16,54.0,0.0,0.9133192389006343,0.0,"[[39, 4], [2, 9]]",5
22,0.8703703703703705,1.1102230246251565e-16,0.8178313253012048,0.0,54.0,0.0,0.9006342494714585,1.1102230246251565e-16,"[[38, 5], [2, 9]]",5
23,0.8703703703703705,1.1102230246251565e-16,0.8178313253012048,0.0,54.0,0.0,0.8837209302325582,1.1102230246251565e-16,"[[38, 5], [2, 9]]",5
24,0.8518518518518519,0.0,0.7973733583489682,0.0,54.0,0.0,0.9048625792811841,1.1102230246251565e-16,"[[37, 6], [2, 9]]",5
25,0.8518518518518519,0.0,0.7973733583489682,0.0,54.0,0.0,0.9238900634249472,0.0,"[[37, 6], [2, 9]]",5
26,0.8518518518518519,0.0,0.7973733583489682,0.0,54.0,0.0,0.9196617336152219,1.1102230246251565e-16,"[[37, 6], [2, 9]]",5
27,0.8703703703703705,1.1102230246251565e-16,0.8178313253012048,0.0,54.0,0.0,0.9217758985200846,0.0,"[[38, 5], [2, 9]]",5
28,0.8703703703703705,1.1102230246251565e-16,0.8178313253012048,0.0,54.0,0.0,0.9196617336152219,1.1102230246251565e-16,"[[38, 5], [2, 9]]",5
29,0.8703703703703705,1.1102230246251565e-16,0.8178313253012048,0.0,54.0,0.0,0.9238900634249472,0.0,"[[38, 5], [2, 9]]",5
30,0.8703703703703705,1.1102230246251565e-16,0.8178313253012048,0.0,54.0,0.0,0.9281183932346725,1.1102230246251565e-16,"[[38, 5], [2, 9]]",5
31,0.8518518518518519,0.0,0.7973733583489682,0.0,54.0,0.0,0.9260042283298098,0.0,"[[37, 6], [2, 9]]",5
32,0.8518518518518519,0.0,0.7973733583489682,0.0,54.0,0.0,0.9238900634249472,0.0,"[[37, 6], [2, 9]]",5
33,0.888888888888889,1.1102230246251565e-16,0.8392857142857142,1.1102230246251565e-16,54.0,0.0,0.9260042283298098,0.0,"[[39, 4], [2, 9]]",5
34,0.8703703703703705,1.1102230246251565e-16,0.8178313253012048,0.0,54.0,0.0,0.9217758985200846,0.0,"[[38, 5], [2, 9]]",5
35,0.8518518518518519,0.0,0.7973733583489682,0.0,54.0,0.0,0.8964059196617334,1.1102230246251565e-16,"[[37, 6], [2, 9]]",5
