layer,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,n_samples_mean,n_samples_std,auroc_mean,auroc_std,confusion_matrix,n_seeds
0,0.8571428571428571,0.0,0.8541666666666667,0.0,14.0,0.0,0.888888888888889,1.1102230246251565e-16,"[[5, 0], [2, 7]]",5
1,0.8571428571428571,0.0,0.8541666666666667,0.0,14.0,0.0,0.9555555555555555,1.1102230246251565e-16,"[[5, 0], [2, 7]]",5
2,0.8571428571428571,0.0,0.8541666666666667,0.0,14.0,0.0,0.8222222222222222,0.0,"[[5, 0], [2, 7]]",5
3,0.8571428571428571,0.0,0.8541666666666667,0.0,14.0,0.0,0.8222222222222222,0.0,"[[5, 0], [2, 7]]",5
4,0.8571428571428571,0.0,0.8541666666666667,0.0,14.0,0.0,0.8444444444444444,0.0,"[[5, 0], [2, 7]]",5
5,0.7142857142857143,0.0,0.7142857142857143,0.0,14.0,0.0,0.6444444444444444,0.0,"[[5, 0], [4, 5]]",5
6,0.7142857142857143,0.0,0.7142857142857143,0.0,14.0,0.0,0.6222222222222222,0.0,"[[5, 0], [4, 5]]",5
7,0.7857142857142857,0.0,0.7846153846153847,0.0,14.0,0.0,0.8666666666666668,1.1102230246251565e-16,"[[5, 0], [3, 6]]",5
8,0.7857142857142857,0.0,0.7846153846153847,0.0,14.0,0.0,0.7555555555555555,0.0,"[[5, 0], [3, 6]]",5
9,0.7857142857142857,0.0,0.7846153846153847,0.0,14.0,0.0,0.7333333333333334,0.0,"[[5, 0], [3, 6]]",5
10,0.8571428571428571,0.0,0.8541666666666667,0.0,14.0,0.0,0.8444444444444444,0.0,"[[5, 0], [2, 7]]",5
11,0.8571428571428571,0.0,0.8541666666666667,0.0,14.0,0.0,0.8222222222222222,0.0,"[[5, 0], [2, 7]]",5
12,0.7857142857142857,0.0,0.7846153846153847,0.0,14.0,0.0,0.711111111111111,0.0,"[[5, 0], [3, 6]]",5
13,0.8571428571428571,0.0,0.8541666666666667,0.0,14.0,0.0,0.8444444444444444,0.0,"[[5, 0], [2, 7]]",5
14,0.8571428571428571,0.0,0.8541666666666667,0.0,14.0,0.0,0.9111111111111111,0.0,"[[5, 0], [2, 7]]",5
15,0.8571428571428571,0.0,0.8541666666666667,0.0,14.0,0.0,0.9111111111111111,0.0,"[[5, 0], [2, 7]]",5
16,0.7857142857142857,0.0,0.7846153846153847,0.0,14.0,0.0,0.888888888888889,1.1102230246251565e-16,"[[5, 0], [3, 6]]",5
17,0.8571428571428571,0.0,0.8541666666666667,0.0,14.0,0.0,0.888888888888889,1.1102230246251565e-16,"[[5, 0], [2, 7]]",5
18,0.8571428571428571,0.0,0.8541666666666667,0.0,14.0,0.0,0.9111111111111111,0.0,"[[5, 0], [2, 7]]",5
19,0.8571428571428571,0.0,0.8541666666666667,0.0,14.0,0.0,0.9111111111111111,0.0,"[[5, 0], [2, 7]]",5
20,0.8571428571428571,0.0,0.8541666666666667,0.0,14.0,0.0,0.9111111111111111,0.0,"[[5, 0], [2, 7]]",5
21,0.8571428571428571,0.0,0.8541666666666667,0.0,14.0,0.0,0.888888888888889,1.1102230246251565e-16,"[[5, 0], [2, 7]]",5
22,0.8571428571428571,0.0,0.8541666666666667,0.0,14.0,0.0,0.8444444444444444,0.0,"[[5, 0], [2, 7]]",5
23,0.8571428571428571,0.0,0.8541666666666667,0.0,14.0,0.0,0.9111111111111111,0.0,"[[5, 0], [2, 7]]",5
24,0.7857142857142857,0.0,0.7846153846153847,0.0,14.0,0.0,0.8222222222222222,0.0,"[[5, 0], [3, 6]]",5
25,0.6428571428571429,0.0,0.641025641025641,0.0,14.0,0.0,0.711111111111111,0.0,"[[5, 0], [5, 4]]",5
26,0.5714285714285714,0.0,0.5625,0.0,14.0,0.0,0.6444444444444444,0.0,"[[5, 0], [6, 3]]",5
27,0.5714285714285714,0.0,0.5625,0.0,14.0,0.0,0.6444444444444444,0.0,"[[5, 0], [6, 3]]",5
28,0.6428571428571429,0.0,0.641025641025641,0.0,14.0,0.0,0.7777777777777778,0.0,"[[5, 0], [5, 4]]",5
29,0.5714285714285714,0.0,0.5625,0.0,14.0,0.0,0.7111111111111111,0.0,"[[5, 0], [6, 3]]",5
30,0.5714285714285714,0.0,0.5625,0.0,14.0,0.0,0.6444444444444444,0.0,"[[5, 0], [6, 3]]",5
31,0.5714285714285714,0.0,0.5625,0.0,14.0,0.0,0.6,0.0,"[[5, 0], [6, 3]]",5
32,0.5714285714285714,0.0,0.5625,0.0,14.0,0.0,0.6444444444444444,0.0,"[[5, 0], [6, 3]]",5
33,0.7142857142857143,0.0,0.7142857142857143,0.0,14.0,0.0,0.7333333333333333,0.0,"[[5, 0], [4, 5]]",5
34,0.7857142857142857,0.0,0.7846153846153847,0.0,14.0,0.0,0.8444444444444443,0.0,"[[5, 0], [3, 6]]",5
35,0.7857142857142857,0.0,0.7846153846153847,0.0,14.0,0.0,0.888888888888889,1.1102230246251565e-16,"[[5, 0], [3, 6]]",5
