layer,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,n_samples_mean,n_samples_std,auroc_mean,auroc_std,confusion_matrix,n_seeds
0,0.6875,0.0,0.40740740740740733,5.551115123125783e-17,32.0,0.0,0.12903225806451613,0.0,"[[0, 1], [9, 22]]",5
1,0.5625,0.0,0.36,0.0,32.0,0.0,0.03225806451612903,0.0,"[[0, 1], [13, 18]]",5
2,0.46875,0.0,0.3191489361702128,0.0,32.0,0.0,0.0967741935483871,0.0,"[[0, 1], [16, 15]]",5
3,0.6875,0.0,0.40740740740740733,5.551115123125783e-17,32.0,0.0,0.2258064516129032,2.7755575615628914e-17,"[[0, 1], [9, 22]]",5
4,0.46875,0.0,0.3191489361702128,0.0,32.0,0.0,0.12903225806451613,0.0,"[[0, 1], [16, 15]]",5
5,0.375,0.0,0.2727272727272727,0.0,32.0,0.0,0.25806451612903225,0.0,"[[0, 1], [19, 12]]",5
6,0.625,0.0,0.38461538461538464,0.0,32.0,0.0,0.3225806451612903,0.0,"[[0, 1], [11, 20]]",5
7,0.96875,0.0,0.492063492063492,5.551115123125783e-17,32.0,0.0,0.4193548387096774,5.551115123125783e-17,"[[0, 1], [0, 31]]",5
8,0.96875,0.0,0.492063492063492,5.551115123125783e-17,32.0,0.0,0.3548387096774194,0.0,"[[0, 1], [0, 31]]",5
9,0.96875,0.0,0.492063492063492,5.551115123125783e-17,32.0,0.0,0.3548387096774194,0.0,"[[0, 1], [0, 31]]",5
10,0.625,0.0,0.38461538461538464,0.0,32.0,0.0,0.4838709677419355,0.0,"[[0, 1], [11, 20]]",5
11,0.46875,0.0,0.3191489361702128,0.0,32.0,0.0,0.4838709677419355,0.0,"[[0, 1], [16, 15]]",5
12,0.46875,0.0,0.3191489361702128,0.0,32.0,0.0,0.25806451612903225,0.0,"[[0, 1], [16, 15]]",5
13,0.46875,0.0,0.3191489361702128,0.0,32.0,0.0,0.0967741935483871,0.0,"[[0, 1], [16, 15]]",5
14,0.46875,0.0,0.3191489361702128,0.0,32.0,0.0,0.3870967741935484,0.0,"[[0, 1], [16, 15]]",5
15,0.46875,0.0,0.3191489361702128,0.0,32.0,0.0,0.4516129032258064,5.551115123125783e-17,"[[0, 1], [16, 15]]",5
16,0.46875,0.0,0.3191489361702128,0.0,32.0,0.0,0.4193548387096774,5.551115123125783e-17,"[[0, 1], [16, 15]]",5
17,0.46875,0.0,0.3191489361702128,0.0,32.0,0.0,0.4838709677419355,0.0,"[[0, 1], [16, 15]]",5
18,0.46875,0.0,0.3191489361702128,0.0,32.0,0.0,0.4838709677419355,0.0,"[[0, 1], [16, 15]]",5
19,0.46875,0.0,0.3191489361702128,0.0,32.0,0.0,0.4516129032258064,5.551115123125783e-17,"[[0, 1], [16, 15]]",5
20,0.46875,0.0,0.3191489361702128,0.0,32.0,0.0,0.4193548387096774,5.551115123125783e-17,"[[0, 1], [16, 15]]",5
21,0.46875,0.0,0.3191489361702128,0.0,32.0,0.0,0.4516129032258064,5.551115123125783e-17,"[[0, 1], [16, 15]]",5
22,0.46875,0.0,0.3191489361702128,0.0,32.0,0.0,0.03225806451612903,0.0,"[[0, 1], [16, 15]]",5
23,0.46875,0.0,0.3191489361702128,0.0,32.0,0.0,0.0,0.0,"[[0, 1], [16, 15]]",5
24,0.46875,0.0,0.3191489361702128,0.0,32.0,0.0,0.06451612903225806,0.0,"[[0, 1], [16, 15]]",5
25,0.46875,0.0,0.3191489361702128,0.0,32.0,0.0,0.06451612903225806,0.0,"[[0, 1], [16, 15]]",5
26,0.46875,0.0,0.3191489361702128,0.0,32.0,0.0,0.12903225806451613,0.0,"[[0, 1], [16, 15]]",5
27,0.46875,0.0,0.3191489361702128,0.0,32.0,0.0,0.1935483870967742,0.0,"[[0, 1], [16, 15]]",5
28,0.46875,0.0,0.3191489361702128,0.0,32.0,0.0,0.16129032258064516,0.0,"[[0, 1], [16, 15]]",5
29,0.46875,0.0,0.3191489361702128,0.0,32.0,0.0,0.16129032258064516,0.0,"[[0, 1], [16, 15]]",5
30,0.46875,0.0,0.3191489361702128,0.0,32.0,0.0,0.16129032258064516,0.0,"[[0, 1], [16, 15]]",5
31,0.46875,0.0,0.3191489361702128,0.0,32.0,0.0,0.12903225806451613,0.0,"[[0, 1], [16, 15]]",5
32,0.46875,0.0,0.3191489361702128,0.0,32.0,0.0,0.03225806451612903,0.0,"[[0, 1], [16, 15]]",5
33,0.46875,0.0,0.3191489361702128,0.0,32.0,0.0,0.0,0.0,"[[0, 1], [16, 15]]",5
34,0.46875,0.0,0.3191489361702128,0.0,32.0,0.0,0.12903225806451613,0.0,"[[0, 1], [16, 15]]",5
35,0.4375,0.0,0.30434782608695654,0.0,32.0,0.0,0.03225806451612903,0.0,"[[0, 1], [17, 14]]",5
