layer,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,n_samples_mean,n_samples_std,auroc_mean,auroc_std,confusion_matrix,n_seeds
0,0.4375,0.0,0.30434782608695654,0.0,16.0,0.0,0.75,0.0,"[[0, 8], [1, 7]]",5
1,0.5,0.0,0.3333333333333333,0.0,16.0,0.0,0.859375,0.0,"[[0, 8], [0, 8]]",5
2,0.5,0.0,0.3333333333333333,0.0,16.0,0.0,0.96875,0.0,"[[0, 8], [0, 8]]",5
3,0.5,0.0,0.3333333333333333,0.0,16.0,0.0,1.0,0.0,"[[0, 8], [0, 8]]",5
4,0.5,0.0,0.3333333333333333,0.0,16.0,0.0,0.796875,0.0,"[[0, 8], [0, 8]]",5
5,0.5,0.0,0.3333333333333333,0.0,16.0,0.0,0.890625,0.0,"[[0, 8], [0, 8]]",5
6,0.5,0.0,0.3333333333333333,0.0,16.0,0.0,0.96875,0.0,"[[0, 8], [0, 8]]",5
7,0.5,0.0,0.3333333333333333,0.0,16.0,0.0,0.859375,0.0,"[[0, 8], [0, 8]]",5
8,0.5,0.0,0.3333333333333333,0.0,16.0,0.0,0.984375,0.0,"[[0, 8], [0, 8]]",5
9,0.5,0.0,0.3333333333333333,0.0,16.0,0.0,1.0,0.0,"[[0, 8], [0, 8]]",5
10,0.5,0.0,0.3333333333333333,0.0,16.0,0.0,0.4375,0.0,"[[0, 8], [0, 8]]",5
11,0.5,0.0,0.3333333333333333,0.0,16.0,0.0,0.0,0.0,"[[0, 8], [0, 8]]",5
12,0.5,0.0,0.3333333333333333,0.0,16.0,0.0,0.125,0.0,"[[0, 8], [0, 8]]",5
13,0.5,0.0,0.3333333333333333,0.0,16.0,0.0,1.0,0.0,"[[0, 8], [0, 8]]",5
14,0.5,0.0,0.3333333333333333,0.0,16.0,0.0,1.0,0.0,"[[0, 8], [0, 8]]",5
15,0.5,0.0,0.3333333333333333,0.0,16.0,0.0,0.75,0.0,"[[0, 8], [0, 8]]",5
16,0.5,0.0,0.3333333333333333,0.0,16.0,0.0,1.0,0.0,"[[0, 8], [0, 8]]",5
17,0.5,0.0,0.3333333333333333,0.0,16.0,0.0,1.0,0.0,"[[0, 8], [0, 8]]",5
18,0.5,0.0,0.3333333333333333,0.0,16.0,0.0,0.984375,0.0,"[[0, 8], [0, 8]]",5
19,0.5,0.0,0.3333333333333333,0.0,16.0,0.0,0.1875,0.0,"[[0, 8], [0, 8]]",5
20,0.5,0.0,0.3333333333333333,0.0,16.0,0.0,0.15625,0.0,"[[0, 8], [0, 8]]",5
21,0.5,0.0,0.3333333333333333,0.0,16.0,0.0,0.296875,0.0,"[[0, 8], [0, 8]]",5
22,0.5,0.0,0.3333333333333333,0.0,16.0,0.0,0.0,0.0,"[[0, 8], [0, 8]]",5
23,0.5,0.0,0.3333333333333333,0.0,16.0,0.0,0.0,0.0,"[[0, 8], [0, 8]]",5
24,0.5,0.0,0.3333333333333333,0.0,16.0,0.0,0.0,0.0,"[[0, 8], [0, 8]]",5
25,0.5,0.0,0.3333333333333333,0.0,16.0,0.0,0.21875,0.0,"[[0, 8], [0, 8]]",5
26,0.5,0.0,0.3333333333333333,0.0,16.0,0.0,0.125,0.0,"[[0, 8], [0, 8]]",5
27,0.5,0.0,0.3333333333333333,0.0,16.0,0.0,0.0,0.0,"[[0, 8], [0, 8]]",5
28,0.5,0.0,0.3333333333333333,0.0,16.0,0.0,0.09375,0.0,"[[0, 8], [0, 8]]",5
29,0.5,0.0,0.3333333333333333,0.0,16.0,0.0,0.109375,0.0,"[[0, 8], [0, 8]]",5
30,0.5,0.0,0.3333333333333333,0.0,16.0,0.0,0.109375,0.0,"[[0, 8], [0, 8]]",5
31,0.5,0.0,0.3333333333333333,0.0,16.0,0.0,0.125,0.0,"[[0, 8], [0, 8]]",5
32,0.5,0.0,0.3333333333333333,0.0,16.0,0.0,0.109375,0.0,"[[0, 8], [0, 8]]",5
33,0.5,0.0,0.3333333333333333,0.0,16.0,0.0,0.0,0.0,"[[0, 8], [0, 8]]",5
34,0.5,0.0,0.3333333333333333,0.0,16.0,0.0,0.0,0.0,"[[0, 8], [0, 8]]",5
35,0.4375,0.0,0.30434782608695654,0.0,16.0,0.0,0.0,0.0,"[[0, 8], [1, 7]]",5
