layer,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,n_samples_mean,n_samples_std,auroc_mean,auroc_std,confusion_matrix,n_seeds
0,0.625,0.0,0.5636363636363637,0.0,8.0,0.0,0.8571428571428573,1.1102230246251565e-16,"[[4, 3], [0, 1]]",5
1,0.875,0.0,0.7948717948717949,0.0,8.0,0.0,0.8571428571428573,1.1102230246251565e-16,"[[6, 1], [0, 1]]",5
2,0.875,0.0,0.7948717948717949,0.0,8.0,0.0,0.8571428571428573,1.1102230246251565e-16,"[[6, 1], [0, 1]]",5
3,0.875,0.0,0.7948717948717949,0.0,8.0,0.0,1.0,0.0,"[[6, 1], [0, 1]]",5
4,0.75,0.0,0.6666666666666667,0.0,8.0,0.0,1.0,0.0,"[[5, 2], [0, 1]]",5
5,0.75,0.0,0.6666666666666667,0.0,8.0,0.0,1.0,0.0,"[[5, 2], [0, 1]]",5
6,0.75,0.0,0.6666666666666667,0.0,8.0,0.0,0.8571428571428573,1.1102230246251565e-16,"[[5, 2], [0, 1]]",5
7,0.875,0.0,0.7948717948717949,0.0,8.0,0.0,1.0,0.0,"[[6, 1], [0, 1]]",5
8,0.875,0.0,0.7948717948717949,0.0,8.0,0.0,1.0,0.0,"[[6, 1], [0, 1]]",5
9,0.875,0.0,0.7948717948717949,0.0,8.0,0.0,0.8571428571428573,1.1102230246251565e-16,"[[6, 1], [0, 1]]",5
10,0.75,0.0,0.6666666666666667,0.0,8.0,0.0,1.0,0.0,"[[5, 2], [0, 1]]",5
11,0.75,0.0,0.6666666666666667,0.0,8.0,0.0,1.0,0.0,"[[5, 2], [0, 1]]",5
12,0.75,0.0,0.6666666666666667,0.0,8.0,0.0,0.7142857142857143,0.0,"[[5, 2], [0, 1]]",5
13,0.75,0.0,0.6666666666666667,0.0,8.0,0.0,1.0,0.0,"[[5, 2], [0, 1]]",5
14,0.75,0.0,0.6666666666666667,0.0,8.0,0.0,1.0,0.0,"[[5, 2], [0, 1]]",5
15,0.75,0.0,0.6666666666666667,0.0,8.0,0.0,1.0,0.0,"[[5, 2], [0, 1]]",5
16,0.75,0.0,0.6666666666666667,0.0,8.0,0.0,0.8571428571428573,1.1102230246251565e-16,"[[5, 2], [0, 1]]",5
17,0.75,0.0,0.6666666666666667,0.0,8.0,0.0,1.0,0.0,"[[5, 2], [0, 1]]",5
18,0.75,0.0,0.6666666666666667,0.0,8.0,0.0,1.0,0.0,"[[5, 2], [0, 1]]",5
19,0.75,0.0,0.6666666666666667,0.0,8.0,0.0,1.0,0.0,"[[5, 2], [0, 1]]",5
20,0.875,0.0,0.7948717948717949,0.0,8.0,0.0,1.0,0.0,"[[6, 1], [0, 1]]",5
21,0.875,0.0,0.7948717948717949,0.0,8.0,0.0,1.0,0.0,"[[6, 1], [0, 1]]",5
22,0.875,0.0,0.7948717948717949,0.0,8.0,0.0,1.0,0.0,"[[6, 1], [0, 1]]",5
23,0.875,0.0,0.7948717948717949,0.0,8.0,0.0,1.0,0.0,"[[6, 1], [0, 1]]",5
24,1.0,0.0,1.0,0.0,8.0,0.0,1.0,0.0,"[[7, 0], [0, 1]]",5
25,1.0,0.0,1.0,0.0,8.0,0.0,1.0,0.0,"[[7, 0], [0, 1]]",5
26,0.875,0.0,0.7948717948717949,0.0,8.0,0.0,1.0,0.0,"[[6, 1], [0, 1]]",5
27,0.875,0.0,0.7948717948717949,0.0,8.0,0.0,1.0,0.0,"[[6, 1], [0, 1]]",5
28,0.625,0.0,0.38461538461538464,0.0,8.0,0.0,0.7142857142857143,0.0,"[[5, 2], [1, 0]]",5
29,0.75,0.0,0.42857142857142855,0.0,8.0,0.0,0.5714285714285714,0.0,"[[6, 1], [1, 0]]",5
30,0.75,0.0,0.42857142857142855,0.0,8.0,0.0,0.7142857142857143,0.0,"[[6, 1], [1, 0]]",5
31,0.875,0.0,0.7948717948717949,0.0,8.0,0.0,1.0,0.0,"[[6, 1], [0, 1]]",5
32,0.625,0.0,0.38461538461538464,0.0,8.0,0.0,0.7142857142857143,0.0,"[[5, 2], [1, 0]]",5
33,0.625,0.0,0.38461538461538464,0.0,8.0,0.0,0.7142857142857143,0.0,"[[5, 2], [1, 0]]",5
34,0.75,0.0,0.42857142857142855,0.0,8.0,0.0,0.7142857142857143,0.0,"[[6, 1], [1, 0]]",5
35,0.625,0.0,0.38461538461538464,0.0,8.0,0.0,0.42857142857142866,5.551115123125783e-17,"[[5, 2], [1, 0]]",5
