layer,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,n_samples_mean,n_samples_std,auroc_mean,auroc_std,confusion_matrix,n_seeds
0,0.7857142857142857,0.0,0.7142857142857142,0.0,14.0,0.0,0.7916666666666666,0.0,"[[9, 3], [0, 2]]",5
1,0.7142857142857143,0.0,0.65,0.0,14.0,0.0,0.8333333333333334,0.0,"[[8, 4], [0, 2]]",5
2,0.8571428571428571,0.0,0.46153846153846156,0.0,14.0,0.0,0.7083333333333334,0.0,"[[12, 0], [2, 0]]",5
3,0.8571428571428571,0.0,0.46153846153846156,0.0,14.0,0.0,0.25,0.0,"[[12, 0], [2, 0]]",5
4,0.8571428571428571,0.0,0.46153846153846156,0.0,14.0,0.0,0.375,0.0,"[[12, 0], [2, 0]]",5
5,0.8571428571428571,0.0,0.46153846153846156,0.0,14.0,0.0,0.0,0.0,"[[12, 0], [2, 0]]",5
6,0.35714285714285715,0.0,0.2631578947368421,0.0,14.0,0.0,0.0,0.0,"[[5, 7], [2, 0]]",5
7,0.35714285714285715,0.0,0.2631578947368421,0.0,14.0,0.0,0.041666666666666685,0.0,"[[5, 7], [2, 0]]",5
8,0.35714285714285715,0.0,0.2631578947368421,0.0,14.0,0.0,0.0,0.0,"[[5, 7], [2, 0]]",5
9,0.35714285714285715,0.0,0.2631578947368421,0.0,14.0,0.0,0.0,0.0,"[[5, 7], [2, 0]]",5
10,0.35714285714285715,0.0,0.2631578947368421,0.0,14.0,0.0,0.2916666666666667,0.0,"[[5, 7], [2, 0]]",5
11,0.8571428571428571,0.0,0.46153846153846156,0.0,14.0,0.0,0.6666666666666667,0.0,"[[12, 0], [2, 0]]",5
12,0.8571428571428571,0.0,0.46153846153846156,0.0,14.0,0.0,0.33333333333333337,0.0,"[[12, 0], [2, 0]]",5
13,0.8571428571428571,0.0,0.46153846153846156,0.0,14.0,0.0,0.4166666666666667,0.0,"[[12, 0], [2, 0]]",5
14,0.8571428571428571,0.0,0.46153846153846156,0.0,14.0,0.0,0.45833333333333337,0.0,"[[12, 0], [2, 0]]",5
15,0.8571428571428571,0.0,0.46153846153846156,0.0,14.0,0.0,0.4583333333333333,0.0,"[[12, 0], [2, 0]]",5
16,0.8571428571428571,0.0,0.46153846153846156,0.0,14.0,0.0,0.0,0.0,"[[12, 0], [2, 0]]",5
17,0.7142857142857143,0.0,0.4166666666666667,0.0,14.0,0.0,0.25,0.0,"[[10, 2], [2, 0]]",5
18,0.7142857142857143,0.0,0.4166666666666667,0.0,14.0,0.0,0.0,0.0,"[[10, 2], [2, 0]]",5
19,0.5,0.0,0.3333333333333333,0.0,14.0,0.0,0.41666666666666663,0.0,"[[7, 5], [2, 0]]",5
20,0.07142857142857142,0.0,0.06666666666666667,0.0,14.0,0.0,0.041666666666666685,0.0,"[[1, 11], [2, 0]]",5
21,0.6428571428571429,0.0,0.5906432748538011,0.0,14.0,0.0,0.6666666666666667,0.0,"[[7, 5], [0, 2]]",5
22,0.7142857142857143,0.0,0.65,0.0,14.0,0.0,0.9166666666666666,0.0,"[[8, 4], [0, 2]]",5
23,0.7142857142857143,0.0,0.65,0.0,14.0,0.0,0.7083333333333334,0.0,"[[8, 4], [0, 2]]",5
24,0.6428571428571429,0.0,0.5906432748538011,0.0,14.0,0.0,0.625,0.0,"[[7, 5], [0, 2]]",5
25,0.6428571428571429,0.0,0.5906432748538011,0.0,14.0,0.0,0.6666666666666666,0.0,"[[7, 5], [0, 2]]",5
26,0.6428571428571429,0.0,0.5906432748538011,0.0,14.0,0.0,0.6666666666666667,0.0,"[[7, 5], [0, 2]]",5
27,0.5714285714285714,0.0,0.36363636363636365,0.0,14.0,0.0,0.6666666666666667,0.0,"[[8, 4], [2, 0]]",5
28,0.7142857142857143,0.0,0.5757575757575758,0.0,14.0,0.0,0.7500000000000001,0.0,"[[9, 3], [1, 1]]",5
29,0.8571428571428571,0.0,0.7083333333333333,0.0,14.0,0.0,0.7916666666666667,0.0,"[[11, 1], [1, 1]]",5
30,0.9285714285714286,0.0,0.8133333333333332,0.0,14.0,0.0,0.9166666666666667,0.0,"[[12, 0], [1, 1]]",5
31,0.8571428571428571,0.0,0.46153846153846156,0.0,14.0,0.0,0.16666666666666663,0.0,"[[12, 0], [2, 0]]",5
32,0.7142857142857143,0.0,0.4166666666666667,0.0,14.0,0.0,0.125,0.0,"[[10, 2], [2, 0]]",5
33,0.7857142857142857,0.0,0.44000000000000006,5.551115123125783e-17,14.0,0.0,0.125,0.0,"[[11, 1], [2, 0]]",5
34,0.7142857142857143,0.0,0.4166666666666667,0.0,14.0,0.0,0.0,0.0,"[[10, 2], [2, 0]]",5
35,0.5714285714285714,0.0,0.36363636363636365,0.0,14.0,0.0,0.125,0.0,"[[8, 4], [2, 0]]",5
