layer,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,n_samples_mean,n_samples_std,auroc_mean,auroc_std,confusion_matrix,n_seeds
0,0.8333333333333334,0.0,0.7777777777777777,0.0,12.0,0.0,0.6666666666666665,0.0,"[[8, 1], [1, 2]]",5
1,0.75,0.0,0.6210526315789473,0.0,12.0,0.0,0.6296296296296295,0.0,"[[8, 1], [2, 1]]",5
2,0.75,0.0,0.6210526315789473,0.0,12.0,0.0,0.6296296296296295,0.0,"[[8, 1], [2, 1]]",5
3,0.75,0.0,0.6974789915966386,0.0,12.0,0.0,0.5925925925925926,0.0,"[[7, 2], [1, 2]]",5
4,0.8333333333333334,0.0,0.7777777777777777,0.0,12.0,0.0,0.7037037037037037,0.0,"[[8, 1], [1, 2]]",5
5,0.8333333333333334,0.0,0.7777777777777777,0.0,12.0,0.0,0.7037037037037037,0.0,"[[8, 1], [1, 2]]",5
6,0.75,0.0,0.6210526315789473,0.0,12.0,0.0,0.40740740740740733,5.551115123125783e-17,"[[8, 1], [2, 1]]",5
7,0.8333333333333334,0.0,0.7,0.0,12.0,0.0,0.40740740740740744,0.0,"[[9, 0], [2, 1]]",5
8,0.8333333333333334,0.0,0.7,0.0,12.0,0.0,0.40740740740740744,0.0,"[[9, 0], [2, 1]]",5
9,0.9166666666666666,0.0,0.8736842105263157,1.1102230246251565e-16,12.0,0.0,0.6666666666666666,0.0,"[[9, 0], [1, 2]]",5
10,0.8333333333333334,0.0,0.7,0.0,12.0,0.0,0.5555555555555556,0.0,"[[9, 0], [2, 1]]",5
11,0.8333333333333334,0.0,0.7,0.0,12.0,0.0,0.4444444444444445,5.551115123125783e-17,"[[9, 0], [2, 1]]",5
12,0.8333333333333334,0.0,0.7,0.0,12.0,0.0,0.40740740740740733,5.551115123125783e-17,"[[9, 0], [2, 1]]",5
13,0.8333333333333334,0.0,0.8125,0.0,12.0,0.0,0.9259259259259259,0.0,"[[7, 2], [0, 3]]",5
14,0.8333333333333334,0.0,0.7777777777777777,0.0,12.0,0.0,0.888888888888889,1.1102230246251565e-16,"[[8, 1], [1, 2]]",5
15,0.9166666666666666,0.0,0.8991596638655462,1.1102230246251565e-16,12.0,0.0,1.0,0.0,"[[8, 1], [0, 3]]",5
16,0.6666666666666666,0.0,0.5555555555555556,0.0,12.0,0.0,0.8518518518518519,0.0,"[[7, 2], [2, 1]]",5
17,0.6666666666666666,0.0,0.4,0.0,12.0,0.0,0.40740740740740744,0.0,"[[8, 1], [3, 0]]",5
18,0.6666666666666666,0.0,0.4,0.0,12.0,0.0,0.6296296296296295,0.0,"[[8, 1], [3, 0]]",5
19,0.6666666666666666,0.0,0.4,0.0,12.0,0.0,0.6296296296296295,0.0,"[[8, 1], [3, 0]]",5
20,0.8333333333333334,0.0,0.7,0.0,12.0,0.0,0.40740740740740744,0.0,"[[9, 0], [2, 1]]",5
21,0.75,0.0,0.42857142857142855,0.0,12.0,0.0,0.5925925925925926,0.0,"[[9, 0], [3, 0]]",5
22,0.75,0.0,0.6210526315789473,0.0,12.0,0.0,0.33333333333333326,0.0,"[[8, 1], [2, 1]]",5
23,0.6666666666666666,0.0,0.4,0.0,12.0,0.0,0.5925925925925926,0.0,"[[8, 1], [3, 0]]",5
24,0.6666666666666666,0.0,0.4,0.0,12.0,0.0,0.5185185185185186,0.0,"[[8, 1], [3, 0]]",5
25,0.8333333333333334,0.0,0.7777777777777777,0.0,12.0,0.0,0.5925925925925926,0.0,"[[8, 1], [1, 2]]",5
26,0.5833333333333334,0.0,0.3684210526315789,0.0,12.0,0.0,0.5185185185185185,0.0,"[[7, 2], [3, 0]]",5
27,0.5833333333333334,0.0,0.3684210526315789,0.0,12.0,0.0,0.40740740740740744,0.0,"[[7, 2], [3, 0]]",5
28,0.6666666666666666,0.0,0.5555555555555556,0.0,12.0,0.0,0.7407407407407408,0.0,"[[7, 2], [2, 1]]",5
29,0.6666666666666666,0.0,0.5555555555555556,0.0,12.0,0.0,0.7407407407407408,0.0,"[[7, 2], [2, 1]]",5
30,0.75,0.0,0.6974789915966386,0.0,12.0,0.0,0.7407407407407408,0.0,"[[7, 2], [1, 2]]",5
31,0.75,0.0,0.6974789915966386,0.0,12.0,0.0,0.8518518518518519,0.0,"[[7, 2], [1, 2]]",5
32,0.75,0.0,0.6974789915966386,0.0,12.0,0.0,0.8148148148148149,0.0,"[[7, 2], [1, 2]]",5
33,0.6666666666666666,0.0,0.5555555555555556,0.0,12.0,0.0,0.7777777777777778,0.0,"[[7, 2], [2, 1]]",5
34,0.6666666666666666,0.0,0.625,0.0,12.0,0.0,0.7777777777777779,0.0,"[[6, 3], [1, 2]]",5
35,0.75,0.0,0.7333333333333334,0.0,12.0,0.0,0.7777777777777779,0.0,"[[6, 3], [0, 3]]",5
