layer,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,n_samples_mean,n_samples_std,auroc_mean,auroc_std,confusion_matrix,n_seeds
0,0.8125,0.0,0.6444444444444444,0.0,16.0,0.0,0.6458333333333334,0.0,"[[12, 0], [3, 1]]",5
1,0.8125,0.0,0.6444444444444444,0.0,16.0,0.0,0.7708333333333333,0.0,"[[12, 0], [3, 1]]",5
2,0.625,0.0,0.38461538461538464,0.0,16.0,0.0,0.3333333333333333,0.0,"[[10, 2], [4, 0]]",5
3,0.625,0.0,0.38461538461538464,0.0,16.0,0.0,0.22916666666666669,0.0,"[[10, 2], [4, 0]]",5
4,0.8125,0.0,0.6444444444444444,0.0,16.0,0.0,0.35416666666666663,0.0,"[[12, 0], [3, 1]]",5
5,0.75,0.0,0.42857142857142855,0.0,16.0,0.0,0.041666666666666685,0.0,"[[12, 0], [4, 0]]",5
6,0.5625,0.0,0.36,0.0,16.0,0.0,0.5,0.0,"[[9, 3], [4, 0]]",5
7,0.5625,0.0,0.36,0.0,16.0,0.0,0.27083333333333337,0.0,"[[9, 3], [4, 0]]",5
8,0.625,0.0,0.5,0.0,16.0,0.0,0.5208333333333334,0.0,"[[9, 3], [3, 1]]",5
9,0.6875,0.0,0.5428571428571429,0.0,16.0,0.0,0.625,0.0,"[[10, 2], [3, 1]]",5
10,0.8125,0.0,0.6444444444444444,0.0,16.0,0.0,0.9166666666666666,0.0,"[[12, 0], [3, 1]]",5
11,0.75,0.0,0.42857142857142855,0.0,16.0,0.0,0.7500000000000001,0.0,"[[12, 0], [4, 0]]",5
12,0.75,0.0,0.42857142857142855,0.0,16.0,0.0,0.8541666666666667,0.0,"[[12, 0], [4, 0]]",5
13,0.75,0.0,0.42857142857142855,0.0,16.0,0.0,0.8541666666666667,0.0,"[[12, 0], [4, 0]]",5
14,0.8125,0.0,0.6444444444444444,0.0,16.0,0.0,0.8958333333333334,0.0,"[[12, 0], [3, 1]]",5
15,0.75,0.0,0.42857142857142855,0.0,16.0,0.0,1.0,0.0,"[[12, 0], [4, 0]]",5
16,0.75,0.0,0.42857142857142855,0.0,16.0,0.0,0.9583333333333334,0.0,"[[12, 0], [4, 0]]",5
17,0.8125,0.0,0.6444444444444444,0.0,16.0,0.0,0.9375,0.0,"[[12, 0], [3, 1]]",5
18,0.75,0.0,0.5897435897435898,0.0,16.0,0.0,0.8125000000000002,1.1102230246251565e-16,"[[11, 1], [3, 1]]",5
19,0.75,0.0,0.6666666666666667,0.0,16.0,0.0,0.7708333333333334,0.0,"[[10, 2], [2, 2]]",5
20,0.75,0.0,0.6666666666666667,0.0,16.0,0.0,0.8333333333333334,0.0,"[[10, 2], [2, 2]]",5
21,0.625,0.0,0.5,0.0,16.0,0.0,0.7708333333333334,0.0,"[[9, 3], [3, 1]]",5
22,0.625,0.0,0.5,0.0,16.0,0.0,0.5833333333333334,0.0,"[[9, 3], [3, 1]]",5
23,0.625,0.0,0.5636363636363637,0.0,16.0,0.0,0.5833333333333334,0.0,"[[8, 4], [2, 2]]",5
24,0.75,0.0,0.6666666666666667,0.0,16.0,0.0,0.625,0.0,"[[10, 2], [2, 2]]",5
25,0.625,0.0,0.5,0.0,16.0,0.0,0.5833333333333334,0.0,"[[9, 3], [3, 1]]",5
26,0.6875,0.0,0.5428571428571429,0.0,16.0,0.0,0.6041666666666666,0.0,"[[10, 2], [3, 1]]",5
27,0.6875,0.0,0.5428571428571429,0.0,16.0,0.0,0.625,0.0,"[[10, 2], [3, 1]]",5
28,0.75,0.0,0.6666666666666667,0.0,16.0,0.0,0.6875,0.0,"[[10, 2], [2, 2]]",5
29,0.75,0.0,0.6666666666666667,0.0,16.0,0.0,0.6041666666666667,0.0,"[[10, 2], [2, 2]]",5
30,0.75,0.0,0.6666666666666667,0.0,16.0,0.0,0.6041666666666667,0.0,"[[10, 2], [2, 2]]",5
31,0.75,0.0,0.6666666666666667,0.0,16.0,0.0,0.625,0.0,"[[10, 2], [2, 2]]",5
32,0.75,0.0,0.6666666666666667,0.0,16.0,0.0,0.625,0.0,"[[10, 2], [2, 2]]",5
33,0.8125,0.0,0.7257142857142858,0.0,16.0,0.0,0.625,0.0,"[[11, 1], [2, 2]]",5
34,0.8125,0.0,0.7257142857142858,0.0,16.0,0.0,0.625,0.0,"[[11, 1], [2, 2]]",5
35,0.8125,0.0,0.7257142857142858,0.0,16.0,0.0,0.6458333333333334,0.0,"[[11, 1], [2, 2]]",5
