layer,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,n_samples_mean,n_samples_std,auroc_mean,auroc_std,confusion_matrix,n_seeds
0,0.35714285714285715,0.0,0.35384615384615387,0.0,14.0,0.0,0.4166666666666667,0.0,"[[3, 3], [6, 2]]",5
1,0.5714285714285714,0.0,0.5333333333333333,0.0,14.0,0.0,0.5208333333333334,0.0,"[[2, 4], [2, 6]]",5
2,0.6428571428571429,0.0,0.625668449197861,0.0,14.0,0.0,0.5208333333333334,0.0,"[[3, 3], [2, 6]]",5
3,0.5714285714285714,0.0,0.475,0.0,14.0,0.0,0.45833333333333337,0.0,"[[1, 5], [1, 7]]",5
4,0.5714285714285714,0.0,0.475,0.0,14.0,0.0,0.375,0.0,"[[1, 5], [1, 7]]",5
5,0.5,0.0,0.4269005847953216,0.0,14.0,0.0,0.3333333333333333,0.0,"[[1, 5], [2, 6]]",5
6,0.42857142857142855,0.0,0.3,0.0,14.0,0.0,0.10416666666666666,0.0,"[[0, 6], [2, 6]]",5
7,0.5,0.0,0.4269005847953216,0.0,14.0,0.0,0.27083333333333337,0.0,"[[1, 5], [2, 6]]",5
8,0.5714285714285714,0.0,0.475,0.0,14.0,0.0,0.33333333333333337,0.0,"[[1, 5], [1, 7]]",5
9,0.42857142857142855,0.0,0.3,0.0,14.0,0.0,0.125,0.0,"[[0, 6], [2, 6]]",5
10,0.6428571428571429,0.0,0.625668449197861,0.0,14.0,0.0,0.4791666666666667,0.0,"[[3, 3], [2, 6]]",5
11,0.5,0.0,0.4269005847953216,0.0,14.0,0.0,0.22916666666666666,0.0,"[[1, 5], [2, 6]]",5
12,0.5714285714285714,0.0,0.36363636363636365,0.0,14.0,0.0,0.24999999999999994,2.7755575615628914e-17,"[[0, 6], [0, 8]]",5
13,0.6428571428571429,0.0,0.5238095238095237,0.0,14.0,0.0,0.3958333333333333,0.0,"[[1, 5], [0, 8]]",5
14,0.6428571428571429,0.0,0.5906432748538011,0.0,14.0,0.0,0.5208333333333333,0.0,"[[2, 4], [1, 7]]",5
15,0.5714285714285714,0.0,0.475,0.0,14.0,0.0,0.39583333333333337,0.0,"[[1, 5], [1, 7]]",5
16,0.42857142857142855,0.0,0.37777777777777777,0.0,14.0,0.0,0.3333333333333333,0.0,"[[1, 5], [3, 5]]",5
17,0.42857142857142855,0.0,0.37777777777777777,0.0,14.0,0.0,0.29166666666666663,0.0,"[[1, 5], [3, 5]]",5
18,0.42857142857142855,0.0,0.41666666666666663,0.0,14.0,0.0,0.5208333333333333,0.0,"[[2, 4], [4, 4]]",5
19,0.5,0.0,0.47593582887700536,0.0,14.0,0.0,0.5625,0.0,"[[2, 4], [3, 5]]",5
20,0.7142857142857143,0.0,0.6888888888888889,0.0,14.0,0.0,0.5833333333333333,0.0,"[[3, 3], [1, 7]]",5
21,0.5,0.0,0.47593582887700536,0.0,14.0,0.0,0.4583333333333333,0.0,"[[2, 4], [3, 5]]",5
22,0.5,0.0,0.4269005847953216,0.0,14.0,0.0,0.35416666666666663,0.0,"[[1, 5], [2, 6]]",5
23,0.42857142857142855,0.0,0.37777777777777777,0.0,14.0,0.0,0.375,0.0,"[[1, 5], [3, 5]]",5
24,0.35714285714285715,0.0,0.3262032085561497,0.0,14.0,0.0,0.25,0.0,"[[1, 5], [4, 4]]",5
25,0.42857142857142855,0.0,0.37777777777777777,0.0,14.0,0.0,0.2291666666666666,2.7755575615628914e-17,"[[1, 5], [3, 5]]",5
26,0.35714285714285715,0.0,0.3262032085561497,0.0,14.0,0.0,0.24999999999999994,2.7755575615628914e-17,"[[1, 5], [4, 4]]",5
27,0.42857142857142855,0.0,0.37777777777777777,0.0,14.0,0.0,0.2708333333333333,0.0,"[[1, 5], [3, 5]]",5
28,0.35714285714285715,0.0,0.3262032085561497,0.0,14.0,0.0,0.2708333333333333,0.0,"[[1, 5], [4, 4]]",5
29,0.35714285714285715,0.0,0.3262032085561497,0.0,14.0,0.0,0.24999999999999994,2.7755575615628914e-17,"[[1, 5], [4, 4]]",5
30,0.42857142857142855,0.0,0.37777777777777777,0.0,14.0,0.0,0.3333333333333333,0.0,"[[1, 5], [3, 5]]",5
31,0.42857142857142855,0.0,0.37777777777777777,0.0,14.0,0.0,0.3333333333333333,0.0,"[[1, 5], [3, 5]]",5
32,0.35714285714285715,0.0,0.3262032085561497,0.0,14.0,0.0,0.3333333333333333,0.0,"[[1, 5], [4, 4]]",5
33,0.42857142857142855,0.0,0.41666666666666663,0.0,14.0,0.0,0.4583333333333333,0.0,"[[2, 4], [4, 4]]",5
34,0.42857142857142855,0.0,0.41666666666666663,0.0,14.0,0.0,0.4791666666666668,5.551115123125783e-17,"[[2, 4], [4, 4]]",5
35,0.42857142857142855,0.0,0.41666666666666663,0.0,14.0,0.0,0.4583333333333333,0.0,"[[2, 4], [4, 4]]",5
