layer,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,n_samples_mean,n_samples_std,auroc_mean,auroc_std,confusion_matrix,n_seeds
0,0.5,0.0,0.3816425120772947,0.0,32.0,0.0,0.35256410256410253,0.0,"[[15, 11], [5, 1]]",5
1,0.5625,0.0,0.5151515151515151,0.0,32.0,0.0,0.5705128205128205,0.0,"[[14, 12], [2, 4]]",5
2,0.34375,0.0,0.32732732732732733,0.0,32.0,0.0,0.3333333333333333,0.0,"[[8, 18], [3, 3]]",5
3,0.53125,0.0,0.4909862142099682,0.0,32.0,0.0,0.5961538461538461,0.0,"[[13, 13], [2, 4]]",5
4,0.3125,0.0,0.30158730158730157,0.0,32.0,0.0,0.5064102564102564,0.0,"[[7, 19], [3, 3]]",5
5,0.28125,0.0,0.2805474095796676,0.0,32.0,0.0,0.5448717948717949,0.0,"[[5, 21], [2, 4]]",5
6,0.46875,0.0,0.4420512820512821,0.0,32.0,0.0,0.5833333333333334,0.0,"[[11, 15], [2, 4]]",5
7,0.78125,0.0,0.6621417797888387,0.0,32.0,0.0,0.6153846153846154,0.0,"[[22, 4], [3, 3]]",5
8,0.875,0.0,0.762962962962963,0.0,32.0,0.0,0.8397435897435898,0.0,"[[25, 1], [3, 3]]",5
9,0.84375,0.0,0.6767676767676767,0.0,32.0,0.0,0.8525641025641025,0.0,"[[25, 1], [4, 2]]",5
10,0.5625,0.0,0.49090909090909085,0.0,32.0,0.0,0.5064102564102564,0.0,"[[15, 11], [3, 3]]",5
11,0.34375,0.0,0.2873806998939554,0.0,32.0,0.0,0.3012820512820513,0.0,"[[10, 16], [5, 1]]",5
12,0.3125,0.0,0.23809523809523808,0.0,32.0,0.0,0.1923076923076923,0.0,"[[10, 16], [6, 0]]",5
13,0.34375,0.0,0.3107692307692308,0.0,32.0,0.0,0.2756410256410256,0.0,"[[9, 17], [4, 2]]",5
14,0.34375,0.0,0.32732732732732733,0.0,32.0,0.0,0.28846153846153844,0.0,"[[8, 18], [3, 3]]",5
15,0.375,0.0,0.3522267206477733,0.0,32.0,0.0,0.3333333333333333,0.0,"[[9, 17], [3, 3]]",5
16,0.3125,0.0,0.30980392156862746,0.0,32.0,0.0,0.3846153846153846,0.0,"[[6, 20], [2, 4]]",5
17,0.25,0.0,0.24705882352941178,0.0,32.0,0.0,0.2564102564102564,0.0,"[[5, 21], [3, 3]]",5
18,0.3125,0.0,0.3125,0.0,32.0,0.0,0.23076923076923078,0.0,"[[5, 21], [1, 5]]",5
19,0.3125,0.0,0.30980392156862746,0.0,32.0,0.0,0.24358974358974356,0.0,"[[6, 20], [2, 4]]",5
20,0.3125,0.0,0.30980392156862746,0.0,32.0,0.0,0.28846153846153844,0.0,"[[6, 20], [2, 4]]",5
21,0.28125,0.0,0.2748768472906404,0.0,32.0,0.0,0.35256410256410253,0.0,"[[6, 20], [3, 3]]",5
22,0.1875,0.0,0.1875,0.0,32.0,0.0,0.20512820512820512,2.7755575615628914e-17,"[[3, 23], [3, 3]]",5
23,0.25,0.0,0.23809523809523808,0.0,32.0,0.0,0.141025641025641,0.0,"[[6, 20], [4, 2]]",5
24,0.1875,0.0,0.1746031746031746,0.0,32.0,0.0,0.12179487179487178,0.0,"[[5, 21], [5, 1]]",5
25,0.25,0.0,0.23809523809523808,0.0,32.0,0.0,0.1346153846153846,0.0,"[[6, 20], [4, 2]]",5
26,0.25,0.0,0.22267206477732793,0.0,32.0,0.0,0.12179487179487178,0.0,"[[7, 19], [5, 1]]",5
27,0.25,0.0,0.2,0.0,32.0,0.0,0.14102564102564102,0.0,"[[8, 18], [6, 0]]",5
28,0.28125,0.0,0.24512820512820516,2.7755575615628914e-17,32.0,0.0,0.1282051282051282,0.0,"[[8, 18], [5, 1]]",5
29,0.25,0.0,0.2,0.0,32.0,0.0,0.13461538461538464,0.0,"[[8, 18], [6, 0]]",5
30,0.25,0.0,0.2,0.0,32.0,0.0,0.10897435897435895,0.0,"[[8, 18], [6, 0]]",5
31,0.28125,0.0,0.21951219512195125,2.7755575615628914e-17,32.0,0.0,0.14743589743589744,0.0,"[[9, 17], [6, 0]]",5
32,0.21875,0.0,0.1794871794871795,0.0,32.0,0.0,0.14743589743589744,0.0,"[[7, 19], [6, 0]]",5
33,0.25,0.0,0.2,0.0,32.0,0.0,0.16666666666666666,0.0,"[[8, 18], [6, 0]]",5
34,0.25,0.0,0.2,0.0,32.0,0.0,0.19230769230769226,0.0,"[[8, 18], [6, 0]]",5
35,0.21875,0.0,0.1794871794871795,0.0,32.0,0.0,0.22435897435897437,2.7755575615628914e-17,"[[7, 19], [6, 0]]",5
