layer,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,n_samples_mean,n_samples_std,auroc_mean,auroc_std,confusion_matrix,n_seeds
0,0.25,0.0,0.2,0.0,16.0,0.0,0.8541666666666666,0.0,"[[4, 0], [12, 0]]",5
1,0.25,0.0,0.2,0.0,16.0,0.0,0.6458333333333334,0.0,"[[4, 0], [12, 0]]",5
2,0.25,0.0,0.2,0.0,16.0,0.0,0.5625,0.0,"[[4, 0], [12, 0]]",5
3,0.25,0.0,0.2,0.0,16.0,0.0,0.1875,0.0,"[[4, 0], [12, 0]]",5
4,0.3125,0.0,0.2874493927125506,0.0,16.0,0.0,0.14583333333333334,0.0,"[[4, 0], [11, 1]]",5
5,0.3125,0.0,0.2874493927125506,0.0,16.0,0.0,0.2708333333333333,0.0,"[[4, 0], [11, 1]]",5
6,0.25,0.0,0.2,0.0,16.0,0.0,0.4375,0.0,"[[4, 0], [12, 0]]",5
7,0.25,0.0,0.2,0.0,16.0,0.0,0.75,0.0,"[[4, 0], [12, 0]]",5
8,0.25,0.0,0.2,0.0,16.0,0.0,0.875,0.0,"[[4, 0], [12, 0]]",5
9,0.1875,0.0,0.15789473684210525,0.0,16.0,0.0,0.16666666666666666,0.0,"[[3, 1], [12, 0]]",5
10,0.25,0.0,0.23809523809523808,0.0,16.0,0.0,0.20833333333333331,0.0,"[[3, 1], [11, 1]]",5
11,0.1875,0.0,0.15789473684210525,0.0,16.0,0.0,0.20833333333333331,0.0,"[[3, 1], [12, 0]]",5
12,0.1875,0.0,0.1843137254901961,0.0,16.0,0.0,0.10416666666666666,0.0,"[[2, 2], [11, 1]]",5
13,0.25,0.0,0.2,0.0,16.0,0.0,0.1875,0.0,"[[4, 0], [12, 0]]",5
14,0.1875,0.0,0.15789473684210525,0.0,16.0,0.0,0.10416666666666666,0.0,"[[3, 1], [12, 0]]",5
15,0.125,0.0,0.125,0.0,16.0,0.0,0.10416666666666666,0.0,"[[1, 3], [11, 1]]",5
16,0.1875,0.0,0.1843137254901961,0.0,16.0,0.0,0.14583333333333334,0.0,"[[2, 2], [11, 1]]",5
17,0.25,0.0,0.2,0.0,16.0,0.0,0.22916666666666666,0.0,"[[4, 0], [12, 0]]",5
18,0.25,0.0,0.2,0.0,16.0,0.0,0.125,0.0,"[[4, 0], [12, 0]]",5
19,0.3125,0.0,0.2874493927125506,0.0,16.0,0.0,0.1875,0.0,"[[4, 0], [11, 1]]",5
20,0.3125,0.0,0.2874493927125506,0.0,16.0,0.0,0.22916666666666666,0.0,"[[4, 0], [11, 1]]",5
21,0.25,0.0,0.2,0.0,16.0,0.0,0.24999999999999994,2.7755575615628914e-17,"[[4, 0], [12, 0]]",5
22,0.25,0.0,0.2,0.0,16.0,0.0,0.2708333333333333,0.0,"[[4, 0], [12, 0]]",5
23,0.25,0.0,0.2,0.0,16.0,0.0,0.22916666666666666,0.0,"[[4, 0], [12, 0]]",5
24,0.25,0.0,0.2,0.0,16.0,0.0,0.25,0.0,"[[4, 0], [12, 0]]",5
25,0.25,0.0,0.2,0.0,16.0,0.0,0.25,0.0,"[[4, 0], [12, 0]]",5
26,0.25,0.0,0.2,0.0,16.0,0.0,0.1875,0.0,"[[4, 0], [12, 0]]",5
27,0.25,0.0,0.2,0.0,16.0,0.0,0.16666666666666666,0.0,"[[4, 0], [12, 0]]",5
28,0.25,0.0,0.2,0.0,16.0,0.0,0.16666666666666666,0.0,"[[4, 0], [12, 0]]",5
29,0.3125,0.0,0.2874493927125506,0.0,16.0,0.0,0.1875,0.0,"[[4, 0], [11, 1]]",5
30,0.25,0.0,0.2,0.0,16.0,0.0,0.16666666666666666,0.0,"[[4, 0], [12, 0]]",5
31,0.25,0.0,0.2,0.0,16.0,0.0,0.16666666666666666,0.0,"[[4, 0], [12, 0]]",5
32,0.25,0.0,0.2,0.0,16.0,0.0,0.16666666666666666,0.0,"[[4, 0], [12, 0]]",5
33,0.25,0.0,0.2,0.0,16.0,0.0,0.10416666666666666,0.0,"[[4, 0], [12, 0]]",5
34,0.125,0.0,0.11111111111111112,1.3877787807814457e-17,16.0,0.0,0.0625,0.0,"[[2, 2], [12, 0]]",5
35,0.1875,0.0,0.15789473684210525,0.0,16.0,0.0,0.25,0.0,"[[3, 1], [12, 0]]",5
