layer,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,n_samples_mean,n_samples_std,auroc_mean,auroc_std,confusion_matrix,n_seeds
0,0.7592592592592593,0.0,0.7327750285496765,0.0,54.0,0.0,0.6360902255639097,0.0,"[[29, 6], [7, 12]]",5
1,0.7777777777777778,0.0,0.75,0.0,54.0,0.0,0.7398496240601504,0.0,"[[30, 5], [7, 12]]",5
2,0.7777777777777778,0.0,0.7424483306836248,0.0,54.0,0.0,0.849624060150376,0.0,"[[31, 4], [8, 11]]",5
3,0.7777777777777778,0.0,0.7563909774436091,0.0,54.0,0.0,0.7834586466165413,0.0,"[[29, 6], [6, 13]]",5
4,0.7962962962962963,0.0,0.773886562618957,0.0,54.0,0.0,0.8150375939849624,1.1102230246251565e-16,"[[30, 5], [6, 13]]",5
5,0.7962962962962963,0.0,0.7675146771037182,0.0,54.0,0.0,0.7774436090225564,0.0,"[[31, 4], [7, 12]]",5
6,0.7777777777777778,0.0,0.75,0.0,54.0,0.0,0.7954887218045112,0.0,"[[30, 5], [7, 12]]",5
7,0.8148148148148147,1.1102230246251565e-16,0.7853736089030208,0.0,54.0,0.0,0.7458646616541353,0.0,"[[32, 3], [7, 12]]",5
8,0.8148148148148147,1.1102230246251565e-16,0.7853736089030208,0.0,54.0,0.0,0.806015037593985,0.0,"[[32, 3], [7, 12]]",5
9,0.7962962962962963,0.0,0.76,0.0,54.0,0.0,0.7639097744360902,0.0,"[[32, 3], [8, 11]]",5
10,0.7962962962962963,0.0,0.7675146771037182,0.0,54.0,0.0,0.8015037593984962,1.1102230246251565e-16,"[[31, 4], [7, 12]]",5
11,0.7777777777777778,0.0,0.75,0.0,54.0,0.0,0.7383458646616542,0.0,"[[30, 5], [7, 12]]",5
12,0.7777777777777778,0.0,0.75,0.0,54.0,0.0,0.806015037593985,1.1102230246251565e-16,"[[30, 5], [7, 12]]",5
13,0.7962962962962963,0.0,0.76,0.0,54.0,0.0,0.8105263157894738,0.0,"[[32, 3], [8, 11]]",5
14,0.7962962962962963,0.0,0.7675146771037182,0.0,54.0,0.0,0.849624060150376,0.0,"[[31, 4], [7, 12]]",5
15,0.7407407407407407,0.0,0.699523052464229,0.0,54.0,0.0,0.8736842105263157,1.1102230246251565e-16,"[[30, 5], [9, 10]]",5
16,0.7592592592592593,0.0,0.7163636363636363,0.0,54.0,0.0,0.8466165413533835,0.0,"[[31, 4], [9, 10]]",5
17,0.7222222222222222,0.0,0.6727272727272727,0.0,54.0,0.0,0.8120300751879699,0.0,"[[30, 5], [10, 9]]",5
18,0.7222222222222222,0.0,0.6829745596868884,0.0,54.0,0.0,0.8120300751879699,0.0,"[[29, 6], [9, 10]]",5
19,0.7037037037037037,0.0,0.656597774244833,0.0,54.0,0.0,0.7999999999999999,0.0,"[[29, 6], [10, 9]]",5
20,0.7037037037037037,0.0,0.6666666666666667,0.0,54.0,0.0,0.8,0.0,"[[28, 7], [9, 10]]",5
21,0.7777777777777778,0.0,0.7424483306836248,0.0,54.0,0.0,0.7864661654135338,0.0,"[[31, 4], [8, 11]]",5
22,0.7592592592592593,0.0,0.705906996229577,0.0,54.0,0.0,0.7593984962406014,0.0,"[[32, 3], [10, 9]]",5
23,0.7592592592592593,0.0,0.705906996229577,0.0,54.0,0.0,0.7518796992481204,0.0,"[[32, 3], [10, 9]]",5
24,0.7777777777777778,0.0,0.7335526315789473,0.0,54.0,0.0,0.7503759398496241,0.0,"[[32, 3], [9, 10]]",5
25,0.7592592592592593,0.0,0.7163636363636363,0.0,54.0,0.0,0.7007518796992481,0.0,"[[31, 4], [9, 10]]",5
26,0.7407407407407407,0.0,0.6891447368421053,0.0,54.0,0.0,0.6887218045112782,0.0,"[[31, 4], [10, 9]]",5
27,0.7592592592592593,0.0,0.705906996229577,0.0,54.0,0.0,0.718796992481203,0.0,"[[32, 3], [10, 9]]",5
28,0.7592592592592593,0.0,0.705906996229577,0.0,54.0,0.0,0.7578947368421052,0.0,"[[32, 3], [10, 9]]",5
29,0.7592592592592593,0.0,0.705906996229577,0.0,54.0,0.0,0.793984962406015,0.0,"[[32, 3], [10, 9]]",5
30,0.7777777777777778,0.0,0.7230769230769231,0.0,54.0,0.0,0.7849624060150374,0.0,"[[33, 2], [10, 9]]",5
31,0.7962962962962963,0.0,0.76,0.0,54.0,0.0,0.8300751879699246,1.1102230246251565e-16,"[[32, 3], [8, 11]]",5
32,0.7407407407407407,0.0,0.699523052464229,0.0,54.0,0.0,0.8210526315789475,1.1102230246251565e-16,"[[30, 5], [9, 10]]",5
33,0.7592592592592593,0.0,0.7163636363636363,0.0,54.0,0.0,0.7909774436090227,0.0,"[[31, 4], [9, 10]]",5
34,0.7222222222222222,0.0,0.6606619187264349,0.0,54.0,0.0,0.7744360902255639,0.0,"[[31, 4], [11, 8]]",5
35,0.6851851851851852,0.0,0.6290909090909091,0.0,54.0,0.0,0.7172932330827068,0.0,"[[29, 6], [11, 8]]",5
