layer,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,n_samples_mean,n_samples_std,auroc_mean,auroc_std,confusion_matrix,n_seeds
0,0.7962962962962963,0.0,0.7511520737327189,0.0,54.0,0.0,0.9090909090909092,0.0,"[[33, 10], [1, 10]]",5
1,0.8703703703703705,1.1102230246251565e-16,0.8178313253012048,0.0,54.0,0.0,0.9027484143763213,0.0,"[[38, 5], [2, 9]]",5
2,0.8703703703703705,1.1102230246251565e-16,0.8271604938271604,0.0,54.0,0.0,0.9767441860465116,0.0,"[[37, 6], [1, 10]]",5
3,0.8703703703703705,1.1102230246251565e-16,0.8271604938271604,0.0,54.0,0.0,0.9682875264270614,0.0,"[[37, 6], [1, 10]]",5
4,0.8518518518518519,0.0,0.8071428571428572,0.0,54.0,0.0,0.9365750528541226,0.0,"[[36, 7], [1, 10]]",5
5,0.8518518518518519,0.0,0.8071428571428572,0.0,54.0,0.0,0.9196617336152221,0.0,"[[36, 7], [1, 10]]",5
6,0.8703703703703705,1.1102230246251565e-16,0.8271604938271604,0.0,54.0,0.0,0.9619450317124736,0.0,"[[37, 6], [1, 10]]",5
7,0.8333333333333334,0.0,0.7777777777777777,0.0,54.0,0.0,0.9577167019027485,1.1102230246251565e-16,"[[36, 7], [2, 9]]",5
8,0.8703703703703705,1.1102230246251565e-16,0.8178313253012048,0.0,54.0,0.0,0.9534883720930232,0.0,"[[38, 5], [2, 9]]",5
9,0.8703703703703705,1.1102230246251565e-16,0.8271604938271604,0.0,54.0,0.0,0.9682875264270614,1.1102230246251565e-16,"[[37, 6], [1, 10]]",5
10,0.8518518518518519,0.0,0.8071428571428572,0.0,54.0,0.0,0.959830866807611,0.0,"[[36, 7], [1, 10]]",5
11,0.8518518518518519,0.0,0.7857142857142857,0.0,54.0,0.0,0.9281183932346723,0.0,"[[38, 5], [3, 8]]",5
12,0.8518518518518519,0.0,0.7857142857142857,0.0,54.0,0.0,0.930232558139535,0.0,"[[38, 5], [3, 8]]",5
13,0.888888888888889,1.1102230246251565e-16,0.8392857142857142,1.1102230246251565e-16,54.0,0.0,0.9556025369978858,1.1102230246251565e-16,"[[39, 4], [2, 9]]",5
14,0.888888888888889,1.1102230246251565e-16,0.8392857142857142,1.1102230246251565e-16,54.0,0.0,0.9577167019027485,1.1102230246251565e-16,"[[39, 4], [2, 9]]",5
15,0.8703703703703705,1.1102230246251565e-16,0.8178313253012048,0.0,54.0,0.0,0.9323467230443974,1.1102230246251565e-16,"[[38, 5], [2, 9]]",5
16,0.888888888888889,1.1102230246251565e-16,0.8392857142857142,1.1102230246251565e-16,54.0,0.0,0.9577167019027485,1.1102230246251565e-16,"[[39, 4], [2, 9]]",5
17,0.888888888888889,1.1102230246251565e-16,0.8392857142857142,1.1102230246251565e-16,54.0,0.0,0.9682875264270614,1.1102230246251565e-16,"[[39, 4], [2, 9]]",5
18,0.888888888888889,1.1102230246251565e-16,0.8392857142857142,1.1102230246251565e-16,54.0,0.0,0.9725158562367865,0.0,"[[39, 4], [2, 9]]",5
19,0.888888888888889,1.1102230246251565e-16,0.8392857142857142,1.1102230246251565e-16,54.0,0.0,0.974630021141649,0.0,"[[39, 4], [2, 9]]",5
20,0.888888888888889,1.1102230246251565e-16,0.8392857142857142,1.1102230246251565e-16,54.0,0.0,0.9809725158562369,1.1102230246251565e-16,"[[39, 4], [2, 9]]",5
21,0.9074074074074074,0.0,0.8698795180722891,0.0,54.0,0.0,0.9830866807610994,0.0,"[[39, 4], [1, 10]]",5
22,0.9074074074074074,0.0,0.8618925831202047,0.0,54.0,0.0,0.9577167019027485,1.1102230246251565e-16,"[[40, 3], [2, 9]]",5
23,0.9074074074074074,0.0,0.8618925831202047,0.0,54.0,0.0,0.959830866807611,0.0,"[[40, 3], [2, 9]]",5
24,0.888888888888889,1.1102230246251565e-16,0.8392857142857142,1.1102230246251565e-16,54.0,0.0,0.945031712473573,0.0,"[[39, 4], [2, 9]]",5
25,0.9074074074074074,0.0,0.8618925831202047,0.0,54.0,0.0,0.9513742071881609,1.1102230246251565e-16,"[[40, 3], [2, 9]]",5
26,0.9074074074074074,0.0,0.8618925831202047,0.0,54.0,0.0,0.9429175475687103,1.1102230246251565e-16,"[[40, 3], [2, 9]]",5
27,0.888888888888889,1.1102230246251565e-16,0.8392857142857142,1.1102230246251565e-16,54.0,0.0,0.9323467230443974,1.1102230246251565e-16,"[[39, 4], [2, 9]]",5
28,0.8703703703703705,1.1102230246251565e-16,0.8178313253012048,0.0,54.0,0.0,0.9323467230443974,0.0,"[[38, 5], [2, 9]]",5
29,0.8703703703703705,1.1102230246251565e-16,0.8178313253012048,0.0,54.0,0.0,0.9133192389006343,0.0,"[[38, 5], [2, 9]]",5
30,0.8703703703703705,1.1102230246251565e-16,0.8178313253012048,0.0,54.0,0.0,0.9175475687103594,0.0,"[[38, 5], [2, 9]]",5
31,0.8518518518518519,0.0,0.7973733583489682,0.0,54.0,0.0,0.9048625792811841,1.1102230246251565e-16,"[[37, 6], [2, 9]]",5
32,0.8703703703703705,1.1102230246251565e-16,0.8178313253012048,0.0,54.0,0.0,0.8964059196617337,0.0,"[[38, 5], [2, 9]]",5
33,0.8333333333333334,0.0,0.7777777777777777,0.0,54.0,0.0,0.8900634249471459,0.0,"[[36, 7], [2, 9]]",5
34,0.8703703703703705,1.1102230246251565e-16,0.8178313253012048,0.0,54.0,0.0,0.8985200845665962,0.0,"[[38, 5], [2, 9]]",5
35,0.8703703703703705,1.1102230246251565e-16,0.8178313253012048,0.0,54.0,0.0,0.8731501057082452,0.0,"[[38, 5], [2, 9]]",5
