layer,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,n_samples_mean,n_samples_std,auroc_mean,auroc_std,confusion_matrix,n_seeds
0,0.6851851851851852,0.0,0.6407045009784735,0.0,54.0,0.0,0.6120300751879699,0.0,"[[28, 7], [10, 9]]",5
1,0.7222222222222222,0.0,0.6727272727272727,0.0,54.0,0.0,0.6781954887218045,0.0,"[[30, 5], [10, 9]]",5
2,0.7037037037037037,0.0,0.6666666666666667,0.0,54.0,0.0,0.6902255639097745,0.0,"[[28, 7], [9, 10]]",5
3,0.7222222222222222,0.0,0.6829745596868884,0.0,54.0,0.0,0.6601503759398497,0.0,"[[29, 6], [9, 10]]",5
4,0.7592592592592593,0.0,0.7163636363636363,0.0,54.0,0.0,0.6992481203007519,0.0,"[[31, 4], [9, 10]]",5
5,0.7592592592592593,0.0,0.7163636363636363,0.0,54.0,0.0,0.7082706766917293,0.0,"[[31, 4], [9, 10]]",5
6,0.7592592592592593,0.0,0.7163636363636363,0.0,54.0,0.0,0.7699248120300752,0.0,"[[31, 4], [9, 10]]",5
7,0.7592592592592593,0.0,0.7252446183953033,0.0,54.0,0.0,0.7744360902255638,0.0,"[[30, 5], [8, 11]]",5
8,0.7407407407407407,0.0,0.7157894736842105,0.0,54.0,0.0,0.8165413533834587,1.1102230246251565e-16,"[[28, 7], [7, 12]]",5
9,0.7407407407407407,0.0,0.7157894736842105,0.0,54.0,0.0,0.7774436090225564,0.0,"[[28, 7], [7, 12]]",5
10,0.7777777777777778,0.0,0.7424483306836248,0.0,54.0,0.0,0.7654135338345864,0.0,"[[31, 4], [8, 11]]",5
11,0.7592592592592593,0.0,0.7163636363636363,0.0,54.0,0.0,0.7729323308270677,0.0,"[[31, 4], [9, 10]]",5
12,0.8148148148148147,1.1102230246251565e-16,0.7916666666666667,0.0,54.0,0.0,0.8360902255639097,0.0,"[[31, 4], [6, 13]]",5
13,0.7962962962962963,0.0,0.7675146771037182,0.0,54.0,0.0,0.8345864661654137,0.0,"[[31, 4], [7, 12]]",5
14,0.7592592592592593,0.0,0.7252446183953033,0.0,54.0,0.0,0.8030075187969924,0.0,"[[30, 5], [8, 11]]",5
15,0.7592592592592593,0.0,0.7163636363636363,0.0,54.0,0.0,0.8466165413533835,0.0,"[[31, 4], [9, 10]]",5
16,0.7222222222222222,0.0,0.6727272727272727,0.0,54.0,0.0,0.8135338345864662,0.0,"[[30, 5], [10, 9]]",5
17,0.7592592592592593,0.0,0.705906996229577,0.0,54.0,0.0,0.8406015037593985,1.1102230246251565e-16,"[[32, 3], [10, 9]]",5
18,0.7037037037037037,0.0,0.656597774244833,0.0,54.0,0.0,0.7969924812030076,0.0,"[[29, 6], [10, 9]]",5
19,0.7037037037037037,0.0,0.6447368421052632,0.0,54.0,0.0,0.780451127819549,0.0,"[[30, 5], [11, 8]]",5
20,0.6851851851851852,0.0,0.6407045009784735,0.0,54.0,0.0,0.7744360902255639,0.0,"[[28, 7], [10, 9]]",5
21,0.6851851851851852,0.0,0.6407045009784735,0.0,54.0,0.0,0.7864661654135338,0.0,"[[28, 7], [10, 9]]",5
22,0.6851851851851852,0.0,0.6407045009784735,0.0,54.0,0.0,0.7609022556390976,0.0,"[[28, 7], [10, 9]]",5
23,0.7037037037037037,0.0,0.6666666666666667,0.0,54.0,0.0,0.7819548872180451,0.0,"[[28, 7], [9, 10]]",5
24,0.7037037037037037,0.0,0.6666666666666667,0.0,54.0,0.0,0.7834586466165414,0.0,"[[28, 7], [9, 10]]",5
25,0.7037037037037037,0.0,0.656597774244833,0.0,54.0,0.0,0.7864661654135339,0.0,"[[29, 6], [10, 9]]",5
26,0.7222222222222222,0.0,0.6829745596868884,0.0,54.0,0.0,0.7819548872180451,0.0,"[[29, 6], [9, 10]]",5
27,0.7037037037037037,0.0,0.656597774244833,0.0,54.0,0.0,0.7924812030075188,0.0,"[[29, 6], [10, 9]]",5
28,0.7037037037037037,0.0,0.6666666666666667,0.0,54.0,0.0,0.7714285714285715,0.0,"[[28, 7], [9, 10]]",5
29,0.7592592592592593,0.0,0.7327750285496765,0.0,54.0,0.0,0.7458646616541352,0.0,"[[29, 6], [7, 12]]",5
30,0.7407407407407407,0.0,0.699523052464229,0.0,54.0,0.0,0.7714285714285714,0.0,"[[30, 5], [9, 10]]",5
31,0.6851851851851852,0.0,0.6407045009784735,0.0,54.0,0.0,0.7639097744360901,0.0,"[[28, 7], [10, 9]]",5
32,0.7222222222222222,0.0,0.6727272727272727,0.0,54.0,0.0,0.7819548872180451,0.0,"[[30, 5], [10, 9]]",5
33,0.7222222222222222,0.0,0.6727272727272727,0.0,54.0,0.0,0.7578947368421053,0.0,"[[30, 5], [10, 9]]",5
34,0.7407407407407407,0.0,0.6891447368421053,0.0,54.0,0.0,0.7654135338345864,0.0,"[[31, 4], [10, 9]]",5
35,0.7592592592592593,0.0,0.705906996229577,0.0,54.0,0.0,0.7774436090225563,0.0,"[[32, 3], [10, 9]]",5
