layer,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,n_samples_mean,n_samples_std,auroc_mean,auroc_std,confusion_matrix,n_seeds
0,0.9166666666666666,0.0,0.916083916083916,0.0,12.0,0.0,0.8333333333333334,0.0,"[[6, 0], [1, 5]]",5
1,0.9166666666666666,0.0,0.916083916083916,0.0,12.0,0.0,1.0,0.0,"[[6, 0], [1, 5]]",5
2,1.0,0.0,1.0,0.0,12.0,0.0,1.0,0.0,"[[6, 0], [0, 6]]",5
3,0.9166666666666666,0.0,0.916083916083916,0.0,12.0,0.0,1.0,0.0,"[[6, 0], [1, 5]]",5
4,1.0,0.0,1.0,0.0,12.0,0.0,1.0,0.0,"[[6, 0], [0, 6]]",5
5,0.8333333333333334,0.0,0.8285714285714285,0.0,12.0,0.0,0.8333333333333334,0.0,"[[6, 0], [2, 4]]",5
6,1.0,0.0,1.0,0.0,12.0,0.0,1.0,0.0,"[[6, 0], [0, 6]]",5
7,1.0,0.0,1.0,0.0,12.0,0.0,1.0,0.0,"[[6, 0], [0, 6]]",5
8,1.0,0.0,1.0,0.0,12.0,0.0,1.0,0.0,"[[6, 0], [0, 6]]",5
9,1.0,0.0,1.0,0.0,12.0,0.0,1.0,0.0,"[[6, 0], [0, 6]]",5
10,1.0,0.0,1.0,0.0,12.0,0.0,1.0,0.0,"[[6, 0], [0, 6]]",5
11,1.0,0.0,1.0,0.0,12.0,0.0,1.0,0.0,"[[6, 0], [0, 6]]",5
12,1.0,0.0,1.0,0.0,12.0,0.0,1.0,0.0,"[[6, 0], [0, 6]]",5
13,1.0,0.0,1.0,0.0,12.0,0.0,1.0,0.0,"[[6, 0], [0, 6]]",5
14,1.0,0.0,1.0,0.0,12.0,0.0,1.0,0.0,"[[6, 0], [0, 6]]",5
15,1.0,0.0,1.0,0.0,12.0,0.0,1.0,0.0,"[[6, 0], [0, 6]]",5
16,1.0,0.0,1.0,0.0,12.0,0.0,1.0,0.0,"[[6, 0], [0, 6]]",5
17,1.0,0.0,1.0,0.0,12.0,0.0,1.0,0.0,"[[6, 0], [0, 6]]",5
18,1.0,0.0,1.0,0.0,12.0,0.0,1.0,0.0,"[[6, 0], [0, 6]]",5
19,1.0,0.0,1.0,0.0,12.0,0.0,1.0,0.0,"[[6, 0], [0, 6]]",5
20,1.0,0.0,1.0,0.0,12.0,0.0,1.0,0.0,"[[6, 0], [0, 6]]",5
21,0.8333333333333334,0.0,0.8285714285714285,0.0,12.0,0.0,0.9444444444444444,1.1102230246251565e-16,"[[6, 0], [2, 4]]",5
22,0.8333333333333334,0.0,0.8285714285714285,0.0,12.0,0.0,1.0,0.0,"[[6, 0], [2, 4]]",5
23,0.9166666666666666,0.0,0.916083916083916,0.0,12.0,0.0,0.8333333333333334,0.0,"[[6, 0], [1, 5]]",5
24,0.9166666666666666,0.0,0.916083916083916,0.0,12.0,0.0,0.8333333333333334,0.0,"[[6, 0], [1, 5]]",5
25,0.8333333333333334,0.0,0.8285714285714285,0.0,12.0,0.0,0.8333333333333334,0.0,"[[6, 0], [2, 4]]",5
26,0.8333333333333334,0.0,0.8285714285714285,0.0,12.0,0.0,0.8333333333333334,0.0,"[[6, 0], [2, 4]]",5
27,0.8333333333333334,0.0,0.8285714285714285,0.0,12.0,0.0,0.861111111111111,1.1102230246251565e-16,"[[6, 0], [2, 4]]",5
28,1.0,0.0,1.0,0.0,12.0,0.0,1.0,0.0,"[[6, 0], [0, 6]]",5
29,1.0,0.0,1.0,0.0,12.0,0.0,1.0,0.0,"[[6, 0], [0, 6]]",5
30,1.0,0.0,1.0,0.0,12.0,0.0,1.0,0.0,"[[6, 0], [0, 6]]",5
31,1.0,0.0,1.0,0.0,12.0,0.0,1.0,0.0,"[[6, 0], [0, 6]]",5
32,1.0,0.0,1.0,0.0,12.0,0.0,1.0,0.0,"[[6, 0], [0, 6]]",5
33,1.0,0.0,1.0,0.0,12.0,0.0,1.0,0.0,"[[6, 0], [0, 6]]",5
34,1.0,0.0,1.0,0.0,12.0,0.0,1.0,0.0,"[[6, 0], [0, 6]]",5
35,1.0,0.0,1.0,0.0,12.0,0.0,1.0,0.0,"[[6, 0], [0, 6]]",5
