layer,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,n_samples_mean,n_samples_std,auroc_mean,auroc_std,confusion_matrix,n_seeds
0,0.5,0.0,0.5,0.0,12.0,0.0,0.48571428571428565,0.0,"[[3, 2], [4, 3]]",5
1,0.75,0.0,0.7333333333333334,0.0,12.0,0.0,0.7142857142857142,0.0,"[[3, 2], [1, 6]]",5
2,0.75,0.0,0.7333333333333334,0.0,12.0,0.0,0.7142857142857142,0.0,"[[3, 2], [1, 6]]",5
3,0.5833333333333334,0.0,0.5804195804195804,0.0,12.0,0.0,0.6285714285714286,0.0,"[[3, 2], [3, 4]]",5
4,0.5833333333333334,0.0,0.5804195804195804,0.0,12.0,0.0,0.6285714285714286,0.0,"[[3, 2], [3, 4]]",5
5,0.5833333333333334,0.0,0.5804195804195804,0.0,12.0,0.0,0.6,0.0,"[[3, 2], [3, 4]]",5
6,0.5833333333333334,0.0,0.5804195804195804,0.0,12.0,0.0,0.6,0.0,"[[3, 2], [3, 4]]",5
7,0.5833333333333334,0.0,0.5804195804195804,0.0,12.0,0.0,0.6285714285714286,0.0,"[[3, 2], [3, 4]]",5
8,0.5833333333333334,0.0,0.5804195804195804,0.0,12.0,0.0,0.6857142857142857,0.0,"[[3, 2], [3, 4]]",5
9,0.5833333333333334,0.0,0.5804195804195804,0.0,12.0,0.0,0.8,0.0,"[[3, 2], [3, 4]]",5
10,0.5833333333333334,0.0,0.5804195804195804,0.0,12.0,0.0,0.7428571428571429,0.0,"[[3, 2], [3, 4]]",5
11,0.5833333333333334,0.0,0.5804195804195804,0.0,12.0,0.0,0.7142857142857142,0.0,"[[3, 2], [3, 4]]",5
12,0.5833333333333334,0.0,0.5804195804195804,0.0,12.0,0.0,0.6857142857142857,0.0,"[[3, 2], [3, 4]]",5
13,0.5833333333333334,0.0,0.5804195804195804,0.0,12.0,0.0,0.6857142857142857,0.0,"[[3, 2], [3, 4]]",5
14,0.5833333333333334,0.0,0.5804195804195804,0.0,12.0,0.0,0.7142857142857143,0.0,"[[3, 2], [3, 4]]",5
15,0.6666666666666666,0.0,0.6571428571428571,0.0,12.0,0.0,0.7142857142857142,0.0,"[[3, 2], [2, 5]]",5
16,0.6666666666666666,0.0,0.6571428571428571,0.0,12.0,0.0,0.6285714285714286,0.0,"[[3, 2], [2, 5]]",5
17,0.6666666666666666,0.0,0.6571428571428571,0.0,12.0,0.0,0.6285714285714286,0.0,"[[3, 2], [2, 5]]",5
18,0.75,0.0,0.7333333333333334,0.0,12.0,0.0,0.6285714285714286,0.0,"[[3, 2], [1, 6]]",5
19,0.75,0.0,0.7333333333333334,0.0,12.0,0.0,0.6857142857142857,0.0,"[[3, 2], [1, 6]]",5
20,0.75,0.0,0.7333333333333334,0.0,12.0,0.0,0.7428571428571429,0.0,"[[3, 2], [1, 6]]",5
21,0.75,0.0,0.7333333333333334,0.0,12.0,0.0,0.6857142857142857,0.0,"[[3, 2], [1, 6]]",5
22,0.6666666666666666,0.0,0.6571428571428571,0.0,12.0,0.0,0.6857142857142857,0.0,"[[3, 2], [2, 5]]",5
23,0.6666666666666666,0.0,0.6571428571428571,0.0,12.0,0.0,0.6571428571428571,0.0,"[[3, 2], [2, 5]]",5
24,0.6666666666666666,0.0,0.6571428571428571,0.0,12.0,0.0,0.6857142857142857,0.0,"[[3, 2], [2, 5]]",5
25,0.6666666666666666,0.0,0.6571428571428571,0.0,12.0,0.0,0.6571428571428571,0.0,"[[3, 2], [2, 5]]",5
26,0.6666666666666666,0.0,0.6571428571428571,0.0,12.0,0.0,0.6571428571428571,0.0,"[[3, 2], [2, 5]]",5
27,0.6666666666666666,0.0,0.6571428571428571,0.0,12.0,0.0,0.6285714285714286,0.0,"[[3, 2], [2, 5]]",5
28,0.6666666666666666,0.0,0.6571428571428571,0.0,12.0,0.0,0.6857142857142857,0.0,"[[3, 2], [2, 5]]",5
29,0.6666666666666666,0.0,0.6571428571428571,0.0,12.0,0.0,0.6571428571428571,0.0,"[[3, 2], [2, 5]]",5
30,0.6666666666666666,0.0,0.6571428571428571,0.0,12.0,0.0,0.6571428571428571,0.0,"[[3, 2], [2, 5]]",5
31,0.6666666666666666,0.0,0.6571428571428571,0.0,12.0,0.0,0.6571428571428571,0.0,"[[3, 2], [2, 5]]",5
32,0.6666666666666666,0.0,0.6571428571428571,0.0,12.0,0.0,0.6857142857142857,0.0,"[[3, 2], [2, 5]]",5
33,0.6666666666666666,0.0,0.6571428571428571,0.0,12.0,0.0,0.6857142857142857,0.0,"[[3, 2], [2, 5]]",5
34,0.6666666666666666,0.0,0.6571428571428571,0.0,12.0,0.0,0.6857142857142857,0.0,"[[3, 2], [2, 5]]",5
35,0.5,0.0,0.5,0.0,12.0,0.0,0.48571428571428577,0.0,"[[3, 2], [4, 3]]",5
