layer,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,n_samples_mean,n_samples_std,auroc_mean,auroc_std,confusion_matrix,n_seeds
0,0.6428571428571429,0.0,0.5906432748538011,0.0,14.0,0.0,0.9166666666666667,0.0,"[[2, 0], [5, 7]]",5
1,0.7142857142857143,0.0,0.65,0.0,14.0,0.0,0.8333333333333333,0.0,"[[2, 0], [4, 8]]",5
2,0.7857142857142857,0.0,0.7142857142857142,0.0,14.0,0.0,0.9583333333333333,0.0,"[[2, 0], [3, 9]]",5
3,0.7142857142857143,0.0,0.5757575757575758,0.0,14.0,0.0,0.8333333333333333,0.0,"[[1, 1], [3, 9]]",5
4,0.7142857142857143,0.0,0.5757575757575758,0.0,14.0,0.0,0.8333333333333333,0.0,"[[1, 1], [3, 9]]",5
5,0.7142857142857143,0.0,0.65,0.0,14.0,0.0,0.6666666666666666,0.0,"[[2, 0], [4, 8]]",5
6,0.6428571428571429,0.0,0.5238095238095237,0.0,14.0,0.0,0.6666666666666666,0.0,"[[1, 1], [4, 8]]",5
7,0.6428571428571429,0.0,0.5906432748538011,0.0,14.0,0.0,0.5833333333333334,0.0,"[[2, 0], [5, 7]]",5
8,0.6428571428571429,0.0,0.5238095238095237,0.0,14.0,0.0,0.6666666666666667,0.0,"[[1, 1], [4, 8]]",5
9,0.7142857142857143,0.0,0.5757575757575758,0.0,14.0,0.0,0.7083333333333334,0.0,"[[1, 1], [3, 9]]",5
10,0.6428571428571429,0.0,0.5238095238095237,0.0,14.0,0.0,0.75,0.0,"[[1, 1], [4, 8]]",5
11,0.7142857142857143,0.0,0.5757575757575758,0.0,14.0,0.0,0.75,0.0,"[[1, 1], [3, 9]]",5
12,0.7857142857142857,0.0,0.6347826086956522,0.0,14.0,0.0,0.7083333333333334,0.0,"[[1, 1], [2, 10]]",5
13,0.7857142857142857,0.0,0.6347826086956522,0.0,14.0,0.0,0.7083333333333334,0.0,"[[1, 1], [2, 10]]",5
14,0.7142857142857143,0.0,0.4166666666666667,0.0,14.0,0.0,0.7083333333333334,0.0,"[[0, 2], [2, 10]]",5
15,0.7142857142857143,0.0,0.4166666666666667,0.0,14.0,0.0,0.75,0.0,"[[0, 2], [2, 10]]",5
16,0.6428571428571429,0.0,0.391304347826087,0.0,14.0,0.0,0.6666666666666666,0.0,"[[0, 2], [3, 9]]",5
17,0.6428571428571429,0.0,0.391304347826087,0.0,14.0,0.0,0.6666666666666667,0.0,"[[0, 2], [3, 9]]",5
18,0.7857142857142857,0.0,0.6347826086956522,0.0,14.0,0.0,0.7083333333333334,0.0,"[[1, 1], [2, 10]]",5
19,0.6428571428571429,0.0,0.391304347826087,0.0,14.0,0.0,0.625,0.0,"[[0, 2], [3, 9]]",5
20,0.6428571428571429,0.0,0.391304347826087,0.0,14.0,0.0,0.6666666666666667,0.0,"[[0, 2], [3, 9]]",5
21,0.6428571428571429,0.0,0.391304347826087,0.0,14.0,0.0,0.6666666666666667,0.0,"[[0, 2], [3, 9]]",5
22,0.6428571428571429,0.0,0.391304347826087,0.0,14.0,0.0,0.625,0.0,"[[0, 2], [3, 9]]",5
23,0.6428571428571429,0.0,0.391304347826087,0.0,14.0,0.0,0.7083333333333333,0.0,"[[0, 2], [3, 9]]",5
24,0.7142857142857143,0.0,0.5757575757575758,0.0,14.0,0.0,0.75,0.0,"[[1, 1], [3, 9]]",5
25,0.7857142857142857,0.0,0.6347826086956522,0.0,14.0,0.0,0.7916666666666666,0.0,"[[1, 1], [2, 10]]",5
26,0.7142857142857143,0.0,0.5757575757575758,0.0,14.0,0.0,0.75,0.0,"[[1, 1], [3, 9]]",5
27,0.7857142857142857,0.0,0.6347826086956522,0.0,14.0,0.0,0.8333333333333333,0.0,"[[1, 1], [2, 10]]",5
28,0.7857142857142857,0.0,0.6347826086956522,0.0,14.0,0.0,0.7916666666666666,0.0,"[[1, 1], [2, 10]]",5
29,0.7142857142857143,0.0,0.5757575757575758,0.0,14.0,0.0,0.7083333333333334,0.0,"[[1, 1], [3, 9]]",5
30,0.7142857142857143,0.0,0.5757575757575758,0.0,14.0,0.0,0.8333333333333333,0.0,"[[1, 1], [3, 9]]",5
31,0.7142857142857143,0.0,0.5757575757575758,0.0,14.0,0.0,0.6666666666666667,0.0,"[[1, 1], [3, 9]]",5
32,0.7142857142857143,0.0,0.5757575757575758,0.0,14.0,0.0,0.7083333333333334,0.0,"[[1, 1], [3, 9]]",5
33,0.7142857142857143,0.0,0.5757575757575758,0.0,14.0,0.0,0.75,0.0,"[[1, 1], [3, 9]]",5
34,0.7857142857142857,0.0,0.6347826086956522,0.0,14.0,0.0,0.7916666666666666,0.0,"[[1, 1], [2, 10]]",5
35,0.6428571428571429,0.0,0.5238095238095237,0.0,14.0,0.0,0.6666666666666667,0.0,"[[1, 1], [4, 8]]",5
