layer,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,n_samples_mean,n_samples_std,auroc_mean,auroc_std,confusion_matrix,n_seeds
0,0.625,0.0,0.5636363636363637,0.0,16.0,0.0,0.8214285714285714,0.0,"[[8, 6], [0, 2]]",5
1,0.1875,0.0,0.1843137254901961,0.0,16.0,0.0,0.8928571428571427,1.1102230246251565e-16,"[[1, 13], [0, 2]]",5
2,0.375,0.0,0.36507936507936506,0.0,16.0,0.0,0.9285714285714286,0.0,"[[4, 10], [0, 2]]",5
3,0.5625,0.0,0.5151515151515151,0.0,16.0,0.0,0.8571428571428573,1.1102230246251565e-16,"[[7, 7], [0, 2]]",5
4,0.625,0.0,0.5636363636363637,0.0,16.0,0.0,0.8571428571428573,1.1102230246251565e-16,"[[8, 6], [0, 2]]",5
5,0.625,0.0,0.5636363636363637,0.0,16.0,0.0,0.8928571428571427,1.1102230246251565e-16,"[[8, 6], [0, 2]]",5
6,0.625,0.0,0.5636363636363637,0.0,16.0,0.0,0.8571428571428573,1.1102230246251565e-16,"[[8, 6], [0, 2]]",5
7,0.625,0.0,0.5636363636363637,0.0,16.0,0.0,0.8214285714285714,0.0,"[[8, 6], [0, 2]]",5
8,0.625,0.0,0.5636363636363637,0.0,16.0,0.0,0.8571428571428573,1.1102230246251565e-16,"[[8, 6], [0, 2]]",5
9,0.625,0.0,0.5636363636363637,0.0,16.0,0.0,0.8571428571428573,1.1102230246251565e-16,"[[8, 6], [0, 2]]",5
10,0.625,0.0,0.5636363636363637,0.0,16.0,0.0,0.8571428571428573,1.1102230246251565e-16,"[[8, 6], [0, 2]]",5
11,0.625,0.0,0.5636363636363637,0.0,16.0,0.0,0.8214285714285714,0.0,"[[8, 6], [0, 2]]",5
12,0.5625,0.0,0.5151515151515151,0.0,16.0,0.0,0.8571428571428573,1.1102230246251565e-16,"[[7, 7], [0, 2]]",5
13,0.625,0.0,0.5636363636363637,0.0,16.0,0.0,0.8571428571428573,1.1102230246251565e-16,"[[8, 6], [0, 2]]",5
14,0.625,0.0,0.5636363636363637,0.0,16.0,0.0,0.8571428571428573,1.1102230246251565e-16,"[[8, 6], [0, 2]]",5
15,0.5625,0.0,0.5151515151515151,0.0,16.0,0.0,0.8571428571428573,1.1102230246251565e-16,"[[7, 7], [0, 2]]",5
16,0.5625,0.0,0.5151515151515151,0.0,16.0,0.0,0.8571428571428573,1.1102230246251565e-16,"[[7, 7], [0, 2]]",5
17,0.5625,0.0,0.5151515151515151,0.0,16.0,0.0,0.8571428571428573,1.1102230246251565e-16,"[[7, 7], [0, 2]]",5
18,0.625,0.0,0.5636363636363637,0.0,16.0,0.0,0.8214285714285714,0.0,"[[8, 6], [0, 2]]",5
19,0.625,0.0,0.5636363636363637,0.0,16.0,0.0,0.7857142857142857,0.0,"[[8, 6], [0, 2]]",5
20,0.625,0.0,0.5636363636363637,0.0,16.0,0.0,0.8571428571428573,1.1102230246251565e-16,"[[8, 6], [0, 2]]",5
21,0.625,0.0,0.5636363636363637,0.0,16.0,0.0,0.8214285714285714,0.0,"[[8, 6], [0, 2]]",5
22,0.625,0.0,0.5636363636363637,0.0,16.0,0.0,0.8571428571428573,1.1102230246251565e-16,"[[8, 6], [0, 2]]",5
23,0.625,0.0,0.5636363636363637,0.0,16.0,0.0,0.8571428571428573,1.1102230246251565e-16,"[[8, 6], [0, 2]]",5
24,0.5625,0.0,0.5151515151515151,0.0,16.0,0.0,0.8214285714285714,0.0,"[[7, 7], [0, 2]]",5
25,0.5625,0.0,0.5151515151515151,0.0,16.0,0.0,0.8571428571428573,1.1102230246251565e-16,"[[7, 7], [0, 2]]",5
26,0.5625,0.0,0.5151515151515151,0.0,16.0,0.0,0.8928571428571427,1.1102230246251565e-16,"[[7, 7], [0, 2]]",5
27,0.5,0.0,0.4666666666666667,0.0,16.0,0.0,0.8928571428571427,1.1102230246251565e-16,"[[6, 8], [0, 2]]",5
28,0.5625,0.0,0.5151515151515151,0.0,16.0,0.0,0.8571428571428573,1.1102230246251565e-16,"[[7, 7], [0, 2]]",5
29,0.5625,0.0,0.5151515151515151,0.0,16.0,0.0,0.8928571428571427,1.1102230246251565e-16,"[[7, 7], [0, 2]]",5
30,0.625,0.0,0.5636363636363637,0.0,16.0,0.0,0.8928571428571427,1.1102230246251565e-16,"[[8, 6], [0, 2]]",5
31,0.5625,0.0,0.5151515151515151,0.0,16.0,0.0,0.8928571428571427,1.1102230246251565e-16,"[[7, 7], [0, 2]]",5
32,0.5625,0.0,0.5151515151515151,0.0,16.0,0.0,0.8928571428571427,1.1102230246251565e-16,"[[7, 7], [0, 2]]",5
33,0.625,0.0,0.5636363636363637,0.0,16.0,0.0,0.8928571428571427,1.1102230246251565e-16,"[[8, 6], [0, 2]]",5
34,0.5625,0.0,0.5151515151515151,0.0,16.0,0.0,0.8928571428571427,1.1102230246251565e-16,"[[7, 7], [0, 2]]",5
35,0.625,0.0,0.5636363636363637,0.0,16.0,0.0,0.8928571428571427,1.1102230246251565e-16,"[[8, 6], [0, 2]]",5
