layer,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,n_samples_mean,n_samples_std,auroc_mean,auroc_std,confusion_matrix,n_seeds
0,0.5,0.0,0.3333333333333333,0.0,14.0,0.0,0.5510204081632654,0.0,"[[0, 7], [0, 7]]",5
1,1.0,0.0,1.0,0.0,14.0,0.0,1.0,0.0,"[[7, 0], [0, 7]]",5
2,1.0,0.0,1.0,0.0,14.0,0.0,1.0,0.0,"[[7, 0], [0, 7]]",5
3,0.9285714285714286,0.0,0.9282051282051282,0.0,14.0,0.0,1.0,0.0,"[[6, 1], [0, 7]]",5
4,1.0,0.0,1.0,0.0,14.0,0.0,1.0,0.0,"[[7, 0], [0, 7]]",5
5,0.07142857142857142,0.0,0.06666666666666667,0.0,14.0,0.0,0.0,0.0,"[[0, 7], [6, 1]]",5
6,0.07142857142857142,0.0,0.06666666666666667,0.0,14.0,0.0,0.040816326530612256,0.0,"[[1, 6], [7, 0]]",5
7,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,"[[0, 7], [7, 0]]",5
8,0.07142857142857142,0.0,0.06666666666666667,0.0,14.0,0.0,0.0,0.0,"[[0, 7], [6, 1]]",5
9,0.5,0.0,0.3333333333333333,0.0,14.0,0.0,0.42857142857142855,0.0,"[[7, 0], [7, 0]]",5
10,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,"[[0, 7], [7, 0]]",5
11,0.07142857142857142,0.0,0.06666666666666667,0.0,14.0,0.0,0.0,0.0,"[[0, 7], [6, 1]]",5
12,0.5,0.0,0.3333333333333333,0.0,14.0,0.0,0.061224489795918394,6.938893903907228e-18,"[[0, 7], [0, 7]]",5
13,0.5,0.0,0.3333333333333333,0.0,14.0,0.0,0.26530612244897955,0.0,"[[0, 7], [0, 7]]",5
14,0.7857142857142857,0.0,0.7754010695187166,0.0,14.0,0.0,1.0,0.0,"[[4, 3], [0, 7]]",5
15,1.0,0.0,1.0,0.0,14.0,0.0,1.0,0.0,"[[7, 0], [0, 7]]",5
16,1.0,0.0,1.0,0.0,14.0,0.0,1.0,0.0,"[[7, 0], [0, 7]]",5
17,1.0,0.0,1.0,0.0,14.0,0.0,1.0,0.0,"[[7, 0], [0, 7]]",5
18,1.0,0.0,1.0,0.0,14.0,0.0,1.0,0.0,"[[7, 0], [0, 7]]",5
19,1.0,0.0,1.0,0.0,14.0,0.0,1.0,0.0,"[[7, 0], [0, 7]]",5
20,1.0,0.0,1.0,0.0,14.0,0.0,1.0,0.0,"[[7, 0], [0, 7]]",5
21,1.0,0.0,1.0,0.0,14.0,0.0,1.0,0.0,"[[7, 0], [0, 7]]",5
22,1.0,0.0,1.0,0.0,14.0,0.0,1.0,0.0,"[[7, 0], [0, 7]]",5
23,0.7142857142857143,0.0,0.6888888888888889,0.0,14.0,0.0,1.0,0.0,"[[7, 0], [4, 3]]",5
24,0.8571428571428571,0.0,0.8541666666666667,0.0,14.0,0.0,1.0,0.0,"[[7, 0], [2, 5]]",5
25,0.5,0.0,0.3333333333333333,0.0,14.0,0.0,1.0,0.0,"[[7, 0], [7, 0]]",5
26,0.5,0.0,0.3333333333333333,0.0,14.0,0.0,1.0,0.0,"[[7, 0], [7, 0]]",5
27,0.5,0.0,0.3333333333333333,0.0,14.0,0.0,1.0,0.0,"[[7, 0], [7, 0]]",5
28,0.5,0.0,0.3333333333333333,0.0,14.0,0.0,1.0,0.0,"[[7, 0], [7, 0]]",5
29,0.5,0.0,0.3333333333333333,0.0,14.0,0.0,1.0,0.0,"[[7, 0], [7, 0]]",5
30,0.5,0.0,0.3333333333333333,0.0,14.0,0.0,1.0,0.0,"[[7, 0], [7, 0]]",5
31,0.5,0.0,0.3333333333333333,0.0,14.0,0.0,1.0,0.0,"[[7, 0], [7, 0]]",5
32,0.5,0.0,0.3333333333333333,0.0,14.0,0.0,1.0,0.0,"[[7, 0], [7, 0]]",5
33,0.5,0.0,0.3333333333333333,0.0,14.0,0.0,0.8979591836734695,0.0,"[[7, 0], [7, 0]]",5
34,0.5,0.0,0.3333333333333333,0.0,14.0,0.0,1.0,0.0,"[[7, 0], [7, 0]]",5
35,1.0,0.0,1.0,0.0,14.0,0.0,1.0,0.0,"[[7, 0], [0, 7]]",5
