layer,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,n_samples_mean,n_samples_std,auroc_mean,auroc_std,confusion_matrix,n_seeds
0,0.9166666666666666,0.0,0.916083916083916,0.0,12.0,0.0,0.8857142857142858,1.1102230246251565e-16,"[[5, 0], [1, 6]]",5
1,0.9166666666666666,0.0,0.916083916083916,0.0,12.0,0.0,0.9142857142857143,0.0,"[[5, 0], [1, 6]]",5
2,0.9166666666666666,0.0,0.916083916083916,0.0,12.0,0.0,0.9428571428571428,0.0,"[[5, 0], [1, 6]]",5
3,0.75,0.0,0.7333333333333334,0.0,12.0,0.0,0.8285714285714285,0.0,"[[3, 2], [1, 6]]",5
4,0.75,0.0,0.7333333333333334,0.0,12.0,0.0,0.8285714285714285,0.0,"[[3, 2], [1, 6]]",5
5,0.75,0.0,0.7333333333333334,0.0,12.0,0.0,0.7142857142857143,0.0,"[[3, 2], [1, 6]]",5
6,0.75,0.0,0.7333333333333334,0.0,12.0,0.0,0.7714285714285714,0.0,"[[3, 2], [1, 6]]",5
7,0.9166666666666666,0.0,0.916083916083916,0.0,12.0,0.0,0.9428571428571428,0.0,"[[5, 0], [1, 6]]",5
8,0.9166666666666666,0.0,0.916083916083916,0.0,12.0,0.0,0.8571428571428571,0.0,"[[5, 0], [1, 6]]",5
9,0.8333333333333334,0.0,0.8285714285714285,0.0,12.0,0.0,0.9428571428571428,0.0,"[[4, 1], [1, 6]]",5
10,0.9166666666666666,0.0,0.916083916083916,0.0,12.0,0.0,0.8857142857142858,1.1102230246251565e-16,"[[5, 0], [1, 6]]",5
11,0.9166666666666666,0.0,0.916083916083916,0.0,12.0,0.0,0.9714285714285715,0.0,"[[5, 0], [1, 6]]",5
12,0.9166666666666666,0.0,0.916083916083916,0.0,12.0,0.0,0.9142857142857143,0.0,"[[5, 0], [1, 6]]",5
13,0.9166666666666666,0.0,0.916083916083916,0.0,12.0,0.0,0.9428571428571428,0.0,"[[5, 0], [1, 6]]",5
14,0.9166666666666666,0.0,0.916083916083916,0.0,12.0,0.0,0.9142857142857143,0.0,"[[5, 0], [1, 6]]",5
15,0.9166666666666666,0.0,0.916083916083916,0.0,12.0,0.0,0.9714285714285715,0.0,"[[5, 0], [1, 6]]",5
16,0.8333333333333334,0.0,0.8285714285714285,0.0,12.0,0.0,0.8857142857142858,1.1102230246251565e-16,"[[4, 1], [1, 6]]",5
17,0.8333333333333334,0.0,0.8285714285714285,0.0,12.0,0.0,0.8571428571428571,0.0,"[[4, 1], [1, 6]]",5
18,0.9166666666666666,0.0,0.916083916083916,0.0,12.0,0.0,0.9142857142857143,0.0,"[[5, 0], [1, 6]]",5
19,0.9166666666666666,0.0,0.916083916083916,0.0,12.0,0.0,0.8857142857142858,1.1102230246251565e-16,"[[5, 0], [1, 6]]",5
20,0.9166666666666666,0.0,0.916083916083916,0.0,12.0,0.0,0.8857142857142858,1.1102230246251565e-16,"[[5, 0], [1, 6]]",5
21,0.9166666666666666,0.0,0.916083916083916,0.0,12.0,0.0,0.9428571428571428,0.0,"[[5, 0], [1, 6]]",5
22,0.9166666666666666,0.0,0.916083916083916,0.0,12.0,0.0,0.9714285714285715,0.0,"[[5, 0], [1, 6]]",5
23,0.9166666666666666,0.0,0.916083916083916,0.0,12.0,0.0,1.0,0.0,"[[5, 0], [1, 6]]",5
24,0.9166666666666666,0.0,0.916083916083916,0.0,12.0,0.0,0.9714285714285715,0.0,"[[5, 0], [1, 6]]",5
25,0.9166666666666666,0.0,0.916083916083916,0.0,12.0,0.0,1.0,0.0,"[[5, 0], [1, 6]]",5
26,0.9166666666666666,0.0,0.916083916083916,0.0,12.0,0.0,0.9714285714285715,0.0,"[[5, 0], [1, 6]]",5
27,0.9166666666666666,0.0,0.916083916083916,0.0,12.0,0.0,1.0,0.0,"[[5, 0], [1, 6]]",5
28,0.9166666666666666,0.0,0.916083916083916,0.0,12.0,0.0,1.0,0.0,"[[5, 0], [1, 6]]",5
29,0.9166666666666666,0.0,0.916083916083916,0.0,12.0,0.0,0.9142857142857143,0.0,"[[5, 0], [1, 6]]",5
30,0.9166666666666666,0.0,0.916083916083916,0.0,12.0,0.0,0.9428571428571428,0.0,"[[5, 0], [1, 6]]",5
31,0.9166666666666666,0.0,0.916083916083916,0.0,12.0,0.0,0.9428571428571428,0.0,"[[5, 0], [1, 6]]",5
32,0.9166666666666666,0.0,0.916083916083916,0.0,12.0,0.0,0.8857142857142858,1.1102230246251565e-16,"[[5, 0], [1, 6]]",5
33,0.9166666666666666,0.0,0.916083916083916,0.0,12.0,0.0,0.8857142857142858,1.1102230246251565e-16,"[[5, 0], [1, 6]]",5
34,0.8333333333333334,0.0,0.8285714285714285,0.0,12.0,0.0,0.9142857142857143,0.0,"[[4, 1], [1, 6]]",5
35,0.9166666666666666,0.0,0.916083916083916,0.0,12.0,0.0,0.8571428571428571,0.0,"[[5, 0], [1, 6]]",5
