layer,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,n_samples_mean,n_samples_std,auroc_mean,auroc_std,confusion_matrix,n_seeds
0,0.8333333333333334,0.0,0.7,0.0,12.0,0.0,0.6296296296296297,0.0,"[[9, 0], [2, 1]]",5
1,0.75,0.0,0.6210526315789473,0.0,12.0,0.0,0.7037037037037037,0.0,"[[8, 1], [2, 1]]",5
2,0.75,0.0,0.6210526315789473,0.0,12.0,0.0,0.7037037037037037,0.0,"[[8, 1], [2, 1]]",5
3,0.75,0.0,0.42857142857142855,0.0,12.0,0.0,0.962962962962963,1.1102230246251565e-16,"[[9, 0], [3, 0]]",5
4,0.75,0.0,0.42857142857142855,0.0,12.0,0.0,0.962962962962963,1.1102230246251565e-16,"[[9, 0], [3, 0]]",5
5,0.6666666666666666,0.0,0.6571428571428571,0.0,12.0,0.0,0.962962962962963,1.1102230246251565e-16,"[[5, 4], [0, 3]]",5
6,0.8333333333333334,0.0,0.7,0.0,12.0,0.0,0.7777777777777778,0.0,"[[9, 0], [2, 1]]",5
7,0.75,0.0,0.6210526315789473,0.0,12.0,0.0,0.7777777777777777,0.0,"[[8, 1], [2, 1]]",5
8,0.75,0.0,0.6210526315789473,0.0,12.0,0.0,0.7777777777777778,0.0,"[[8, 1], [2, 1]]",5
9,0.75,0.0,0.42857142857142855,0.0,12.0,0.0,0.6666666666666667,0.0,"[[9, 0], [3, 0]]",5
10,0.5833333333333334,0.0,0.3684210526315789,0.0,12.0,0.0,0.6666666666666667,0.0,"[[7, 2], [3, 0]]",5
11,0.5833333333333334,0.0,0.4957983193277311,0.0,12.0,0.0,0.5925925925925926,0.0,"[[6, 3], [2, 1]]",5
12,0.5833333333333334,0.0,0.4957983193277311,0.0,12.0,0.0,0.5555555555555556,0.0,"[[6, 3], [2, 1]]",5
13,0.6666666666666666,0.0,0.625,0.0,12.0,0.0,0.6296296296296295,0.0,"[[6, 3], [1, 2]]",5
14,0.6666666666666666,0.0,0.5555555555555556,0.0,12.0,0.0,0.7037037037037037,0.0,"[[7, 2], [2, 1]]",5
15,0.75,0.0,0.6210526315789473,0.0,12.0,0.0,0.7037037037037037,0.0,"[[8, 1], [2, 1]]",5
16,0.5833333333333334,0.0,0.3684210526315789,0.0,12.0,0.0,0.5185185185185186,0.0,"[[7, 2], [3, 0]]",5
17,0.6666666666666666,0.0,0.5555555555555556,0.0,12.0,0.0,0.5925925925925926,0.0,"[[7, 2], [2, 1]]",5
18,0.5833333333333334,0.0,0.3684210526315789,0.0,12.0,0.0,0.4814814814814815,0.0,"[[7, 2], [3, 0]]",5
19,0.5833333333333334,0.0,0.3684210526315789,0.0,12.0,0.0,0.5555555555555556,0.0,"[[7, 2], [3, 0]]",5
20,0.6666666666666666,0.0,0.4,0.0,12.0,0.0,0.5185185185185186,0.0,"[[8, 1], [3, 0]]",5
21,0.5833333333333334,0.0,0.3684210526315789,0.0,12.0,0.0,0.4444444444444445,5.551115123125783e-17,"[[7, 2], [3, 0]]",5
22,0.5833333333333334,0.0,0.3684210526315789,0.0,12.0,0.0,0.37037037037037035,0.0,"[[7, 2], [3, 0]]",5
23,0.5833333333333334,0.0,0.4957983193277311,0.0,12.0,0.0,0.4444444444444445,0.0,"[[6, 3], [2, 1]]",5
24,0.75,0.0,0.6210526315789473,0.0,12.0,0.0,0.7037037037037037,0.0,"[[8, 1], [2, 1]]",5
25,0.8333333333333334,0.0,0.7,0.0,12.0,0.0,0.7037037037037037,0.0,"[[9, 0], [2, 1]]",5
26,0.8333333333333334,0.0,0.7,0.0,12.0,0.0,0.7037037037037037,0.0,"[[9, 0], [2, 1]]",5
27,0.8333333333333334,0.0,0.7,0.0,12.0,0.0,0.888888888888889,0.0,"[[9, 0], [2, 1]]",5
28,0.6666666666666666,0.0,0.625,0.0,12.0,0.0,0.888888888888889,0.0,"[[6, 3], [1, 2]]",5
29,0.75,0.0,0.7333333333333334,0.0,12.0,0.0,0.8148148148148149,0.0,"[[6, 3], [0, 3]]",5
30,0.75,0.0,0.6974789915966386,0.0,12.0,0.0,0.888888888888889,0.0,"[[7, 2], [1, 2]]",5
31,0.5833333333333334,0.0,0.4957983193277311,0.0,12.0,0.0,0.7407407407407407,0.0,"[[6, 3], [2, 1]]",5
32,0.5833333333333334,0.0,0.4957983193277311,0.0,12.0,0.0,0.7407407407407407,0.0,"[[6, 3], [2, 1]]",5
33,0.8333333333333334,0.0,0.7,0.0,12.0,0.0,0.6666666666666667,0.0,"[[9, 0], [2, 1]]",5
34,0.8333333333333334,0.0,0.7,0.0,12.0,0.0,0.7777777777777779,0.0,"[[9, 0], [2, 1]]",5
35,0.75,0.0,0.42857142857142855,0.0,12.0,0.0,0.7777777777777779,0.0,"[[9, 0], [3, 0]]",5
