layer,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,n_samples_mean,n_samples_std,auroc_mean,auroc_std,confusion_matrix,n_seeds
0,0.5,0.0,0.4375,0.0,12.0,0.0,0.9428571428571428,1.1102230246251565e-16,"[[1, 6], [0, 5]]",5
1,0.5833333333333334,0.0,0.5804195804195804,0.0,12.0,0.0,0.7714285714285715,0.0,"[[4, 3], [2, 3]]",5
2,0.6666666666666666,0.0,0.6571428571428571,0.0,12.0,0.0,0.7142857142857142,0.0,"[[5, 2], [2, 3]]",5
3,0.5833333333333334,0.0,0.5804195804195804,0.0,12.0,0.0,0.6571428571428571,0.0,"[[4, 3], [2, 3]]",5
4,0.5833333333333334,0.0,0.5804195804195804,0.0,12.0,0.0,0.8285714285714285,0.0,"[[4, 3], [2, 3]]",5
5,0.5833333333333334,0.0,0.5804195804195804,0.0,12.0,0.0,0.6285714285714286,0.0,"[[4, 3], [2, 3]]",5
6,0.5833333333333334,0.0,0.5804195804195804,0.0,12.0,0.0,0.6571428571428571,0.0,"[[4, 3], [2, 3]]",5
7,0.5833333333333334,0.0,0.5804195804195804,0.0,12.0,0.0,0.6,0.0,"[[4, 3], [2, 3]]",5
8,0.6666666666666666,0.0,0.6571428571428571,0.0,12.0,0.0,0.7142857142857142,0.0,"[[5, 2], [2, 3]]",5
9,0.5833333333333334,0.0,0.5804195804195804,0.0,12.0,0.0,0.6571428571428571,0.0,"[[4, 3], [2, 3]]",5
10,0.5833333333333334,0.0,0.5804195804195804,0.0,12.0,0.0,0.6285714285714286,0.0,"[[4, 3], [2, 3]]",5
11,0.6666666666666666,0.0,0.6571428571428571,0.0,12.0,0.0,0.6,0.0,"[[5, 2], [2, 3]]",5
12,0.5833333333333334,0.0,0.5804195804195804,0.0,12.0,0.0,0.6,0.0,"[[4, 3], [2, 3]]",5
13,0.4166666666666667,0.0,0.4125874125874126,0.0,12.0,0.0,0.5714285714285714,0.0,"[[2, 5], [2, 3]]",5
14,0.4166666666666667,0.0,0.4125874125874126,0.0,12.0,0.0,0.6000000000000001,0.0,"[[2, 5], [2, 3]]",5
15,0.5,0.0,0.48571428571428565,5.551115123125783e-17,12.0,0.0,0.6857142857142858,0.0,"[[2, 5], [1, 4]]",5
16,0.5,0.0,0.48571428571428565,5.551115123125783e-17,12.0,0.0,0.6000000000000001,0.0,"[[2, 5], [1, 4]]",5
17,0.5833333333333334,0.0,0.5804195804195804,0.0,12.0,0.0,0.5714285714285714,0.0,"[[4, 3], [2, 3]]",5
18,0.5833333333333334,0.0,0.5804195804195804,0.0,12.0,0.0,0.6000000000000001,0.0,"[[3, 4], [1, 4]]",5
19,0.6666666666666666,0.0,0.6666666666666666,0.0,12.0,0.0,0.6285714285714286,0.0,"[[4, 3], [1, 4]]",5
20,0.75,0.0,0.7482517482517483,0.0,12.0,0.0,0.6857142857142858,0.0,"[[5, 2], [1, 4]]",5
21,0.5833333333333334,0.0,0.5555555555555556,0.0,12.0,0.0,0.5714285714285714,0.0,"[[5, 2], [3, 2]]",5
22,0.5833333333333334,0.0,0.5804195804195804,0.0,12.0,0.0,0.6000000000000001,0.0,"[[4, 3], [2, 3]]",5
23,0.6666666666666666,0.0,0.6571428571428571,0.0,12.0,0.0,0.6571428571428571,0.0,"[[5, 2], [2, 3]]",5
24,0.6666666666666666,0.0,0.6571428571428571,0.0,12.0,0.0,0.6285714285714286,0.0,"[[5, 2], [2, 3]]",5
25,0.6666666666666666,0.0,0.6571428571428571,0.0,12.0,0.0,0.6285714285714286,0.0,"[[5, 2], [2, 3]]",5
26,0.6666666666666666,0.0,0.6571428571428571,0.0,12.0,0.0,0.6,0.0,"[[5, 2], [2, 3]]",5
27,0.6666666666666666,0.0,0.6571428571428571,0.0,12.0,0.0,0.7142857142857143,0.0,"[[5, 2], [2, 3]]",5
28,0.6666666666666666,0.0,0.6571428571428571,0.0,12.0,0.0,0.6571428571428571,0.0,"[[5, 2], [2, 3]]",5
29,0.6666666666666666,0.0,0.6571428571428571,0.0,12.0,0.0,0.6285714285714286,0.0,"[[5, 2], [2, 3]]",5
30,0.6666666666666666,0.0,0.6571428571428571,0.0,12.0,0.0,0.6285714285714286,0.0,"[[5, 2], [2, 3]]",5
31,0.6666666666666666,0.0,0.6571428571428571,0.0,12.0,0.0,0.6285714285714286,0.0,"[[5, 2], [2, 3]]",5
32,0.6666666666666666,0.0,0.6571428571428571,0.0,12.0,0.0,0.6285714285714286,0.0,"[[5, 2], [2, 3]]",5
33,0.6666666666666666,0.0,0.6571428571428571,0.0,12.0,0.0,0.6285714285714286,0.0,"[[5, 2], [2, 3]]",5
34,0.6666666666666666,0.0,0.6571428571428571,0.0,12.0,0.0,0.6571428571428571,0.0,"[[5, 2], [2, 3]]",5
35,0.4166666666666667,0.0,0.4125874125874126,0.0,12.0,0.0,0.48571428571428565,5.551115123125783e-17,"[[2, 5], [2, 3]]",5
