layer,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,n_samples_mean,n_samples_std,auroc_mean,auroc_std,confusion_matrix,n_seeds
0,0.5714285714285714,0.0,0.5333333333333333,0.0,14.0,0.0,0.75,0.0,"[[6, 6], [0, 2]]",5
1,0.7142857142857143,0.0,0.5757575757575758,0.0,14.0,0.0,0.875,0.0,"[[9, 3], [1, 1]]",5
2,0.7857142857142857,0.0,0.7142857142857142,0.0,14.0,0.0,0.9583333333333333,0.0,"[[9, 3], [0, 2]]",5
3,0.6428571428571429,0.0,0.5906432748538011,0.0,14.0,0.0,0.8333333333333334,0.0,"[[7, 5], [0, 2]]",5
4,0.5714285714285714,0.0,0.5333333333333333,0.0,14.0,0.0,0.8333333333333334,0.0,"[[6, 6], [0, 2]]",5
5,0.6428571428571429,0.0,0.5906432748538011,0.0,14.0,0.0,0.7916666666666667,0.0,"[[7, 5], [0, 2]]",5
6,0.5714285714285714,0.0,0.5333333333333333,0.0,14.0,0.0,0.5416666666666666,0.0,"[[6, 6], [0, 2]]",5
7,0.5,0.0,0.47593582887700536,0.0,14.0,0.0,0.5,0.0,"[[5, 7], [0, 2]]",5
8,0.5714285714285714,0.0,0.5333333333333333,0.0,14.0,0.0,0.5416666666666666,0.0,"[[6, 6], [0, 2]]",5
9,0.5714285714285714,0.0,0.475,0.0,14.0,0.0,0.625,0.0,"[[7, 5], [1, 1]]",5
10,0.5,0.0,0.4269005847953216,0.0,14.0,0.0,0.6666666666666667,0.0,"[[6, 6], [1, 1]]",5
11,0.5714285714285714,0.0,0.475,0.0,14.0,0.0,0.6666666666666666,0.0,"[[7, 5], [1, 1]]",5
12,0.6428571428571429,0.0,0.5238095238095237,0.0,14.0,0.0,0.6666666666666666,0.0,"[[8, 4], [1, 1]]",5
13,0.6428571428571429,0.0,0.391304347826087,0.0,14.0,0.0,0.625,0.0,"[[9, 3], [2, 0]]",5
14,0.7142857142857143,0.0,0.4166666666666667,0.0,14.0,0.0,0.7083333333333333,0.0,"[[10, 2], [2, 0]]",5
15,0.7857142857142857,0.0,0.6347826086956522,0.0,14.0,0.0,0.8333333333333334,0.0,"[[10, 2], [1, 1]]",5
16,0.6428571428571429,0.0,0.5238095238095237,0.0,14.0,0.0,0.6666666666666667,0.0,"[[8, 4], [1, 1]]",5
17,0.6428571428571429,0.0,0.5238095238095237,0.0,14.0,0.0,0.6666666666666666,0.0,"[[8, 4], [1, 1]]",5
18,0.5714285714285714,0.0,0.475,0.0,14.0,0.0,0.5833333333333333,0.0,"[[7, 5], [1, 1]]",5
19,0.6428571428571429,0.0,0.5238095238095237,0.0,14.0,0.0,0.6666666666666666,0.0,"[[8, 4], [1, 1]]",5
20,0.6428571428571429,0.0,0.5238095238095237,0.0,14.0,0.0,0.6666666666666666,0.0,"[[8, 4], [1, 1]]",5
21,0.6428571428571429,0.0,0.5238095238095237,0.0,14.0,0.0,0.625,0.0,"[[8, 4], [1, 1]]",5
22,0.5,0.0,0.4269005847953216,0.0,14.0,0.0,0.5416666666666666,0.0,"[[6, 6], [1, 1]]",5
23,0.5714285714285714,0.0,0.475,0.0,14.0,0.0,0.5416666666666666,0.0,"[[7, 5], [1, 1]]",5
24,0.5714285714285714,0.0,0.475,0.0,14.0,0.0,0.75,0.0,"[[7, 5], [1, 1]]",5
25,0.42857142857142855,0.0,0.37777777777777777,0.0,14.0,0.0,0.5833333333333333,0.0,"[[5, 7], [1, 1]]",5
26,0.5714285714285714,0.0,0.5333333333333333,0.0,14.0,0.0,0.7083333333333334,0.0,"[[6, 6], [0, 2]]",5
27,0.42857142857142855,0.0,0.37777777777777777,0.0,14.0,0.0,0.6666666666666666,0.0,"[[5, 7], [1, 1]]",5
28,0.6428571428571429,0.0,0.5906432748538011,0.0,14.0,0.0,0.75,0.0,"[[7, 5], [0, 2]]",5
29,0.5714285714285714,0.0,0.5333333333333333,0.0,14.0,0.0,0.75,0.0,"[[6, 6], [0, 2]]",5
30,0.5714285714285714,0.0,0.5333333333333333,0.0,14.0,0.0,0.7916666666666667,0.0,"[[6, 6], [0, 2]]",5
31,0.6428571428571429,0.0,0.5906432748538011,0.0,14.0,0.0,0.75,0.0,"[[7, 5], [0, 2]]",5
32,0.6428571428571429,0.0,0.5906432748538011,0.0,14.0,0.0,0.7083333333333333,0.0,"[[7, 5], [0, 2]]",5
33,0.6428571428571429,0.0,0.5906432748538011,0.0,14.0,0.0,0.7916666666666666,0.0,"[[7, 5], [0, 2]]",5
34,0.5714285714285714,0.0,0.5333333333333333,0.0,14.0,0.0,0.7916666666666666,0.0,"[[6, 6], [0, 2]]",5
35,0.6428571428571429,0.0,0.5906432748538011,0.0,14.0,0.0,0.8333333333333334,0.0,"[[7, 5], [0, 2]]",5
