layer,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,n_samples_mean,n_samples_std,auroc_mean,auroc_std,confusion_matrix,n_seeds
0,0.8333333333333334,0.0,0.7777777777777777,0.0,54.0,0.0,0.9238900634249472,0.0,"[[36, 7], [2, 9]]",5
1,0.888888888888889,1.1102230246251565e-16,0.8392857142857142,1.1102230246251565e-16,54.0,0.0,0.9577167019027485,1.1102230246251565e-16,"[[39, 4], [2, 9]]",5
2,0.8703703703703705,1.1102230246251565e-16,0.8271604938271604,0.0,54.0,0.0,0.9408033826638478,0.0,"[[37, 6], [1, 10]]",5
3,0.8333333333333334,0.0,0.7878655608904408,0.0,54.0,0.0,0.923890063424947,1.1102230246251565e-16,"[[35, 8], [1, 10]]",5
4,0.8518518518518519,0.0,0.8071428571428572,0.0,54.0,0.0,0.9513742071881607,0.0,"[[36, 7], [1, 10]]",5
5,0.8518518518518519,0.0,0.7973733583489682,0.0,54.0,0.0,0.9048625792811841,1.1102230246251565e-16,"[[37, 6], [2, 9]]",5
6,0.8703703703703705,1.1102230246251565e-16,0.8178313253012048,0.0,54.0,0.0,0.9112050739957717,1.1102230246251565e-16,"[[38, 5], [2, 9]]",5
7,0.8703703703703705,1.1102230246251565e-16,0.8178313253012048,0.0,54.0,0.0,0.9154334038054968,0.0,"[[38, 5], [2, 9]]",5
8,0.8518518518518519,0.0,0.7857142857142857,0.0,54.0,0.0,0.9238900634249472,0.0,"[[38, 5], [3, 8]]",5
9,0.8333333333333334,0.0,0.7657831325301205,0.0,54.0,0.0,0.9302325581395348,0.0,"[[37, 6], [3, 8]]",5
10,0.8518518518518519,0.0,0.7857142857142857,0.0,54.0,0.0,0.9175475687103594,0.0,"[[38, 5], [3, 8]]",5
11,0.888888888888889,1.1102230246251565e-16,0.8287526427061312,1.1102230246251565e-16,54.0,0.0,0.894291754756871,0.0,"[[40, 3], [3, 8]]",5
12,0.8518518518518519,0.0,0.7973733583489682,0.0,54.0,0.0,0.9006342494714588,0.0,"[[37, 6], [2, 9]]",5
13,0.888888888888889,1.1102230246251565e-16,0.8392857142857142,1.1102230246251565e-16,54.0,0.0,0.9344608879492602,0.0,"[[39, 4], [2, 9]]",5
14,0.888888888888889,1.1102230246251565e-16,0.8287526427061312,1.1102230246251565e-16,54.0,0.0,0.9408033826638478,0.0,"[[40, 3], [3, 8]]",5
15,0.8703703703703705,1.1102230246251565e-16,0.8066496163682864,0.0,54.0,0.0,0.9471458773784354,1.1102230246251565e-16,"[[39, 4], [3, 8]]",5
16,0.8703703703703705,1.1102230246251565e-16,0.8066496163682864,0.0,54.0,0.0,0.9429175475687103,1.1102230246251565e-16,"[[39, 4], [3, 8]]",5
17,0.8703703703703705,1.1102230246251565e-16,0.8066496163682864,0.0,54.0,0.0,0.9323467230443974,1.1102230246251565e-16,"[[39, 4], [3, 8]]",5
18,0.8703703703703705,1.1102230246251565e-16,0.8066496163682864,0.0,54.0,0.0,0.9365750528541227,0.0,"[[39, 4], [3, 8]]",5
