layer,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,n_samples_mean,n_samples_std,auroc_mean,auroc_std,confusion_matrix,n_seeds
0,0.5833333333333334,0.0,0.3684210526315789,0.0,12.0,0.0,0.09090909090909091,0.0,"[[0, 1], [4, 7]]",5
1,0.75,0.0,0.42857142857142855,0.0,12.0,0.0,0.18181818181818182,0.0,"[[0, 1], [2, 9]]",5
2,0.9166666666666666,0.0,0.4782608695652174,0.0,12.0,0.0,0.2727272727272727,0.0,"[[0, 1], [0, 11]]",5
3,0.9166666666666666,0.0,0.4782608695652174,0.0,12.0,0.0,0.18181818181818182,0.0,"[[0, 1], [0, 11]]",5
4,0.9166666666666666,0.0,0.4782608695652174,0.0,12.0,0.0,0.36363636363636365,0.0,"[[0, 1], [0, 11]]",5
5,0.9166666666666666,0.0,0.4782608695652174,0.0,12.0,0.0,0.09090909090909091,0.0,"[[0, 1], [0, 11]]",5
6,0.9166666666666666,0.0,0.4782608695652174,0.0,12.0,0.0,0.18181818181818182,0.0,"[[0, 1], [0, 11]]",5
7,0.9166666666666666,0.0,0.4782608695652174,0.0,12.0,0.0,0.09090909090909091,0.0,"[[0, 1], [0, 11]]",5
8,0.9166666666666666,0.0,0.4782608695652174,0.0,12.0,0.0,0.09090909090909091,0.0,"[[0, 1], [0, 11]]",5
9,0.9166666666666666,0.0,0.4782608695652174,0.0,12.0,0.0,0.18181818181818182,0.0,"[[0, 1], [0, 11]]",5
10,0.9166666666666666,0.0,0.4782608695652174,0.0,12.0,0.0,0.0,0.0,"[[0, 1], [0, 11]]",5
11,0.9166666666666666,0.0,0.4782608695652174,0.0,12.0,0.0,0.0,0.0,"[[0, 1], [0, 11]]",5
12,0.9166666666666666,0.0,0.4782608695652174,0.0,12.0,0.0,0.18181818181818182,0.0,"[[0, 1], [0, 11]]",5
13,0.9166666666666666,0.0,0.4782608695652174,0.0,12.0,0.0,0.4545454545454545,5.551115123125783e-17,"[[0, 1], [0, 11]]",5
14,0.9166666666666666,0.0,0.4782608695652174,0.0,12.0,0.0,0.4545454545454545,5.551115123125783e-17,"[[0, 1], [0, 11]]",5
15,0.9166666666666666,0.0,0.4782608695652174,0.0,12.0,0.0,0.36363636363636365,0.0,"[[0, 1], [0, 11]]",5
16,0.9166666666666666,0.0,0.4782608695652174,0.0,12.0,0.0,0.0,0.0,"[[0, 1], [0, 11]]",5
17,0.9166666666666666,0.0,0.4782608695652174,0.0,12.0,0.0,0.09090909090909091,0.0,"[[0, 1], [0, 11]]",5
18,0.9166666666666666,0.0,0.4782608695652174,0.0,12.0,0.0,0.09090909090909091,0.0,"[[0, 1], [0, 11]]",5
19,0.9166666666666666,0.0,0.4782608695652174,0.0,12.0,0.0,0.0,0.0,"[[0, 1], [0, 11]]",5
20,0.9166666666666666,0.0,0.4782608695652174,0.0,12.0,0.0,0.09090909090909091,0.0,"[[0, 1], [0, 11]]",5
21,0.9166666666666666,0.0,0.4782608695652174,0.0,12.0,0.0,0.4545454545454545,5.551115123125783e-17,"[[0, 1], [0, 11]]",5
22,0.9166666666666666,0.0,0.4782608695652174,0.0,12.0,0.0,0.36363636363636365,0.0,"[[0, 1], [0, 11]]",5
23,0.9166666666666666,0.0,0.4782608695652174,0.0,12.0,0.0,0.4545454545454545,5.551115123125783e-17,"[[0, 1], [0, 11]]",5
24,1.0,0.0,1.0,0.0,12.0,0.0,1.0,0.0,"[[1, 0], [0, 11]]",5
25,0.9166666666666666,0.0,0.4782608695652174,0.0,12.0,0.0,0.909090909090909,1.1102230246251565e-16,"[[0, 1], [0, 11]]",5
26,1.0,0.0,1.0,0.0,12.0,0.0,1.0,0.0,"[[1, 0], [0, 11]]",5
27,0.9166666666666666,0.0,0.4782608695652174,0.0,12.0,0.0,0.5454545454545454,0.0,"[[0, 1], [0, 11]]",5
28,0.9166666666666666,0.0,0.4782608695652174,0.0,12.0,0.0,0.4545454545454545,5.551115123125783e-17,"[[0, 1], [0, 11]]",5
29,0.9166666666666666,0.0,0.4782608695652174,0.0,12.0,0.0,0.6363636363636364,0.0,"[[0, 1], [0, 11]]",5
30,0.9166666666666666,0.0,0.4782608695652174,0.0,12.0,0.0,0.5454545454545454,0.0,"[[0, 1], [0, 11]]",5
31,0.9166666666666666,0.0,0.4782608695652174,0.0,12.0,0.0,0.36363636363636365,0.0,"[[0, 1], [0, 11]]",5
32,0.9166666666666666,0.0,0.4782608695652174,0.0,12.0,0.0,0.36363636363636365,0.0,"[[0, 1], [0, 11]]",5
33,0.9166666666666666,0.0,0.4782608695652174,0.0,12.0,0.0,0.36363636363636365,0.0,"[[0, 1], [0, 11]]",5
34,0.9166666666666666,0.0,0.4782608695652174,0.0,12.0,0.0,0.36363636363636365,0.0,"[[0, 1], [0, 11]]",5
35,0.9166666666666666,0.0,0.4782608695652174,0.0,12.0,0.0,0.36363636363636365,0.0,"[[0, 1], [0, 11]]",5
