layer,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,n_samples_mean,n_samples_std,auroc_mean,auroc_std,confusion_matrix,n_seeds
0,0.8333333333333334,0.0,0.7777777777777777,0.0,12.0,0.0,0.888888888888889,0.0,"[[2, 1], [1, 8]]",5
1,0.9166666666666666,0.0,0.8991596638655462,1.1102230246251565e-16,12.0,0.0,0.962962962962963,0.0,"[[3, 0], [1, 8]]",5
2,0.9166666666666666,0.0,0.8991596638655462,1.1102230246251565e-16,12.0,0.0,0.962962962962963,0.0,"[[3, 0], [1, 8]]",5
3,0.9166666666666666,0.0,0.8736842105263157,1.1102230246251565e-16,12.0,0.0,0.962962962962963,0.0,"[[2, 1], [0, 9]]",5
4,0.9166666666666666,0.0,0.8736842105263157,1.1102230246251565e-16,12.0,0.0,0.962962962962963,0.0,"[[2, 1], [0, 9]]",5
5,0.75,0.0,0.6974789915966386,0.0,12.0,0.0,0.9259259259259259,1.1102230246251565e-16,"[[2, 1], [2, 7]]",5
6,0.8333333333333334,0.0,0.8125,0.0,12.0,0.0,0.7777777777777778,0.0,"[[3, 0], [2, 7]]",5
7,0.8333333333333334,0.0,0.7777777777777777,0.0,12.0,0.0,0.888888888888889,1.1102230246251565e-16,"[[2, 1], [1, 8]]",5
8,0.75,0.0,0.6974789915966386,0.0,12.0,0.0,0.9259259259259259,1.1102230246251565e-16,"[[2, 1], [2, 7]]",5
9,0.9166666666666666,0.0,0.8736842105263157,1.1102230246251565e-16,12.0,0.0,1.0,0.0,"[[2, 1], [0, 9]]",5
10,0.9166666666666666,0.0,0.8736842105263157,1.1102230246251565e-16,12.0,0.0,0.962962962962963,0.0,"[[2, 1], [0, 9]]",5
11,0.75,0.0,0.6974789915966386,0.0,12.0,0.0,0.8518518518518519,0.0,"[[2, 1], [2, 7]]",5
12,0.6666666666666666,0.0,0.625,0.0,12.0,0.0,0.888888888888889,0.0,"[[2, 1], [3, 6]]",5
13,0.8333333333333334,0.0,0.7777777777777777,0.0,12.0,0.0,0.9259259259259259,1.1102230246251565e-16,"[[2, 1], [1, 8]]",5
14,0.9166666666666666,0.0,0.8736842105263157,1.1102230246251565e-16,12.0,0.0,0.9259259259259259,1.1102230246251565e-16,"[[2, 1], [0, 9]]",5
15,0.9166666666666666,0.0,0.8736842105263157,1.1102230246251565e-16,12.0,0.0,0.9259259259259259,1.1102230246251565e-16,"[[2, 1], [0, 9]]",5
16,0.75,0.0,0.6974789915966386,0.0,12.0,0.0,0.9259259259259259,1.1102230246251565e-16,"[[2, 1], [2, 7]]",5
17,0.8333333333333334,0.0,0.7777777777777777,0.0,12.0,0.0,0.962962962962963,0.0,"[[2, 1], [1, 8]]",5
18,0.8333333333333334,0.0,0.7777777777777777,0.0,12.0,0.0,0.962962962962963,0.0,"[[2, 1], [1, 8]]",5
19,0.8333333333333334,0.0,0.7777777777777777,0.0,12.0,0.0,0.962962962962963,0.0,"[[2, 1], [1, 8]]",5
20,0.8333333333333334,0.0,0.7777777777777777,0.0,12.0,0.0,0.962962962962963,0.0,"[[2, 1], [1, 8]]",5
21,0.8333333333333334,0.0,0.7777777777777777,0.0,12.0,0.0,0.962962962962963,0.0,"[[2, 1], [1, 8]]",5
22,0.8333333333333334,0.0,0.7777777777777777,0.0,12.0,0.0,0.9259259259259259,1.1102230246251565e-16,"[[2, 1], [1, 8]]",5
23,0.8333333333333334,0.0,0.7777777777777777,0.0,12.0,0.0,0.962962962962963,0.0,"[[2, 1], [1, 8]]",5
24,0.8333333333333334,0.0,0.8125,0.0,12.0,0.0,0.9259259259259259,1.1102230246251565e-16,"[[3, 0], [2, 7]]",5
25,0.6666666666666666,0.0,0.6571428571428571,0.0,12.0,0.0,0.7037037037037037,0.0,"[[3, 0], [4, 5]]",5
26,0.8333333333333334,0.0,0.8125,0.0,12.0,0.0,0.888888888888889,0.0,"[[3, 0], [2, 7]]",5
27,0.8333333333333334,0.0,0.8125,0.0,12.0,0.0,0.9259259259259259,1.1102230246251565e-16,"[[3, 0], [2, 7]]",5
28,0.8333333333333334,0.0,0.8125,0.0,12.0,0.0,0.8518518518518519,0.0,"[[3, 0], [2, 7]]",5
29,0.8333333333333334,0.0,0.8125,0.0,12.0,0.0,0.962962962962963,0.0,"[[3, 0], [2, 7]]",5
30,0.8333333333333334,0.0,0.8125,0.0,12.0,0.0,0.9259259259259259,1.1102230246251565e-16,"[[3, 0], [2, 7]]",5
31,0.8333333333333334,0.0,0.8125,0.0,12.0,0.0,0.888888888888889,0.0,"[[3, 0], [2, 7]]",5
32,0.8333333333333334,0.0,0.8125,0.0,12.0,0.0,0.9259259259259259,1.1102230246251565e-16,"[[3, 0], [2, 7]]",5
33,0.9166666666666666,0.0,0.8991596638655462,1.1102230246251565e-16,12.0,0.0,0.962962962962963,0.0,"[[3, 0], [1, 8]]",5
34,0.9166666666666666,0.0,0.8991596638655462,1.1102230246251565e-16,12.0,0.0,0.962962962962963,0.0,"[[3, 0], [1, 8]]",5
35,0.9166666666666666,0.0,0.8991596638655462,1.1102230246251565e-16,12.0,0.0,0.962962962962963,0.0,"[[3, 0], [1, 8]]",5
