layer,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,n_samples_mean,n_samples_std,auroc_mean,auroc_std,confusion_matrix,n_seeds
0,0.4375,0.0,0.30434782608695654,0.0,32.0,0.0,0.03225806451612903,0.0,"[[0, 1], [17, 14]]",5
1,0.625,0.0,0.38461538461538464,0.0,32.0,0.0,0.25806451612903225,0.0,"[[0, 1], [11, 20]]",5
2,0.96875,0.0,0.492063492063492,5.551115123125783e-17,32.0,0.0,0.2903225806451613,0.0,"[[0, 1], [0, 31]]",5
3,0.96875,0.0,0.492063492063492,5.551115123125783e-17,32.0,0.0,0.3225806451612903,0.0,"[[0, 1], [0, 31]]",5
4,0.5,0.0,0.3333333333333333,0.0,32.0,0.0,0.0,0.0,"[[0, 1], [15, 16]]",5
5,0.625,0.0,0.38461538461538464,0.0,32.0,0.0,0.16129032258064516,0.0,"[[0, 1], [11, 20]]",5
6,0.84375,0.0,0.4576271186440678,0.0,32.0,0.0,0.06451612903225806,0.0,"[[0, 1], [4, 27]]",5
7,0.78125,0.0,0.4385964912280701,5.551115123125783e-17,32.0,0.0,0.2903225806451613,0.0,"[[0, 1], [6, 25]]",5
8,0.9375,0.0,0.4838709677419355,0.0,32.0,0.0,0.03225806451612903,0.0,"[[0, 1], [1, 30]]",5
9,0.96875,0.0,0.492063492063492,5.551115123125783e-17,32.0,0.0,0.03225806451612903,0.0,"[[0, 1], [0, 31]]",5
10,0.4375,0.0,0.30434782608695654,0.0,32.0,0.0,0.06451612903225806,0.0,"[[0, 1], [17, 14]]",5
11,0.46875,0.0,0.3191489361702128,0.0,32.0,0.0,0.16129032258064516,0.0,"[[0, 1], [16, 15]]",5
12,0.46875,0.0,0.3191489361702128,0.0,32.0,0.0,0.06451612903225806,0.0,"[[0, 1], [16, 15]]",5
13,0.46875,0.0,0.3191489361702128,0.0,32.0,0.0,0.06451612903225806,0.0,"[[0, 1], [16, 15]]",5
14,0.46875,0.0,0.3191489361702128,0.0,32.0,0.0,0.3225806451612903,0.0,"[[0, 1], [16, 15]]",5
15,0.46875,0.0,0.36374269005847953,0.0,32.0,0.0,0.4516129032258064,5.551115123125783e-17,"[[1, 0], [17, 14]]",5
16,0.6875,0.0,0.40740740740740733,5.551115123125783e-17,32.0,0.0,0.4516129032258064,5.551115123125783e-17,"[[0, 1], [9, 22]]",5
17,0.75,0.0,0.42857142857142855,0.0,32.0,0.0,0.3548387096774194,0.0,"[[0, 1], [7, 24]]",5
18,0.875,0.0,0.4666666666666667,0.0,32.0,0.0,0.4516129032258064,5.551115123125783e-17,"[[0, 1], [3, 28]]",5
19,0.71875,0.0,0.41818181818181815,0.0,32.0,0.0,0.4838709677419355,0.0,"[[0, 1], [8, 23]]",5
20,0.78125,0.0,0.4385964912280701,5.551115123125783e-17,32.0,0.0,0.4838709677419355,0.0,"[[0, 1], [6, 25]]",5
21,0.84375,0.0,0.4576271186440678,0.0,32.0,0.0,0.3225806451612903,0.0,"[[0, 1], [4, 27]]",5
22,0.96875,0.0,0.492063492063492,5.551115123125783e-17,32.0,0.0,0.06451612903225806,0.0,"[[0, 1], [0, 31]]",5
23,0.96875,0.0,0.492063492063492,5.551115123125783e-17,32.0,0.0,0.03225806451612903,0.0,"[[0, 1], [0, 31]]",5
24,0.96875,0.0,0.492063492063492,5.551115123125783e-17,32.0,0.0,0.0,0.0,"[[0, 1], [0, 31]]",5
25,0.96875,0.0,0.492063492063492,5.551115123125783e-17,32.0,0.0,0.0,0.0,"[[0, 1], [0, 31]]",5
26,0.96875,0.0,0.492063492063492,5.551115123125783e-17,32.0,0.0,0.0,0.0,"[[0, 1], [0, 31]]",5
27,0.875,0.0,0.4666666666666667,0.0,32.0,0.0,0.0,0.0,"[[0, 1], [3, 28]]",5
28,0.8125,0.0,0.44827586206896547,5.551115123125783e-17,32.0,0.0,0.0,0.0,"[[0, 1], [5, 26]]",5
29,0.875,0.0,0.4666666666666667,0.0,32.0,0.0,0.03225806451612903,0.0,"[[0, 1], [3, 28]]",5
30,0.875,0.0,0.4666666666666667,0.0,32.0,0.0,0.03225806451612903,0.0,"[[0, 1], [3, 28]]",5
31,0.875,0.0,0.4666666666666667,0.0,32.0,0.0,0.03225806451612903,0.0,"[[0, 1], [3, 28]]",5
32,0.84375,0.0,0.4576271186440678,0.0,32.0,0.0,0.06451612903225806,0.0,"[[0, 1], [4, 27]]",5
33,0.5625,0.0,0.36,0.0,32.0,0.0,0.06451612903225806,0.0,"[[0, 1], [13, 18]]",5
34,0.4375,0.0,0.30434782608695654,0.0,32.0,0.0,0.12903225806451613,0.0,"[[0, 1], [17, 14]]",5
35,0.3125,0.0,0.23809523809523808,0.0,32.0,0.0,0.1935483870967742,0.0,"[[0, 1], [21, 10]]",5
