layer,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,n_samples_mean,n_samples_std,auroc_mean,auroc_std,confusion_matrix,n_seeds
0,0.962962962962963,1.1102230246251565e-16,0.9429175475687103,1.1102230246251565e-16,54.0,0.0,0.9133192389006343,0.0,"[[10, 1], [1, 42]]",5
1,0.9814814814814815,0.0,0.9704433497536946,0.0,54.0,0.0,0.9281183932346723,0.0,"[[10, 1], [0, 43]]",5
2,0.9814814814814815,0.0,0.9704433497536946,0.0,54.0,0.0,0.930232558139535,1.1102230246251565e-16,"[[10, 1], [0, 43]]",5
3,0.9814814814814815,0.0,0.9704433497536946,0.0,54.0,0.0,0.9175475687103594,0.0,"[[10, 1], [0, 43]]",5
4,0.9814814814814815,0.0,0.9704433497536946,0.0,54.0,0.0,0.909090909090909,1.1102230246251565e-16,"[[10, 1], [0, 43]]",5
5,0.9814814814814815,0.0,0.9704433497536946,0.0,54.0,0.0,0.9217758985200846,0.0,"[[10, 1], [0, 43]]",5
6,0.9814814814814815,0.0,0.9704433497536946,0.0,54.0,0.0,0.9175475687103594,0.0,"[[10, 1], [0, 43]]",5
7,0.9814814814814815,0.0,0.9704433497536946,0.0,54.0,0.0,0.9323467230443974,1.1102230246251565e-16,"[[10, 1], [0, 43]]",5
8,0.9814814814814815,0.0,0.9704433497536946,0.0,54.0,0.0,0.9281183932346723,0.0,"[[10, 1], [0, 43]]",5
9,0.9814814814814815,0.0,0.9704433497536946,0.0,54.0,0.0,0.9344608879492601,1.1102230246251565e-16,"[[10, 1], [0, 43]]",5
10,0.9814814814814815,0.0,0.9704433497536946,0.0,54.0,0.0,0.9133192389006343,0.0,"[[10, 1], [0, 43]]",5
11,0.9814814814814815,0.0,0.9704433497536946,0.0,54.0,0.0,0.9281183932346723,0.0,"[[10, 1], [0, 43]]",5
12,0.9814814814814815,0.0,0.9704433497536946,0.0,54.0,0.0,0.9196617336152219,1.1102230246251565e-16,"[[10, 1], [0, 43]]",5
13,0.9814814814814815,0.0,0.9704433497536946,0.0,54.0,0.0,0.9217758985200846,0.0,"[[10, 1], [0, 43]]",5
14,0.9814814814814815,0.0,0.9704433497536946,0.0,54.0,0.0,0.9682875264270614,1.1102230246251565e-16,"[[10, 1], [0, 43]]",5
15,0.9814814814814815,0.0,0.9704433497536946,0.0,54.0,0.0,0.9809725158562369,1.1102230246251565e-16,"[[10, 1], [0, 43]]",5
16,0.962962962962963,1.1102230246251565e-16,0.9386363636363637,0.0,54.0,0.0,0.9809725158562369,1.1102230246251565e-16,"[[9, 2], [0, 43]]",5
17,0.962962962962963,1.1102230246251565e-16,0.9386363636363637,0.0,54.0,0.0,0.9767441860465116,0.0,"[[9, 2], [0, 43]]",5
18,0.9444444444444444,0.0,0.9041986989946779,1.1102230246251565e-16,54.0,0.0,0.9725158562367863,1.1102230246251565e-16,"[[8, 3], [0, 43]]",5
19,0.9259259259259259,0.0,0.8772727272727273,0.0,54.0,0.0,0.9682875264270614,1.1102230246251565e-16,"[[8, 3], [1, 42]]",5
20,0.9259259259259259,0.0,0.8772727272727273,0.0,54.0,0.0,0.930232558139535,1.1102230246251565e-16,"[[8, 3], [1, 42]]",5
21,0.9444444444444444,0.0,0.9041986989946779,1.1102230246251565e-16,54.0,0.0,0.9217758985200846,0.0,"[[8, 3], [0, 43]]",5
22,0.9259259259259259,0.0,0.8772727272727273,0.0,54.0,0.0,0.9069767441860466,1.1102230246251565e-16,"[[8, 3], [1, 42]]",5
23,0.9444444444444444,0.0,0.9041986989946779,1.1102230246251565e-16,54.0,0.0,0.9112050739957717,0.0,"[[8, 3], [0, 43]]",5
24,0.9814814814814815,0.0,0.9704433497536946,0.0,54.0,0.0,0.9112050739957717,0.0,"[[10, 1], [0, 43]]",5
25,0.9814814814814815,0.0,0.9704433497536946,0.0,54.0,0.0,0.9112050739957717,0.0,"[[10, 1], [0, 43]]",5
26,0.9814814814814815,0.0,0.9704433497536946,0.0,54.0,0.0,0.909090909090909,1.1102230246251565e-16,"[[10, 1], [0, 43]]",5
27,0.9814814814814815,0.0,0.9704433497536946,0.0,54.0,0.0,0.909090909090909,1.1102230246251565e-16,"[[10, 1], [0, 43]]",5
28,0.9814814814814815,0.0,0.9704433497536946,0.0,54.0,0.0,0.909090909090909,1.1102230246251565e-16,"[[10, 1], [0, 43]]",5
29,0.9814814814814815,0.0,0.9704433497536946,0.0,54.0,0.0,0.909090909090909,1.1102230246251565e-16,"[[10, 1], [0, 43]]",5
30,0.962962962962963,1.1102230246251565e-16,0.9429175475687103,1.1102230246251565e-16,54.0,0.0,0.9048625792811841,1.1102230246251565e-16,"[[10, 1], [1, 42]]",5
31,0.962962962962963,1.1102230246251565e-16,0.9429175475687103,1.1102230246251565e-16,54.0,0.0,0.909090909090909,1.1102230246251565e-16,"[[10, 1], [1, 42]]",5
32,0.962962962962963,1.1102230246251565e-16,0.9429175475687103,1.1102230246251565e-16,54.0,0.0,0.894291754756871,0.0,"[[10, 1], [1, 42]]",5
33,0.962962962962963,1.1102230246251565e-16,0.9429175475687103,1.1102230246251565e-16,54.0,0.0,0.9302325581395348,0.0,"[[10, 1], [1, 42]]",5
34,0.962962962962963,1.1102230246251565e-16,0.9429175475687103,1.1102230246251565e-16,54.0,0.0,0.9260042283298097,0.0,"[[10, 1], [1, 42]]",5
35,0.9074074074074074,0.0,0.8698795180722891,0.0,54.0,0.0,0.9492600422832979,1.1102230246251565e-16,"[[10, 1], [4, 39]]",5
