layer,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,n_samples_mean,n_samples_std,auroc_mean,auroc_std,confusion_matrix,n_seeds
0,0.8571428571428571,0.0,0.46153846153846156,0.0,14.0,0.0,0.625,0.0,"[[12, 0], [2, 0]]",5
1,0.8571428571428571,0.0,0.46153846153846156,0.0,14.0,0.0,0.875,0.0,"[[12, 0], [2, 0]]",5
2,0.8571428571428571,0.0,0.46153846153846156,0.0,14.0,0.0,0.8333333333333334,0.0,"[[12, 0], [2, 0]]",5
3,0.8571428571428571,0.0,0.46153846153846156,0.0,14.0,0.0,0.875,0.0,"[[12, 0], [2, 0]]",5
4,0.8571428571428571,0.0,0.46153846153846156,0.0,14.0,0.0,0.4166666666666667,0.0,"[[12, 0], [2, 0]]",5
5,0.8571428571428571,0.0,0.46153846153846156,0.0,14.0,0.0,0.08333333333333337,0.0,"[[12, 0], [2, 0]]",5
6,0.42857142857142855,0.0,0.3,0.0,14.0,0.0,0.16666666666666669,0.0,"[[6, 6], [2, 0]]",5
7,0.42857142857142855,0.0,0.3,0.0,14.0,0.0,0.08333333333333331,0.0,"[[6, 6], [2, 0]]",5
8,0.42857142857142855,0.0,0.3,0.0,14.0,0.0,0.16666666666666669,0.0,"[[6, 6], [2, 0]]",5
9,0.42857142857142855,0.0,0.3,0.0,14.0,0.0,0.041666666666666685,0.0,"[[6, 6], [2, 0]]",5
10,0.42857142857142855,0.0,0.3,0.0,14.0,0.0,0.125,0.0,"[[6, 6], [2, 0]]",5
11,0.42857142857142855,0.0,0.3,0.0,14.0,0.0,0.25,0.0,"[[6, 6], [2, 0]]",5
12,0.8571428571428571,0.0,0.46153846153846156,0.0,14.0,0.0,0.25,0.0,"[[12, 0], [2, 0]]",5
13,0.8571428571428571,0.0,0.46153846153846156,0.0,14.0,0.0,0.16666666666666669,0.0,"[[12, 0], [2, 0]]",5
14,0.8571428571428571,0.0,0.46153846153846156,0.0,14.0,0.0,0.2916666666666667,0.0,"[[12, 0], [2, 0]]",5
15,0.8571428571428571,0.0,0.46153846153846156,0.0,14.0,0.0,0.125,0.0,"[[12, 0], [2, 0]]",5
16,0.8571428571428571,0.0,0.46153846153846156,0.0,14.0,0.0,0.4166666666666667,0.0,"[[12, 0], [2, 0]]",5
17,0.8571428571428571,0.0,0.46153846153846156,0.0,14.0,0.0,0.041666666666666685,0.0,"[[12, 0], [2, 0]]",5
18,0.8571428571428571,0.0,0.46153846153846156,0.0,14.0,0.0,0.125,0.0,"[[12, 0], [2, 0]]",5
19,0.8571428571428571,0.0,0.46153846153846156,0.0,14.0,0.0,0.16666666666666669,0.0,"[[12, 0], [2, 0]]",5
20,0.35714285714285715,0.0,0.3262032085561497,0.0,14.0,0.0,0.4166666666666667,0.0,"[[4, 8], [1, 1]]",5
21,0.21428571428571427,0.0,0.21025641025641026,0.0,14.0,0.0,0.6666666666666667,0.0,"[[1, 11], [0, 2]]",5
22,0.14285714285714285,0.0,0.125,0.0,14.0,0.0,0.5,0.0,"[[0, 12], [0, 2]]",5
23,0.14285714285714285,0.0,0.125,0.0,14.0,0.0,0.5416666666666666,0.0,"[[0, 12], [0, 2]]",5
24,0.5714285714285714,0.0,0.5333333333333333,0.0,14.0,0.0,0.7083333333333333,0.0,"[[6, 6], [0, 2]]",5
25,0.21428571428571427,0.0,0.21025641025641026,0.0,14.0,0.0,0.625,0.0,"[[1, 11], [0, 2]]",5
26,0.14285714285714285,0.0,0.125,0.0,14.0,0.0,0.6666666666666666,0.0,"[[0, 12], [0, 2]]",5
27,0.2857142857142857,0.0,0.2857142857142857,0.0,14.0,0.0,0.5833333333333333,0.0,"[[2, 10], [0, 2]]",5
28,0.42857142857142855,0.0,0.41666666666666663,0.0,14.0,0.0,0.7083333333333334,0.0,"[[4, 8], [0, 2]]",5
29,0.5,0.0,0.47593582887700536,0.0,14.0,0.0,0.9166666666666667,0.0,"[[5, 7], [0, 2]]",5
30,0.35714285714285715,0.0,0.35384615384615387,0.0,14.0,0.0,1.0,0.0,"[[3, 9], [0, 2]]",5
31,0.2857142857142857,0.0,0.2857142857142857,0.0,14.0,0.0,0.875,0.0,"[[2, 10], [0, 2]]",5
32,0.35714285714285715,0.0,0.3262032085561497,0.0,14.0,0.0,0.45833333333333337,0.0,"[[4, 8], [1, 1]]",5
33,0.35714285714285715,0.0,0.3262032085561497,0.0,14.0,0.0,0.33333333333333337,0.0,"[[4, 8], [1, 1]]",5
34,0.21428571428571427,0.0,0.17647058823529413,0.0,14.0,0.0,0.08333333333333337,0.0,"[[3, 9], [2, 0]]",5
35,0.5,0.0,0.3333333333333333,0.0,14.0,0.0,0.41666666666666663,0.0,"[[7, 5], [2, 0]]",5
