layer,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,n_samples_mean,n_samples_std,auroc_mean,auroc_std,confusion_matrix,n_seeds
0,0.9285714285714286,0.0,0.8133333333333332,0.0,14.0,0.0,0.875,0.0,"[[12, 0], [1, 1]]",5
1,0.5714285714285714,0.0,0.36363636363636365,0.0,14.0,0.0,0.375,0.0,"[[8, 4], [2, 0]]",5
2,0.6428571428571429,0.0,0.391304347826087,0.0,14.0,0.0,0.5,0.0,"[[9, 3], [2, 0]]",5
3,0.6428571428571429,0.0,0.391304347826087,0.0,14.0,0.0,0.16666666666666669,0.0,"[[9, 3], [2, 0]]",5
4,0.6428571428571429,0.0,0.391304347826087,0.0,14.0,0.0,0.16666666666666669,0.0,"[[9, 3], [2, 0]]",5
5,0.7142857142857143,0.0,0.4166666666666667,0.0,14.0,0.0,0.45833333333333337,0.0,"[[10, 2], [2, 0]]",5
6,0.8571428571428571,0.0,0.46153846153846156,0.0,14.0,0.0,0.8333333333333334,0.0,"[[12, 0], [2, 0]]",5
7,0.8571428571428571,0.0,0.46153846153846156,0.0,14.0,0.0,0.625,0.0,"[[12, 0], [2, 0]]",5
8,0.8571428571428571,0.0,0.7083333333333333,0.0,14.0,0.0,0.7916666666666667,0.0,"[[11, 1], [1, 1]]",5
9,0.8571428571428571,0.0,0.46153846153846156,0.0,14.0,0.0,0.6666666666666667,0.0,"[[12, 0], [2, 0]]",5
10,0.7857142857142857,0.0,0.44000000000000006,5.551115123125783e-17,14.0,0.0,0.7916666666666666,0.0,"[[11, 1], [2, 0]]",5
11,0.8571428571428571,0.0,0.7083333333333333,0.0,14.0,0.0,0.5416666666666666,0.0,"[[11, 1], [1, 1]]",5
12,0.42857142857142855,0.0,0.37777777777777777,0.0,14.0,0.0,0.41666666666666663,0.0,"[[5, 7], [1, 1]]",5
13,0.35714285714285715,0.0,0.3262032085561497,0.0,14.0,0.0,0.25,0.0,"[[4, 8], [1, 1]]",5
14,0.35714285714285715,0.0,0.2631578947368421,0.0,14.0,0.0,0.3333333333333333,0.0,"[[5, 7], [2, 0]]",5
15,0.35714285714285715,0.0,0.3262032085561497,0.0,14.0,0.0,0.3333333333333333,0.0,"[[4, 8], [1, 1]]",5
16,0.35714285714285715,0.0,0.3262032085561497,0.0,14.0,0.0,0.41666666666666663,0.0,"[[4, 8], [1, 1]]",5
17,0.35714285714285715,0.0,0.3262032085561497,0.0,14.0,0.0,0.45833333333333337,0.0,"[[4, 8], [1, 1]]",5
18,0.42857142857142855,0.0,0.37777777777777777,0.0,14.0,0.0,0.5,0.0,"[[5, 7], [1, 1]]",5
19,0.6428571428571429,0.0,0.5238095238095237,0.0,14.0,0.0,0.4583333333333333,0.0,"[[8, 4], [1, 1]]",5
20,0.7857142857142857,0.0,0.44000000000000006,5.551115123125783e-17,14.0,0.0,0.20833333333333331,0.0,"[[11, 1], [2, 0]]",5
21,0.8571428571428571,0.0,0.46153846153846156,0.0,14.0,0.0,0.08333333333333331,0.0,"[[12, 0], [2, 0]]",5
22,0.8571428571428571,0.0,0.46153846153846156,0.0,14.0,0.0,0.08333333333333331,0.0,"[[12, 0], [2, 0]]",5
23,0.8571428571428571,0.0,0.46153846153846156,0.0,14.0,0.0,0.5,0.0,"[[12, 0], [2, 0]]",5
24,0.8571428571428571,0.0,0.46153846153846156,0.0,14.0,0.0,0.5416666666666667,0.0,"[[12, 0], [2, 0]]",5
25,0.8571428571428571,0.0,0.46153846153846156,0.0,14.0,0.0,0.2916666666666667,0.0,"[[12, 0], [2, 0]]",5
26,0.8571428571428571,0.0,0.46153846153846156,0.0,14.0,0.0,0.33333333333333337,0.0,"[[12, 0], [2, 0]]",5
27,0.8571428571428571,0.0,0.46153846153846156,0.0,14.0,0.0,0.41666666666666663,0.0,"[[12, 0], [2, 0]]",5
28,0.8571428571428571,0.0,0.46153846153846156,0.0,14.0,0.0,0.5,0.0,"[[12, 0], [2, 0]]",5
29,0.8571428571428571,0.0,0.46153846153846156,0.0,14.0,0.0,0.41666666666666663,0.0,"[[12, 0], [2, 0]]",5
30,0.8571428571428571,0.0,0.46153846153846156,0.0,14.0,0.0,0.625,0.0,"[[12, 0], [2, 0]]",5
31,0.7857142857142857,0.0,0.44000000000000006,5.551115123125783e-17,14.0,0.0,0.0,0.0,"[[11, 1], [2, 0]]",5
32,0.8571428571428571,0.0,0.46153846153846156,0.0,14.0,0.0,0.4583333333333333,0.0,"[[12, 0], [2, 0]]",5
33,0.8571428571428571,0.0,0.46153846153846156,0.0,14.0,0.0,0.375,0.0,"[[12, 0], [2, 0]]",5
34,0.6428571428571429,0.0,0.391304347826087,0.0,14.0,0.0,0.25,0.0,"[[9, 3], [2, 0]]",5
35,0.8571428571428571,0.0,0.46153846153846156,0.0,14.0,0.0,0.25,0.0,"[[12, 0], [2, 0]]",5
