layer,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,n_samples_mean,n_samples_std,auroc_mean,auroc_std,confusion_matrix,n_seeds
0,0.75,0.0,0.42857142857142855,0.0,16.0,0.0,0.25,0.0,"[[12, 0], [4, 0]]",5
1,0.75,0.0,0.42857142857142855,0.0,16.0,0.0,0.4166666666666667,0.0,"[[12, 0], [4, 0]]",5
2,0.5625,0.0,0.36,0.0,16.0,0.0,0.1041666666666667,1.3877787807814457e-17,"[[9, 3], [4, 0]]",5
3,0.375,0.0,0.2727272727272727,0.0,16.0,0.0,0.12500000000000003,0.0,"[[6, 6], [4, 0]]",5
4,0.5625,0.0,0.45893719806763283,0.0,16.0,0.0,0.25,0.0,"[[8, 4], [3, 1]]",5
5,0.75,0.0,0.5897435897435898,0.0,16.0,0.0,0.3125,0.0,"[[11, 1], [3, 1]]",5
6,0.75,0.0,0.42857142857142855,0.0,16.0,0.0,0.20833333333333334,0.0,"[[12, 0], [4, 0]]",5
7,0.75,0.0,0.42857142857142855,0.0,16.0,0.0,0.2708333333333333,0.0,"[[12, 0], [4, 0]]",5
8,0.625,0.0,0.38461538461538464,0.0,16.0,0.0,0.1875,0.0,"[[10, 2], [4, 0]]",5
9,0.5,0.0,0.3333333333333333,0.0,16.0,0.0,0.33333333333333337,0.0,"[[8, 4], [4, 0]]",5
10,0.6875,0.0,0.40740740740740733,5.551115123125783e-17,16.0,0.0,0.1875,0.0,"[[11, 1], [4, 0]]",5
11,0.625,0.0,0.5,0.0,16.0,0.0,0.6458333333333334,0.0,"[[9, 3], [3, 1]]",5
12,0.6875,0.0,0.5428571428571429,0.0,16.0,0.0,0.6041666666666666,0.0,"[[10, 2], [3, 1]]",5
13,0.625,0.0,0.38461538461538464,0.0,16.0,0.0,0.4375,0.0,"[[10, 2], [4, 0]]",5
14,0.6875,0.0,0.5428571428571429,0.0,16.0,0.0,0.7916666666666667,0.0,"[[10, 2], [3, 1]]",5
15,0.6875,0.0,0.40740740740740733,5.551115123125783e-17,16.0,0.0,0.6875000000000001,0.0,"[[11, 1], [4, 0]]",5
16,0.625,0.0,0.38461538461538464,0.0,16.0,0.0,0.5416666666666666,0.0,"[[10, 2], [4, 0]]",5
17,0.6875,0.0,0.40740740740740733,5.551115123125783e-17,16.0,0.0,0.20833333333333334,0.0,"[[11, 1], [4, 0]]",5
18,0.625,0.0,0.38461538461538464,0.0,16.0,0.0,0.1875,0.0,"[[10, 2], [4, 0]]",5
19,0.5625,0.0,0.36,0.0,16.0,0.0,0.22916666666666669,0.0,"[[9, 3], [4, 0]]",5
20,0.6875,0.0,0.40740740740740733,5.551115123125783e-17,16.0,0.0,0.37500000000000006,0.0,"[[11, 1], [4, 0]]",5
21,0.625,0.0,0.38461538461538464,0.0,16.0,0.0,0.39583333333333337,0.0,"[[10, 2], [4, 0]]",5
22,0.625,0.0,0.38461538461538464,0.0,16.0,0.0,0.47916666666666663,0.0,"[[10, 2], [4, 0]]",5
23,0.5625,0.0,0.36,0.0,16.0,0.0,0.5,0.0,"[[9, 3], [4, 0]]",5
24,0.5625,0.0,0.36,0.0,16.0,0.0,0.6875000000000001,0.0,"[[9, 3], [4, 0]]",5
25,0.6875,0.0,0.6135265700483092,0.0,16.0,0.0,0.5833333333333334,0.0,"[[9, 3], [2, 2]]",5
26,0.6875,0.0,0.6135265700483092,0.0,16.0,0.0,0.7708333333333334,0.0,"[[9, 3], [2, 2]]",5
27,0.75,0.0,0.7090909090909091,0.0,16.0,0.0,0.8125000000000002,1.1102230246251565e-16,"[[9, 3], [1, 3]]",5
28,0.75,0.0,0.6666666666666667,0.0,16.0,0.0,0.8333333333333334,0.0,"[[10, 2], [2, 2]]",5
29,0.5625,0.0,0.36,0.0,16.0,0.0,0.7291666666666667,0.0,"[[9, 3], [4, 0]]",5
30,0.6875,0.0,0.5428571428571429,0.0,16.0,0.0,0.7500000000000001,0.0,"[[10, 2], [3, 1]]",5
31,0.6875,0.0,0.40740740740740733,5.551115123125783e-17,16.0,0.0,0.6041666666666666,0.0,"[[11, 1], [4, 0]]",5
32,0.75,0.0,0.5897435897435898,0.0,16.0,0.0,0.7708333333333334,0.0,"[[11, 1], [3, 1]]",5
33,0.6875,0.0,0.40740740740740733,5.551115123125783e-17,16.0,0.0,0.6458333333333334,0.0,"[[11, 1], [4, 0]]",5
34,0.8125,0.0,0.7257142857142858,0.0,16.0,0.0,0.5625,0.0,"[[11, 1], [2, 2]]",5
35,0.6875,0.0,0.6135265700483092,0.0,16.0,0.0,0.6458333333333334,0.0,"[[9, 3], [2, 2]]",5
