layer,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,n_samples_mean,n_samples_std,auroc_mean,auroc_std,confusion_matrix,n_seeds
0,0.5833333333333334,0.0,0.5555555555555556,0.0,12.0,0.0,0.48571428571428577,0.0,"[[5, 2], [3, 2]]",5
1,0.75,0.0,0.6974789915966386,0.0,12.0,0.0,0.7142857142857143,0.0,"[[7, 0], [3, 2]]",5
2,0.75,0.0,0.7333333333333334,0.0,12.0,0.0,0.7714285714285715,0.0,"[[6, 1], [2, 3]]",5
3,0.6666666666666666,0.0,0.625,0.0,12.0,0.0,0.6285714285714286,0.0,"[[6, 1], [3, 2]]",5
4,0.5,0.0,0.4375,0.0,12.0,0.0,0.42857142857142855,0.0,"[[5, 2], [4, 1]]",5
5,0.5833333333333334,0.0,0.5555555555555556,0.0,12.0,0.0,0.6857142857142857,0.0,"[[5, 2], [3, 2]]",5
6,0.5,0.0,0.4375,0.0,12.0,0.0,0.5142857142857143,0.0,"[[5, 2], [4, 1]]",5
7,0.5,0.0,0.4375,0.0,12.0,0.0,0.4571428571428572,0.0,"[[5, 2], [4, 1]]",5
8,0.5,0.0,0.48571428571428565,5.551115123125783e-17,12.0,0.0,0.4,0.0,"[[4, 3], [3, 2]]",5
9,0.6666666666666666,0.0,0.625,0.0,12.0,0.0,0.5714285714285714,0.0,"[[6, 1], [3, 2]]",5
10,0.5,0.0,0.4375,0.0,12.0,0.0,0.4571428571428572,0.0,"[[5, 2], [4, 1]]",5
11,0.6666666666666666,0.0,0.6571428571428571,0.0,12.0,0.0,0.5428571428571428,0.0,"[[5, 2], [2, 3]]",5
12,0.5833333333333334,0.0,0.5555555555555556,0.0,12.0,0.0,0.39999999999999997,0.0,"[[5, 2], [3, 2]]",5
13,0.6666666666666666,0.0,0.625,0.0,12.0,0.0,0.45714285714285713,5.551115123125783e-17,"[[6, 1], [3, 2]]",5
14,0.6666666666666666,0.0,0.625,0.0,12.0,0.0,0.48571428571428565,5.551115123125783e-17,"[[6, 1], [3, 2]]",5
15,0.6666666666666666,0.0,0.625,0.0,12.0,0.0,0.5142857142857142,0.0,"[[6, 1], [3, 2]]",5
16,0.5833333333333334,0.0,0.5555555555555556,0.0,12.0,0.0,0.4571428571428572,0.0,"[[5, 2], [3, 2]]",5
17,0.6666666666666666,0.0,0.625,0.0,12.0,0.0,0.5142857142857142,0.0,"[[6, 1], [3, 2]]",5
18,0.6666666666666666,0.0,0.625,0.0,12.0,0.0,0.5428571428571429,0.0,"[[6, 1], [3, 2]]",5
19,0.6666666666666666,0.0,0.625,0.0,12.0,0.0,0.5714285714285714,0.0,"[[6, 1], [3, 2]]",5
20,0.6666666666666666,0.0,0.625,0.0,12.0,0.0,0.6,0.0,"[[6, 1], [3, 2]]",5
21,0.6666666666666666,0.0,0.625,0.0,12.0,0.0,0.6571428571428571,0.0,"[[6, 1], [3, 2]]",5
22,0.6666666666666666,0.0,0.625,0.0,12.0,0.0,0.6,0.0,"[[6, 1], [3, 2]]",5
23,0.6666666666666666,0.0,0.625,0.0,12.0,0.0,0.6000000000000001,0.0,"[[6, 1], [3, 2]]",5
24,0.6666666666666666,0.0,0.625,0.0,12.0,0.0,0.6,0.0,"[[6, 1], [3, 2]]",5
25,0.6666666666666666,0.0,0.625,0.0,12.0,0.0,0.6285714285714286,0.0,"[[6, 1], [3, 2]]",5
26,0.6666666666666666,0.0,0.625,0.0,12.0,0.0,0.6,0.0,"[[6, 1], [3, 2]]",5
27,0.5833333333333334,0.0,0.5555555555555556,0.0,12.0,0.0,0.6000000000000001,0.0,"[[5, 2], [3, 2]]",5
28,0.6666666666666666,0.0,0.625,0.0,12.0,0.0,0.6571428571428573,0.0,"[[6, 1], [3, 2]]",5
29,0.6666666666666666,0.0,0.625,0.0,12.0,0.0,0.6285714285714286,0.0,"[[6, 1], [3, 2]]",5
30,0.6666666666666666,0.0,0.625,0.0,12.0,0.0,0.6285714285714286,0.0,"[[6, 1], [3, 2]]",5
31,0.6666666666666666,0.0,0.625,0.0,12.0,0.0,0.6857142857142857,0.0,"[[6, 1], [3, 2]]",5
32,0.6666666666666666,0.0,0.625,0.0,12.0,0.0,0.6857142857142858,0.0,"[[6, 1], [3, 2]]",5
33,0.6666666666666666,0.0,0.625,0.0,12.0,0.0,0.6285714285714286,0.0,"[[6, 1], [3, 2]]",5
34,0.6666666666666666,0.0,0.6571428571428571,0.0,12.0,0.0,0.5714285714285715,0.0,"[[5, 2], [2, 3]]",5
35,0.6666666666666666,0.0,0.6571428571428571,0.0,12.0,0.0,0.5428571428571429,0.0,"[[5, 2], [2, 3]]",5
