layer,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,n_samples_mean,n_samples_std,auroc_mean,auroc_std,confusion_matrix,n_seeds
0,0.2857142857142857,0.0,0.2708333333333333,0.0,14.0,0.0,0.4791666666666667,0.0,"[[3, 3], [7, 1]]",5
1,0.6428571428571429,0.0,0.5238095238095237,0.0,14.0,0.0,0.5,0.0,"[[1, 5], [0, 8]]",5
2,0.5714285714285714,0.0,0.475,0.0,14.0,0.0,0.5,0.0,"[[1, 5], [1, 7]]",5
3,0.5,0.0,0.4269005847953216,0.0,14.0,0.0,0.4166666666666667,0.0,"[[1, 5], [2, 6]]",5
4,0.5,0.0,0.4269005847953216,0.0,14.0,0.0,0.33333333333333337,0.0,"[[1, 5], [2, 6]]",5
5,0.5714285714285714,0.0,0.5333333333333333,0.0,14.0,0.0,0.39583333333333337,0.0,"[[2, 4], [2, 6]]",5
6,0.5,0.0,0.4269005847953216,0.0,14.0,0.0,0.3541666666666667,0.0,"[[1, 5], [2, 6]]",5
7,0.5714285714285714,0.0,0.5333333333333333,0.0,14.0,0.0,0.39583333333333337,0.0,"[[2, 4], [2, 6]]",5
8,0.5714285714285714,0.0,0.5333333333333333,0.0,14.0,0.0,0.39583333333333337,0.0,"[[2, 4], [2, 6]]",5
9,0.6428571428571429,0.0,0.625668449197861,0.0,14.0,0.0,0.5208333333333334,0.0,"[[3, 3], [2, 6]]",5
10,0.5714285714285714,0.0,0.475,0.0,14.0,0.0,0.39583333333333337,0.0,"[[1, 5], [1, 7]]",5
11,0.5714285714285714,0.0,0.475,0.0,14.0,0.0,0.3541666666666667,0.0,"[[1, 5], [1, 7]]",5
12,0.5714285714285714,0.0,0.475,0.0,14.0,0.0,0.3541666666666667,0.0,"[[1, 5], [1, 7]]",5
13,0.5,0.0,0.4269005847953216,0.0,14.0,0.0,0.3958333333333333,0.0,"[[1, 5], [2, 6]]",5
14,0.5,0.0,0.4269005847953216,0.0,14.0,0.0,0.375,0.0,"[[1, 5], [2, 6]]",5
15,0.42857142857142855,0.0,0.3,0.0,14.0,0.0,0.2916666666666667,0.0,"[[0, 6], [2, 6]]",5
16,0.42857142857142855,0.0,0.3,0.0,14.0,0.0,0.39583333333333337,0.0,"[[0, 6], [2, 6]]",5
17,0.5,0.0,0.47593582887700536,0.0,14.0,0.0,0.41666666666666663,0.0,"[[2, 4], [3, 5]]",5
18,0.35714285714285715,0.0,0.3262032085561497,0.0,14.0,0.0,0.375,0.0,"[[1, 5], [4, 4]]",5
19,0.5,0.0,0.47593582887700536,0.0,14.0,0.0,0.4166666666666667,0.0,"[[2, 4], [3, 5]]",5
20,0.42857142857142855,0.0,0.37777777777777777,0.0,14.0,0.0,0.41666666666666663,0.0,"[[1, 5], [3, 5]]",5
21,0.5,0.0,0.47593582887700536,0.0,14.0,0.0,0.5,0.0,"[[2, 4], [3, 5]]",5
22,0.5,0.0,0.4269005847953216,0.0,14.0,0.0,0.3125,0.0,"[[1, 5], [2, 6]]",5
23,0.5,0.0,0.47593582887700536,0.0,14.0,0.0,0.5416666666666667,0.0,"[[2, 4], [3, 5]]",5
24,0.5714285714285714,0.0,0.5333333333333333,0.0,14.0,0.0,0.41666666666666663,0.0,"[[2, 4], [2, 6]]",5
25,0.5714285714285714,0.0,0.5333333333333333,0.0,14.0,0.0,0.5,0.0,"[[2, 4], [2, 6]]",5
26,0.6428571428571429,0.0,0.625668449197861,0.0,14.0,0.0,0.5416666666666667,0.0,"[[3, 3], [2, 6]]",5
27,0.6428571428571429,0.0,0.625668449197861,0.0,14.0,0.0,0.5208333333333334,0.0,"[[3, 3], [2, 6]]",5
28,0.6428571428571429,0.0,0.625668449197861,0.0,14.0,0.0,0.5208333333333334,0.0,"[[3, 3], [2, 6]]",5
29,0.5714285714285714,0.0,0.5333333333333333,0.0,14.0,0.0,0.41666666666666663,0.0,"[[2, 4], [2, 6]]",5
30,0.5714285714285714,0.0,0.5333333333333333,0.0,14.0,0.0,0.4375,0.0,"[[2, 4], [2, 6]]",5
31,0.5714285714285714,0.0,0.5333333333333333,0.0,14.0,0.0,0.45833333333333337,0.0,"[[2, 4], [2, 6]]",5
32,0.5,0.0,0.47593582887700536,0.0,14.0,0.0,0.375,0.0,"[[2, 4], [3, 5]]",5
33,0.6428571428571429,0.0,0.625668449197861,0.0,14.0,0.0,0.5208333333333334,0.0,"[[3, 3], [2, 6]]",5
34,0.6428571428571429,0.0,0.625668449197861,0.0,14.0,0.0,0.5,0.0,"[[3, 3], [2, 6]]",5
35,0.6428571428571429,0.0,0.625668449197861,0.0,14.0,0.0,0.5416666666666667,0.0,"[[3, 3], [2, 6]]",5
