layer,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,n_samples_mean,n_samples_std,auroc_mean,auroc_std,confusion_matrix,n_seeds
0,0.375,0.0,0.3073593073593074,0.0,32.0,0.0,0.24999999999999994,0.0,"[[11, 15], [5, 1]]",5
1,0.53125,0.0,0.3992490613266583,0.0,32.0,0.0,0.32051282051282054,0.0,"[[16, 10], [5, 1]]",5
2,0.78125,0.0,0.5474747474747474,0.0,32.0,0.0,0.43589743589743585,0.0,"[[24, 2], [5, 1]]",5
3,0.59375,0.0,0.4793491864831038,5.551115123125783e-17,32.0,0.0,0.5064102564102564,0.0,"[[17, 9], [4, 2]]",5
4,0.375,0.0,0.36507936507936506,0.0,32.0,0.0,0.5576923076923077,0.0,"[[8, 18], [2, 4]]",5
5,0.5625,0.0,0.49090909090909085,0.0,32.0,0.0,0.46794871794871795,0.0,"[[15, 11], [3, 3]]",5
6,0.6875,0.0,0.5833333333333333,0.0,32.0,0.0,0.5641025641025641,0.0,"[[19, 7], [3, 3]]",5
7,0.4375,0.0,0.4,0.0,32.0,0.0,0.4935897435897436,0.0,"[[11, 15], [3, 3]]",5
8,0.5625,0.0,0.5151515151515151,0.0,32.0,0.0,0.5961538461538461,0.0,"[[14, 12], [2, 4]]",5
9,0.40625,0.0,0.3764102564102564,0.0,32.0,0.0,0.4166666666666667,0.0,"[[10, 16], [3, 3]]",5
10,0.34375,0.0,0.2558139534883721,0.0,32.0,0.0,0.22435897435897437,0.0,"[[11, 15], [6, 0]]",5
11,0.4375,0.0,0.4352941176470589,5.551115123125783e-17,32.0,0.0,0.782051282051282,0.0,"[[8, 18], [0, 6]]",5
12,0.78125,0.0,0.6157804459691252,0.0,32.0,0.0,0.7628205128205129,0.0,"[[23, 3], [4, 2]]",5
13,0.625,0.0,0.5636363636363637,0.0,32.0,0.0,0.717948717948718,0.0,"[[16, 10], [2, 4]]",5
14,0.375,0.0,0.37254901960784315,0.0,32.0,0.0,0.7692307692307693,0.0,"[[7, 19], [1, 5]]",5
15,0.625,0.0,0.6,0.0,32.0,0.0,0.8910256410256409,1.1102230246251565e-16,"[[14, 12], [0, 6]]",5
16,0.8125,0.0,0.7257142857142858,0.0,32.0,0.0,0.8589743589743591,1.1102230246251565e-16,"[[22, 4], [2, 4]]",5
17,0.65625,0.0,0.5210884353741496,0.0,32.0,0.0,0.4935897435897436,0.0,"[[19, 7], [4, 2]]",5
18,0.625,0.0,0.5,0.0,32.0,0.0,0.46794871794871795,0.0,"[[18, 8], [4, 2]]",5
19,0.65625,0.0,0.5210884353741496,0.0,32.0,0.0,0.43589743589743596,5.551115123125783e-17,"[[19, 7], [4, 2]]",5
20,0.65625,0.0,0.39622641509433965,0.0,32.0,0.0,0.23717948717948717,0.0,"[[21, 5], [6, 0]]",5
21,0.78125,0.0,0.7196495619524406,0.0,32.0,0.0,0.8589743589743589,0.0,"[[20, 6], [1, 5]]",5
22,0.65625,0.0,0.5594493116395495,0.0,32.0,0.0,0.5064102564102565,0.0,"[[18, 8], [3, 3]]",5
23,0.78125,0.0,0.6952380952380952,0.0,32.0,0.0,0.6987179487179487,0.0,"[[21, 5], [2, 4]]",5
24,0.75,0.0,0.5897435897435898,0.0,32.0,0.0,0.6282051282051282,0.0,"[[22, 4], [4, 2]]",5
25,0.8125,0.0,0.6923076923076923,0.0,32.0,0.0,0.6025641025641025,0.0,"[[23, 3], [3, 3]]",5
26,0.6875,0.0,0.6135265700483092,0.0,32.0,0.0,0.7243589743589745,0.0,"[[18, 8], [2, 4]]",5
27,0.75,0.0,0.6666666666666667,0.0,32.0,0.0,0.6923076923076924,0.0,"[[20, 6], [2, 4]]",5
28,0.71875,0.0,0.639549436795995,0.0,32.0,0.0,0.6858974358974359,0.0,"[[19, 7], [2, 4]]",5
29,0.78125,0.0,0.6952380952380952,0.0,32.0,0.0,0.6666666666666666,0.0,"[[21, 5], [2, 4]]",5
30,0.84375,0.0,0.725557461406518,0.0,32.0,0.0,0.6153846153846154,0.0,"[[24, 2], [3, 3]]",5
31,0.8125,0.0,0.6923076923076923,0.0,32.0,0.0,0.641025641025641,0.0,"[[23, 3], [3, 3]]",5
32,0.71875,0.0,0.6081632653061224,0.0,32.0,0.0,0.5705128205128205,0.0,"[[20, 6], [3, 3]]",5
33,0.28125,0.0,0.26326326326326327,0.0,32.0,0.0,0.4166666666666667,0.0,"[[7, 19], [4, 2]]",5
34,0.25,0.0,0.25,0.0,32.0,0.0,0.38461538461538464,0.0,"[[4, 22], [2, 4]]",5
35,0.3125,0.0,0.3125,0.0,32.0,0.0,0.5641025641025641,0.0,"[[5, 21], [1, 5]]",5
