layer,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,n_samples_mean,n_samples_std,auroc_mean,auroc_std,confusion_matrix,n_seeds
0,0.25,0.0,0.2,0.0,16.0,0.0,0.8333333333333334,0.0,"[[4, 0], [12, 0]]",5
1,0.25,0.0,0.2,0.0,16.0,0.0,0.3541666666666667,0.0,"[[4, 0], [12, 0]]",5
2,0.25,0.0,0.2,0.0,16.0,0.0,0.875,0.0,"[[4, 0], [12, 0]]",5
3,0.25,0.0,0.2,0.0,16.0,0.0,0.8541666666666666,0.0,"[[4, 0], [12, 0]]",5
4,0.25,0.0,0.2,0.0,16.0,0.0,0.8125,0.0,"[[4, 0], [12, 0]]",5
5,0.25,0.0,0.2,0.0,16.0,0.0,0.8541666666666666,0.0,"[[4, 0], [12, 0]]",5
6,0.25,0.0,0.2,0.0,16.0,0.0,0.25,0.0,"[[4, 0], [12, 0]]",5
7,0.25,0.0,0.2,0.0,16.0,0.0,0.9166666666666666,0.0,"[[4, 0], [12, 0]]",5
8,0.25,0.0,0.2,0.0,16.0,0.0,0.8958333333333334,0.0,"[[4, 0], [12, 0]]",5
9,0.25,0.0,0.2,0.0,16.0,0.0,0.9166666666666666,0.0,"[[4, 0], [12, 0]]",5
10,0.25,0.0,0.2,0.0,16.0,0.0,0.9166666666666666,0.0,"[[4, 0], [12, 0]]",5
11,0.25,0.0,0.2,0.0,16.0,0.0,0.8958333333333334,0.0,"[[4, 0], [12, 0]]",5
12,0.3125,0.0,0.2874493927125506,0.0,16.0,0.0,0.875,0.0,"[[4, 0], [11, 1]]",5
13,0.3125,0.0,0.2874493927125506,0.0,16.0,0.0,0.875,0.0,"[[4, 0], [11, 1]]",5
14,0.3125,0.0,0.2874493927125506,0.0,16.0,0.0,0.8541666666666666,0.0,"[[4, 0], [11, 1]]",5
15,0.3125,0.0,0.2874493927125506,0.0,16.0,0.0,1.0,0.0,"[[4, 0], [11, 1]]",5
16,0.3125,0.0,0.2874493927125506,0.0,16.0,0.0,1.0,0.0,"[[4, 0], [11, 1]]",5
17,0.25,0.0,0.2,0.0,16.0,0.0,0.7916666666666666,0.0,"[[4, 0], [12, 0]]",5
18,0.25,0.0,0.2,0.0,16.0,0.0,0.625,0.0,"[[4, 0], [12, 0]]",5
19,0.25,0.0,0.2,0.0,16.0,0.0,0.29166666666666663,0.0,"[[4, 0], [12, 0]]",5
20,0.25,0.0,0.2,0.0,16.0,0.0,0.16666666666666666,0.0,"[[4, 0], [12, 0]]",5
21,0.25,0.0,0.2,0.0,16.0,0.0,0.14583333333333334,0.0,"[[4, 0], [12, 0]]",5
22,0.25,0.0,0.2,0.0,16.0,0.0,0.16666666666666666,0.0,"[[4, 0], [12, 0]]",5
23,0.25,0.0,0.2,0.0,16.0,0.0,0.14583333333333331,0.0,"[[4, 0], [12, 0]]",5
24,0.25,0.0,0.2,0.0,16.0,0.0,0.16666666666666666,0.0,"[[4, 0], [12, 0]]",5
25,0.25,0.0,0.2,0.0,16.0,0.0,0.29166666666666663,0.0,"[[4, 0], [12, 0]]",5
26,0.3125,0.0,0.2874493927125506,0.0,16.0,0.0,0.35416666666666663,0.0,"[[4, 0], [11, 1]]",5
27,0.3125,0.0,0.2874493927125506,0.0,16.0,0.0,0.4375,0.0,"[[4, 0], [11, 1]]",5
28,0.25,0.0,0.2,0.0,16.0,0.0,0.6666666666666666,0.0,"[[4, 0], [12, 0]]",5
29,0.3125,0.0,0.2874493927125506,0.0,16.0,0.0,0.39583333333333337,0.0,"[[4, 0], [11, 1]]",5
30,0.25,0.0,0.2,0.0,16.0,0.0,0.9375,0.0,"[[4, 0], [12, 0]]",5
31,0.25,0.0,0.2,0.0,16.0,0.0,0.9166666666666666,0.0,"[[4, 0], [12, 0]]",5
32,0.25,0.0,0.2,0.0,16.0,0.0,0.875,0.0,"[[4, 0], [12, 0]]",5
33,0.3125,0.0,0.2874493927125506,0.0,16.0,0.0,0.8125,0.0,"[[4, 0], [11, 1]]",5
34,0.25,0.0,0.2,0.0,16.0,0.0,0.7291666666666666,0.0,"[[4, 0], [12, 0]]",5
35,0.25,0.0,0.2,0.0,16.0,0.0,0.7916666666666666,0.0,"[[4, 0], [12, 0]]",5
