layer,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,n_samples_mean,n_samples_std,auroc_mean,auroc_std,confusion_matrix,n_seeds
0,0.8148148148148147,1.1102230246251565e-16,0.7853736089030208,0.0,54.0,0.0,0.7593984962406015,0.0,"[[32, 3], [7, 12]]",5
1,0.7777777777777778,0.0,0.75,0.0,54.0,0.0,0.7609022556390977,0.0,"[[30, 5], [7, 12]]",5
2,0.7962962962962963,0.0,0.773886562618957,0.0,54.0,0.0,0.8,0.0,"[[30, 5], [6, 13]]",5
3,0.7962962962962963,0.0,0.7675146771037182,0.0,54.0,0.0,0.8511278195488721,1.1102230246251565e-16,"[[31, 4], [7, 12]]",5
4,0.7962962962962963,0.0,0.7675146771037182,0.0,54.0,0.0,0.8451127819548873,0.0,"[[31, 4], [7, 12]]",5
5,0.7592592592592593,0.0,0.7252446183953033,0.0,54.0,0.0,0.8075187969924811,0.0,"[[30, 5], [8, 11]]",5
6,0.7592592592592593,0.0,0.7163636363636363,0.0,54.0,0.0,0.7669172932330827,0.0,"[[31, 4], [9, 10]]",5
7,0.7407407407407407,0.0,0.699523052464229,0.0,54.0,0.0,0.7338345864661654,0.0,"[[30, 5], [9, 10]]",5
8,0.7777777777777778,0.0,0.7424483306836248,0.0,54.0,0.0,0.6992481203007519,0.0,"[[31, 4], [8, 11]]",5
9,0.7592592592592593,0.0,0.7252446183953033,0.0,54.0,0.0,0.7488721804511278,0.0,"[[30, 5], [8, 11]]",5
10,0.7222222222222222,0.0,0.6829745596868884,0.0,54.0,0.0,0.675187969924812,0.0,"[[29, 6], [9, 10]]",5
11,0.7777777777777778,0.0,0.75,0.0,54.0,0.0,0.7563909774436091,0.0,"[[30, 5], [7, 12]]",5
12,0.7592592592592593,0.0,0.7252446183953033,0.0,54.0,0.0,0.8180451127819548,0.0,"[[30, 5], [8, 11]]",5
13,0.7777777777777778,0.0,0.75,0.0,54.0,0.0,0.8195488721804512,1.1102230246251565e-16,"[[30, 5], [7, 12]]",5
14,0.7407407407407407,0.0,0.7083333333333334,0.0,54.0,0.0,0.825563909774436,0.0,"[[29, 6], [8, 11]]",5
15,0.7222222222222222,0.0,0.6916634944803959,0.0,54.0,0.0,0.806015037593985,0.0,"[[28, 7], [8, 11]]",5
16,0.7222222222222222,0.0,0.6829745596868884,0.0,54.0,0.0,0.8360902255639097,1.1102230246251565e-16,"[[29, 6], [9, 10]]",5
17,0.7222222222222222,0.0,0.6829745596868884,0.0,54.0,0.0,0.8541353383458647,0.0,"[[29, 6], [9, 10]]",5
18,0.6851851851851852,0.0,0.6407045009784735,0.0,54.0,0.0,0.8045112781954886,0.0,"[[28, 7], [10, 9]]",5
19,0.7037037037037037,0.0,0.6666666666666667,0.0,54.0,0.0,0.8150375939849624,1.1102230246251565e-16,"[[28, 7], [9, 10]]",5
20,0.7592592592592593,0.0,0.7327750285496765,0.0,54.0,0.0,0.8240601503759398,0.0,"[[29, 6], [7, 12]]",5
21,0.7592592592592593,0.0,0.7327750285496765,0.0,54.0,0.0,0.8045112781954888,1.1102230246251565e-16,"[[29, 6], [7, 12]]",5
22,0.7222222222222222,0.0,0.6829745596868884,0.0,54.0,0.0,0.7353383458646616,0.0,"[[29, 6], [9, 10]]",5
23,0.7222222222222222,0.0,0.6829745596868884,0.0,54.0,0.0,0.7849624060150376,0.0,"[[29, 6], [9, 10]]",5
24,0.7222222222222222,0.0,0.6829745596868884,0.0,54.0,0.0,0.7654135338345864,0.0,"[[29, 6], [9, 10]]",5
25,0.7407407407407407,0.0,0.699523052464229,0.0,54.0,0.0,0.7879699248120301,0.0,"[[30, 5], [9, 10]]",5
26,0.7592592592592593,0.0,0.7252446183953033,0.0,54.0,0.0,0.7744360902255638,0.0,"[[30, 5], [8, 11]]",5
27,0.7407407407407407,0.0,0.7083333333333334,0.0,54.0,0.0,0.7939849624060149,0.0,"[[29, 6], [8, 11]]",5
28,0.7777777777777778,0.0,0.7424483306836248,0.0,54.0,0.0,0.8030075187969924,0.0,"[[31, 4], [8, 11]]",5
29,0.7407407407407407,0.0,0.7157894736842105,0.0,54.0,0.0,0.7864661654135339,0.0,"[[28, 7], [7, 12]]",5
30,0.7592592592592593,0.0,0.7327750285496765,0.0,54.0,0.0,0.78796992481203,0.0,"[[29, 6], [7, 12]]",5
31,0.7222222222222222,0.0,0.6829745596868884,0.0,54.0,0.0,0.7879699248120301,0.0,"[[29, 6], [9, 10]]",5
32,0.7592592592592593,0.0,0.7252446183953033,0.0,54.0,0.0,0.7759398496240602,0.0,"[[30, 5], [8, 11]]",5
33,0.7222222222222222,0.0,0.6916634944803959,0.0,54.0,0.0,0.7684210526315789,0.0,"[[28, 7], [8, 11]]",5
34,0.7407407407407407,0.0,0.699523052464229,0.0,54.0,0.0,0.7789473684210525,0.0,"[[30, 5], [9, 10]]",5
35,0.7592592592592593,0.0,0.7252446183953033,0.0,54.0,0.0,0.7759398496240602,0.0,"[[30, 5], [8, 11]]",5
