layer,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,n_samples_mean,n_samples_std,auroc_mean,auroc_std,confusion_matrix,n_seeds
0,0.9444444444444444,0.0,0.8181818181818181,0.0,54.0,0.0,0.8163265306122449,0.0,"[[3, 2], [1, 48]]",5
1,0.9814814814814815,0.0,0.9393939393939394,0.0,54.0,0.0,0.8408163265306123,0.0,"[[4, 1], [0, 49]]",5
2,0.962962962962963,1.1102230246251565e-16,0.889795918367347,0.0,54.0,0.0,0.9714285714285713,1.1102230246251565e-16,"[[4, 1], [1, 48]]",5
3,0.9814814814814815,0.0,0.9393939393939394,0.0,54.0,0.0,0.9102040816326531,0.0,"[[4, 1], [0, 49]]",5
4,0.9814814814814815,0.0,0.9393939393939394,0.0,54.0,0.0,0.9469387755102041,0.0,"[[4, 1], [0, 49]]",5
5,0.9814814814814815,0.0,0.9393939393939394,0.0,54.0,0.0,0.9469387755102041,0.0,"[[4, 1], [0, 49]]",5
6,0.9814814814814815,0.0,0.9393939393939394,0.0,54.0,0.0,0.9755102040816327,0.0,"[[4, 1], [0, 49]]",5
7,0.962962962962963,1.1102230246251565e-16,0.865,0.0,54.0,0.0,0.9061224489795918,1.1102230246251565e-16,"[[3, 2], [0, 49]]",5
8,0.9814814814814815,0.0,0.9393939393939394,0.0,54.0,0.0,0.9510204081632654,0.0,"[[4, 1], [0, 49]]",5
9,0.9814814814814815,0.0,0.9393939393939394,0.0,54.0,0.0,0.9510204081632654,0.0,"[[4, 1], [0, 49]]",5
10,0.9814814814814815,0.0,0.9393939393939394,0.0,54.0,0.0,0.8571428571428573,1.1102230246251565e-16,"[[4, 1], [0, 49]]",5
11,0.9814814814814815,0.0,0.9393939393939394,0.0,54.0,0.0,0.8040816326530613,0.0,"[[4, 1], [0, 49]]",5
12,0.9814814814814815,0.0,0.9393939393939394,0.0,54.0,0.0,0.8081632653061226,1.1102230246251565e-16,"[[4, 1], [0, 49]]",5
13,0.9814814814814815,0.0,0.9393939393939394,0.0,54.0,0.0,0.8244897959183672,1.1102230246251565e-16,"[[4, 1], [0, 49]]",5
14,0.9814814814814815,0.0,0.9393939393939394,0.0,54.0,0.0,0.8367346938775511,0.0,"[[4, 1], [0, 49]]",5
15,0.962962962962963,1.1102230246251565e-16,0.865,0.0,54.0,0.0,0.8367346938775511,0.0,"[[3, 2], [0, 49]]",5
16,0.962962962962963,1.1102230246251565e-16,0.865,0.0,54.0,0.0,0.8122448979591838,0.0,"[[3, 2], [0, 49]]",5
17,0.962962962962963,1.1102230246251565e-16,0.865,0.0,54.0,0.0,0.8122448979591838,0.0,"[[3, 2], [0, 49]]",5
18,0.962962962962963,1.1102230246251565e-16,0.865,0.0,54.0,0.0,0.8081632653061226,1.1102230246251565e-16,"[[3, 2], [0, 49]]",5
19,0.962962962962963,1.1102230246251565e-16,0.865,0.0,54.0,0.0,0.8122448979591838,0.0,"[[3, 2], [0, 49]]",5
20,0.962962962962963,1.1102230246251565e-16,0.865,0.0,54.0,0.0,0.8,0.0,"[[3, 2], [0, 49]]",5
21,0.9444444444444444,0.0,0.8181818181818181,0.0,54.0,0.0,0.7959183673469388,0.0,"[[3, 2], [1, 48]]",5
22,0.9444444444444444,0.0,0.8181818181818181,0.0,54.0,0.0,0.8326530612244898,0.0,"[[3, 2], [1, 48]]",5
23,0.962962962962963,1.1102230246251565e-16,0.865,0.0,54.0,0.0,0.8,0.0,"[[3, 2], [0, 49]]",5
24,0.962962962962963,1.1102230246251565e-16,0.865,0.0,54.0,0.0,0.8285714285714286,0.0,"[[3, 2], [0, 49]]",5
25,0.962962962962963,1.1102230246251565e-16,0.865,0.0,54.0,0.0,0.8244897959183672,1.1102230246251565e-16,"[[3, 2], [0, 49]]",5
26,0.962962962962963,1.1102230246251565e-16,0.865,0.0,54.0,0.0,0.8244897959183672,1.1102230246251565e-16,"[[3, 2], [0, 49]]",5
27,0.962962962962963,1.1102230246251565e-16,0.865,0.0,54.0,0.0,0.8040816326530613,0.0,"[[3, 2], [0, 49]]",5
28,0.9444444444444444,0.0,0.8181818181818181,0.0,54.0,0.0,0.8326530612244898,0.0,"[[3, 2], [1, 48]]",5
29,0.9444444444444444,0.0,0.8181818181818181,0.0,54.0,0.0,0.8367346938775511,0.0,"[[3, 2], [1, 48]]",5
30,0.9444444444444444,0.0,0.8181818181818181,0.0,54.0,0.0,0.8040816326530612,0.0,"[[3, 2], [1, 48]]",5
31,0.9444444444444444,0.0,0.8181818181818181,0.0,54.0,0.0,0.8367346938775511,0.0,"[[3, 2], [1, 48]]",5
32,0.9444444444444444,0.0,0.8181818181818181,0.0,54.0,0.0,0.8857142857142858,1.1102230246251565e-16,"[[3, 2], [1, 48]]",5
33,0.962962962962963,1.1102230246251565e-16,0.865,0.0,54.0,0.0,0.9346938775510205,0.0,"[[3, 2], [0, 49]]",5
34,0.962962962962963,1.1102230246251565e-16,0.865,0.0,54.0,0.0,0.9102040816326531,0.0,"[[3, 2], [0, 49]]",5
35,0.9444444444444444,0.0,0.8181818181818181,0.0,54.0,0.0,0.9387755102040817,0.0,"[[3, 2], [1, 48]]",5
