layer,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,n_samples_mean,n_samples_std,auroc_mean,auroc_std,confusion_matrix,n_seeds
0,0.7777777777777778,0.0,0.7230769230769231,0.0,54.0,0.0,0.8604651162790697,0.0,"[[33, 10], [2, 9]]",5
1,0.8148148148148147,1.1102230246251565e-16,0.7589285714285714,0.0,54.0,0.0,0.9175475687103594,0.0,"[[35, 8], [2, 9]]",5
2,0.7962962962962963,0.0,0.7511520737327189,0.0,54.0,0.0,0.9196617336152219,1.1102230246251565e-16,"[[33, 10], [1, 10]]",5
3,0.8333333333333334,0.0,0.7878655608904408,0.0,54.0,0.0,0.9682875264270614,0.0,"[[35, 8], [1, 10]]",5
4,0.7962962962962963,0.0,0.7511520737327189,0.0,54.0,0.0,0.930232558139535,1.1102230246251565e-16,"[[33, 10], [1, 10]]",5
5,0.9074074074074074,0.0,0.8698795180722891,0.0,54.0,0.0,0.974630021141649,0.0,"[[39, 4], [1, 10]]",5
6,0.8333333333333334,0.0,0.7878655608904408,0.0,54.0,0.0,0.9429175475687103,1.1102230246251565e-16,"[[35, 8], [1, 10]]",5
7,0.8333333333333334,0.0,0.7878655608904408,0.0,54.0,0.0,0.9112050739957717,0.0,"[[35, 8], [1, 10]]",5
8,0.8148148148148147,1.1102230246251565e-16,0.7467166979362101,0.0,54.0,0.0,0.915433403805497,1.1102230246251565e-16,"[[36, 7], [3, 8]]",5
9,0.8518518518518519,0.0,0.7973733583489682,0.0,54.0,0.0,0.9344608879492601,1.1102230246251565e-16,"[[37, 6], [2, 9]]",5
10,0.8148148148148147,1.1102230246251565e-16,0.7467166979362101,0.0,54.0,0.0,0.9133192389006342,0.0,"[[36, 7], [3, 8]]",5
11,0.8703703703703705,1.1102230246251565e-16,0.8066496163682864,0.0,54.0,0.0,0.9048625792811839,0.0,"[[39, 4], [3, 8]]",5
12,0.8703703703703705,1.1102230246251565e-16,0.8066496163682864,0.0,54.0,0.0,0.9069767441860466,0.0,"[[39, 4], [3, 8]]",5
13,0.8518518518518519,0.0,0.7857142857142857,0.0,54.0,0.0,0.9133192389006342,0.0,"[[38, 5], [3, 8]]",5
14,0.8703703703703705,1.1102230246251565e-16,0.8178313253012048,0.0,54.0,0.0,0.9408033826638478,0.0,"[[38, 5], [2, 9]]",5
15,0.888888888888889,1.1102230246251565e-16,0.8392857142857142,1.1102230246251565e-16,54.0,0.0,0.9302325581395348,0.0,"[[39, 4], [2, 9]]",5
16,0.888888888888889,1.1102230246251565e-16,0.8287526427061312,1.1102230246251565e-16,54.0,0.0,0.9133192389006343,1.1102230246251565e-16,"[[40, 3], [3, 8]]",5
17,0.888888888888889,1.1102230246251565e-16,0.8287526427061312,1.1102230246251565e-16,54.0,0.0,0.9408033826638478,0.0,"[[40, 3], [3, 8]]",5
18,0.888888888888889,1.1102230246251565e-16,0.8287526427061312,1.1102230246251565e-16,54.0,0.0,0.9260042283298098,0.0,"[[40, 3], [3, 8]]",5
19,0.888888888888889,1.1102230246251565e-16,0.8287526427061312,1.1102230246251565e-16,54.0,0.0,0.9471458773784356,0.0,"[[40, 3], [3, 8]]",5
20,0.888888888888889,1.1102230246251565e-16,0.8392857142857142,1.1102230246251565e-16,54.0,0.0,0.9767441860465116,0.0,"[[39, 4], [2, 9]]",5
21,0.9259259259259259,0.0,0.8986866791744841,0.0,54.0,0.0,0.9936575052854122,1.1102230246251565e-16,"[[39, 4], [0, 11]]",5
22,0.9259259259259259,0.0,0.8928571428571427,1.1102230246251565e-16,54.0,0.0,0.9873150105708246,0.0,"[[40, 3], [1, 10]]",5
23,0.9074074074074074,0.0,0.8618925831202047,0.0,54.0,0.0,0.9788583509513742,0.0,"[[40, 3], [2, 9]]",5
24,0.8703703703703705,1.1102230246251565e-16,0.8178313253012048,0.0,54.0,0.0,0.9577167019027485,1.1102230246251565e-16,"[[38, 5], [2, 9]]",5
25,0.8703703703703705,1.1102230246251565e-16,0.8178313253012048,0.0,54.0,0.0,0.9408033826638478,0.0,"[[38, 5], [2, 9]]",5
26,0.8703703703703705,1.1102230246251565e-16,0.8178313253012048,0.0,54.0,0.0,0.9492600422832981,0.0,"[[38, 5], [2, 9]]",5
27,0.9074074074074074,0.0,0.8618925831202047,0.0,54.0,0.0,0.959830866807611,0.0,"[[40, 3], [2, 9]]",5
28,0.9074074074074074,0.0,0.8618925831202047,0.0,54.0,0.0,0.9556025369978858,0.0,"[[40, 3], [2, 9]]",5
29,0.9074074074074074,0.0,0.8618925831202047,0.0,54.0,0.0,0.9577167019027485,1.1102230246251565e-16,"[[40, 3], [2, 9]]",5
30,0.9074074074074074,0.0,0.8618925831202047,0.0,54.0,0.0,0.9619450317124736,0.0,"[[40, 3], [2, 9]]",5
31,0.9074074074074074,0.0,0.8618925831202047,0.0,54.0,0.0,0.9661733615221987,1.1102230246251565e-16,"[[40, 3], [2, 9]]",5
32,0.9074074074074074,0.0,0.8618925831202047,0.0,54.0,0.0,0.9682875264270614,1.1102230246251565e-16,"[[40, 3], [2, 9]]",5
33,0.9074074074074074,0.0,0.8618925831202047,0.0,54.0,0.0,0.9725158562367865,0.0,"[[40, 3], [2, 9]]",5
34,0.888888888888889,1.1102230246251565e-16,0.8392857142857142,1.1102230246251565e-16,54.0,0.0,0.959830866807611,0.0,"[[39, 4], [2, 9]]",5
35,0.8703703703703705,1.1102230246251565e-16,0.8178313253012048,0.0,54.0,0.0,0.894291754756871,1.1102230246251565e-16,"[[38, 5], [2, 9]]",5
