layer,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,n_samples_mean,n_samples_std,auroc_mean,auroc_std,confusion_matrix,n_seeds
0,0.9814814814814815,0.0,0.9704433497536946,0.0,54.0,0.0,0.9133192389006343,0.0,"[[10, 1], [0, 43]]",5
1,0.962962962962963,1.1102230246251565e-16,0.9429175475687103,1.1102230246251565e-16,54.0,0.0,0.945031712473573,1.1102230246251565e-16,"[[10, 1], [1, 42]]",5
2,0.9814814814814815,0.0,0.9704433497536946,0.0,54.0,0.0,0.9112050739957717,0.0,"[[10, 1], [0, 43]]",5
3,0.9814814814814815,0.0,0.9704433497536946,0.0,54.0,0.0,0.909090909090909,1.1102230246251565e-16,"[[10, 1], [0, 43]]",5
4,0.9814814814814815,0.0,0.9704433497536946,0.0,54.0,0.0,0.9112050739957717,0.0,"[[10, 1], [0, 43]]",5
5,0.9814814814814815,0.0,0.9704433497536946,0.0,54.0,0.0,0.909090909090909,1.1102230246251565e-16,"[[10, 1], [0, 43]]",5
6,0.9814814814814815,0.0,0.9704433497536946,0.0,54.0,0.0,0.9196617336152219,1.1102230246251565e-16,"[[10, 1], [0, 43]]",5
7,0.9814814814814815,0.0,0.9704433497536946,0.0,54.0,0.0,0.9323467230443974,1.1102230246251565e-16,"[[10, 1], [0, 43]]",5
8,0.9814814814814815,0.0,0.9704433497536946,0.0,54.0,0.0,0.959830866807611,0.0,"[[10, 1], [0, 43]]",5
9,0.9814814814814815,0.0,0.9704433497536946,0.0,54.0,0.0,0.9365750528541226,0.0,"[[10, 1], [0, 43]]",5
10,0.9814814814814815,0.0,0.9704433497536946,0.0,54.0,0.0,0.9365750528541226,0.0,"[[10, 1], [0, 43]]",5
11,0.9814814814814815,0.0,0.9704433497536946,0.0,54.0,0.0,0.9281183932346723,0.0,"[[10, 1], [0, 43]]",5
12,0.9814814814814815,0.0,0.9704433497536946,0.0,54.0,0.0,0.9260042283298097,0.0,"[[10, 1], [0, 43]]",5
13,0.9814814814814815,0.0,0.9704433497536946,0.0,54.0,0.0,0.9281183932346723,0.0,"[[10, 1], [0, 43]]",5
14,0.9814814814814815,0.0,0.9704433497536946,0.0,54.0,0.0,0.9344608879492601,1.1102230246251565e-16,"[[10, 1], [0, 43]]",5
15,0.9814814814814815,0.0,0.9704433497536946,0.0,54.0,0.0,0.9809725158562369,1.1102230246251565e-16,"[[10, 1], [0, 43]]",5
16,0.9814814814814815,0.0,0.9704433497536946,0.0,54.0,0.0,0.9809725158562369,1.1102230246251565e-16,"[[10, 1], [0, 43]]",5
17,0.962962962962963,1.1102230246251565e-16,0.9386363636363637,0.0,54.0,0.0,0.959830866807611,0.0,"[[9, 2], [0, 43]]",5
18,0.9444444444444444,0.0,0.9041986989946779,1.1102230246251565e-16,54.0,0.0,0.9767441860465116,0.0,"[[8, 3], [0, 43]]",5
19,0.9259259259259259,0.0,0.8772727272727273,0.0,54.0,0.0,0.9725158562367863,1.1102230246251565e-16,"[[8, 3], [1, 42]]",5
20,0.9444444444444444,0.0,0.9041986989946779,1.1102230246251565e-16,54.0,0.0,0.9281183932346723,0.0,"[[8, 3], [0, 43]]",5
21,0.9444444444444444,0.0,0.9041986989946779,1.1102230246251565e-16,54.0,0.0,0.9429175475687103,0.0,"[[8, 3], [0, 43]]",5
22,0.9444444444444444,0.0,0.9041986989946779,1.1102230246251565e-16,54.0,0.0,0.9260042283298097,0.0,"[[8, 3], [0, 43]]",5
23,0.9444444444444444,0.0,0.9041986989946779,1.1102230246251565e-16,54.0,0.0,0.9260042283298097,0.0,"[[8, 3], [0, 43]]",5
24,0.9444444444444444,0.0,0.9041986989946779,1.1102230246251565e-16,54.0,0.0,0.930232558139535,1.1102230246251565e-16,"[[8, 3], [0, 43]]",5
25,0.9444444444444444,0.0,0.9041986989946779,1.1102230246251565e-16,54.0,0.0,0.9323467230443974,1.1102230246251565e-16,"[[8, 3], [0, 43]]",5
26,0.9444444444444444,0.0,0.9041986989946779,1.1102230246251565e-16,54.0,0.0,0.9682875264270614,0.0,"[[8, 3], [0, 43]]",5
27,0.9074074074074074,0.0,0.852216748768473,1.1102230246251565e-16,54.0,0.0,0.9471458773784356,0.0,"[[8, 3], [2, 41]]",5
28,0.9074074074074074,0.0,0.852216748768473,1.1102230246251565e-16,54.0,0.0,0.9217758985200846,0.0,"[[8, 3], [2, 41]]",5
29,0.9259259259259259,0.0,0.8772727272727273,0.0,54.0,0.0,0.9471458773784354,1.1102230246251565e-16,"[[8, 3], [1, 42]]",5
30,0.9444444444444444,0.0,0.9041986989946779,1.1102230246251565e-16,54.0,0.0,0.9577167019027485,1.1102230246251565e-16,"[[8, 3], [0, 43]]",5
31,0.9259259259259259,0.0,0.8858350951374208,0.0,54.0,0.0,0.9513742071881606,0.0,"[[9, 2], [2, 41]]",5
32,0.9444444444444444,0.0,0.9113300492610839,1.1102230246251565e-16,54.0,0.0,0.9725158562367863,1.1102230246251565e-16,"[[9, 2], [1, 42]]",5
33,0.9444444444444444,0.0,0.9041986989946779,1.1102230246251565e-16,54.0,0.0,0.9957716701902747,1.1102230246251565e-16,"[[8, 3], [0, 43]]",5
34,1.0,0.0,1.0,0.0,54.0,0.0,1.0,0.0,"[[11, 0], [0, 43]]",5
35,0.9444444444444444,0.0,0.9171355498721228,0.0,54.0,0.0,0.9809725158562369,1.1102230246251565e-16,"[[10, 1], [2, 41]]",5
