layer,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,n_samples_mean,n_samples_std,auroc_mean,auroc_std,confusion_matrix,n_seeds
0,0.7037037037037037,0.0,0.6307692307692307,0.0,54.0,0.0,0.6691729323308271,0.0,"[[31, 4], [12, 7]]",5
1,0.7222222222222222,0.0,0.6606619187264349,0.0,54.0,0.0,0.7488721804511278,0.0,"[[31, 4], [11, 8]]",5
2,0.7222222222222222,0.0,0.6727272727272727,0.0,54.0,0.0,0.7443609022556391,0.0,"[[30, 5], [10, 9]]",5
3,0.7407407407407407,0.0,0.7083333333333334,0.0,54.0,0.0,0.8165413533834587,0.0,"[[29, 6], [8, 11]]",5
4,0.7222222222222222,0.0,0.6606619187264349,0.0,54.0,0.0,0.7729323308270677,0.0,"[[31, 4], [11, 8]]",5
5,0.7222222222222222,0.0,0.6727272727272727,0.0,54.0,0.0,0.7578947368421052,0.0,"[[30, 5], [10, 9]]",5
6,0.7222222222222222,0.0,0.6727272727272727,0.0,54.0,0.0,0.7834586466165414,0.0,"[[30, 5], [10, 9]]",5
7,0.7777777777777778,0.0,0.75,0.0,54.0,0.0,0.7864661654135339,0.0,"[[30, 5], [7, 12]]",5
8,0.7592592592592593,0.0,0.7391304347826086,0.0,54.0,0.0,0.7894736842105263,0.0,"[[28, 7], [6, 13]]",5
9,0.7407407407407407,0.0,0.7083333333333334,0.0,54.0,0.0,0.806015037593985,0.0,"[[29, 6], [8, 11]]",5
10,0.7407407407407407,0.0,0.7083333333333334,0.0,54.0,0.0,0.8,0.0,"[[29, 6], [8, 11]]",5
11,0.7962962962962963,0.0,0.7675146771037182,0.0,54.0,0.0,0.8481203007518797,0.0,"[[31, 4], [7, 12]]",5
12,0.8148148148148147,1.1102230246251565e-16,0.7969924812030075,0.0,54.0,0.0,0.8646616541353381,1.1102230246251565e-16,"[[30, 5], [5, 14]]",5
13,0.7962962962962963,0.0,0.773886562618957,0.0,54.0,0.0,0.8345864661654134,0.0,"[[30, 5], [6, 13]]",5
14,0.8333333333333334,0.0,0.8149980966882374,1.1102230246251565e-16,54.0,0.0,0.8556390977443609,0.0,"[[31, 4], [5, 14]]",5
15,0.7962962962962963,0.0,0.773886562618957,0.0,54.0,0.0,0.8481203007518797,0.0,"[[30, 5], [6, 13]]",5
16,0.7777777777777778,0.0,0.75,0.0,54.0,0.0,0.8827067669172932,0.0,"[[30, 5], [7, 12]]",5
17,0.7777777777777778,0.0,0.75,0.0,54.0,0.0,0.8466165413533835,0.0,"[[30, 5], [7, 12]]",5
18,0.7777777777777778,0.0,0.7424483306836248,0.0,54.0,0.0,0.8270676691729323,0.0,"[[31, 4], [8, 11]]",5
19,0.7592592592592593,0.0,0.705906996229577,0.0,54.0,0.0,0.8225563909774436,0.0,"[[32, 3], [10, 9]]",5
20,0.7592592592592593,0.0,0.7163636363636363,0.0,54.0,0.0,0.8165413533834587,0.0,"[[31, 4], [9, 10]]",5
21,0.7037037037037037,0.0,0.6447368421052632,0.0,54.0,0.0,0.8315789473684209,1.1102230246251565e-16,"[[30, 5], [11, 8]]",5
22,0.7037037037037037,0.0,0.656597774244833,0.0,54.0,0.0,0.7729323308270676,0.0,"[[29, 6], [10, 9]]",5
23,0.7592592592592593,0.0,0.7327750285496765,0.0,54.0,0.0,0.8195488721804512,1.1102230246251565e-16,"[[29, 6], [7, 12]]",5
24,0.7037037037037037,0.0,0.6666666666666667,0.0,54.0,0.0,0.8210526315789475,1.1102230246251565e-16,"[[28, 7], [9, 10]]",5
25,0.7407407407407407,0.0,0.7083333333333334,0.0,54.0,0.0,0.8285714285714285,0.0,"[[29, 6], [8, 11]]",5
26,0.7037037037037037,0.0,0.6666666666666667,0.0,54.0,0.0,0.8300751879699246,1.1102230246251565e-16,"[[28, 7], [9, 10]]",5
27,0.7407407407407407,0.0,0.7083333333333334,0.0,54.0,0.0,0.8360902255639097,1.1102230246251565e-16,"[[29, 6], [8, 11]]",5
28,0.7407407407407407,0.0,0.7083333333333334,0.0,54.0,0.0,0.8240601503759398,0.0,"[[29, 6], [8, 11]]",5
29,0.7037037037037037,0.0,0.6666666666666667,0.0,54.0,0.0,0.8045112781954888,1.1102230246251565e-16,"[[28, 7], [9, 10]]",5
30,0.6851851851851852,0.0,0.6505519604111154,0.0,54.0,0.0,0.7729323308270677,0.0,"[[27, 8], [9, 10]]",5
31,0.7037037037037037,0.0,0.675187969924812,0.0,54.0,0.0,0.7849624060150375,0.0,"[[27, 8], [8, 11]]",5
32,0.7407407407407407,0.0,0.7083333333333334,0.0,54.0,0.0,0.8195488721804512,1.1102230246251565e-16,"[[29, 6], [8, 11]]",5
33,0.7222222222222222,0.0,0.6916634944803959,0.0,54.0,0.0,0.8180451127819548,1.1102230246251565e-16,"[[28, 7], [8, 11]]",5
34,0.6851851851851852,0.0,0.6407045009784735,0.0,54.0,0.0,0.8045112781954888,1.1102230246251565e-16,"[[28, 7], [10, 9]]",5
35,0.7407407407407407,0.0,0.699523052464229,0.0,54.0,0.0,0.7488721804511279,0.0,"[[30, 5], [9, 10]]",5
